#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	PRECIPITATION	ALBEDO
0.0	3.8	74.1	8.31	2.23	0	0	0.0	14
0.5	3.8	74.1	8.31	2.23	0	0	0.0	14
1.5	5.3	70.0	8.09	1.87	0	0	0.0	14
2.5	6.2	67.4	7.0	2.41	0	0	0.0	14
3.5	7.1	65.0	5.17	2.63	0	0	0.0	14
4.5	7.5	63.9	5.52	2.82	0	0	0.0	14
5.5	7.2	65.8	5.53	2.58	0	0	0.0	14
6.5	7.0	66.6	4.53	2.11	0	0	0.0	14
7.5	6.6	72.6	4.87	3.67	0	0	0.0	14
8.5	5.8	83.7	4.23	3.19	0	13	0.2	14
9.5	5.9	92.3	2.87	2.01	0	30	0.3	14
10.5	6.7	94.0	4.65	3.63	0	40	0.8	14
11.5	7.2	93.3	5.45	3.54	0	46	0.7	14
12.5	7.5	94.2	4.95	3.21	0	33	0.8	14
13.5	7.9	94.9	5.17	3.23	0	27	1.4	14
14.5	8.3	94.8	5.74	4.17	0	19	1.2	14
15.5	8.6	94.6	5.59	4.21	0	5	1.1	14
16.5	8.8	95.0	4.26	2.98	0	0	1.5	14
17.5	9.0	96.0	4.39	4.24	0	0	2.1	14
18.5	9.3	94.9	5.42	4.88	0	0	0.2	14
19.5	9.3	90.5	6.84	5.54	0	0	0.0	14
20.5	9.1	86.4	7.13	4.81	0	0	0.0	14
21.5	9.1	84.2	6.59	5.53	0	0	0.1	14
22.5	9.4	78.5	6.57	5.71	0	0	0.0	14
23.5	8.6	87.4	7.46	5.03	0	0	1.8	14
24.5	8.7	83.8	8.83	4.7	0	0	0.6	14
25.5	8.0	79.0	11.91	4.1	0	0	0.3	14
26.5	7.2	80.8	8.65	3.67	0	0	0.2	14
27.5	6.3	73.2	9.9	2.84	0	0	0.0	14
28.5	6.0	76.4	9.23	1.79	0	0	0.0	14
29.5	4.7	82.0	8.74	3.18	0	0	0.0	14
30.5	4.4	76.0	9.42	2.7	0	0	0.0	14
31.5	4.4	73.0	7.31	3.72	0	0	0.0	14
32.5	4.9	68.9	6.71	3.13	144	46	0.0	14
33.5	5.7	63.4	7.82	3.32	491	86	0.0	14
34.5	6.1	59.1	8.87	2.05	197	132	0.0	14
35.5	5.9	61.8	6.11	2.22	0	112	0.0	14
36.5	4.5	78.1	6.49	2.62	0	104	0.2	14
37.5	3.5	89.7	6.72	2.58	0	39	0.4	14
38.5	2.9	89.8	7.61	2.77	0	42	0.0	14
39.5	3.3	86.1	7.88	1.39	0	27	0.0	14
40.5	3.3	88.6	4.69	1.43	0	0	0.0	14
41.5	3.2	89.5	3.41	1.45	0	0	0.0	14
42.5	2.9	89.1	2.25	1.82	0	0	0.0	14
43.5	2.9	89.6	1.0	2.61	0	0	0.0	14
44.5	3.0	90.1	1.6	2.77	0	0	0.0	14
45.5	2.8	91.9	1.69	3.18	0	0	0.0	14
46.5	2.2	94.3	2.76	0.9	0	0	1.1	14
47.5	2.4	95.3	1.72	1.2	0	0	0.5	14
48.5	2.5	95.1	3.59	0.31	0	0	0.5	14
49.5	2.2	96.0	4.0	-0.14	0	0	0.3	14
50.5	2.0	96.1	1.84	-0.49	0	0	0.0	14
51.5	1.4	95.9	0.55	-1.07	0	0	0.0	14
52.5	0.9	95.9	1.2	0.0	0	0	0.0	14
53.5	1.0	96.3	2.98	-0.31	0	0	0.0	14
54.5	1.4	96.2	1.9	-0.1	0	0	0.0	14
55.5	1.8	96.8	3.0	-0.16	0	0	0.0	14
56.5	2.1	96.9	3.0	0.05	0	34	0.0	14
57.5	2.3	94.5	3.3	0.12	0	59	0.0	14
58.5	2.6	92.7	1.96	-0.42	0	38	0.5	14
59.5	2.6	85.2	-0.8	-2.47	0	80	0.0	14
60.5	1.7	74.9	-0.34	-3.28	0	58	0.0	14
61.5	0.6	75.8	-0.99	-3.98	0	53	0.0	14
62.5	-0.1	73.5	-1.78	-3.81	0	57	0.0	14
63.5	-0.8	70.9	0.06	-3.5	0	22	0.0	14
64.5	-1.6	71.4	1.27	-2.72	0	0	0.0	14
65.5	-2.3	67.0	1.26	-2.83	0	0	0.0	14
66.5	-3.0	61.2	0.47	-2.96	0	0	0.0	14
67.5	-3.7	61.6	-0.42	-2.67	0	0	0.0	14
68.5	-4.2	66.1	-0.25	-1.58	0	0	0.0	14
69.5	-4.4	76.6	2.7	0.0	0	0	0.0	14
70.5	-4.3	79.3	3.2	0.0	0	0	0.0	14
71.5	-4.1	79.8	1.57	0.3	0	0	0.0	14
72.5	-3.4	78.4	3.3	0.82	0	0	0.0	14
73.5	-3.5	80.1	3.17	1.22	0	0	0.0	14
74.5	-3.6	82.9	6.28	0.44	0	0	0.0	14
75.5	-3.4	86.7	5.36	0.66	0	0	0.0	14
76.5	-3.4	87.1	4.5	0.96	0	0	0.0	14
77.5	-3.1	87.4	3.73	1.14	0	0	0.0	14
78.5	-3.1	87.6	4.63	0.82	0	0	0.0	14
79.5	-2.9	86.2	4.04	1.16	0	0	0.0	14
80.5	-2.8	84.4	2.96	0.91	355	35	0.0	14
81.5	-2.1	77.7	3.24	0.63	558	69	0.0	14
82.5	-1.5	75.4	2.59	0.18	411	113	0.0	14
83.5	-0.6	69.8	0.72	0.34	331	138	0.0	14
84.5	0.0	66.3	0.88	0.66	550	107	0.0	14
85.5	0.5	65.0	1.08	0.21	434	96	0.0	14
86.5	0.3	67.0	1.5	0.03	287	71	0.0	14
87.5	-0.2	72.1	2.5	0.09	0	30	0.0	14
88.5	-0.4	76.8	3.14	0.61	0	0	0.0	14
89.5	-0.2	76.0	3.6	0.83	0	0	0.0	14
90.5	-0.3	78.3	3.16	0.96	0	0	0.0	14
91.5	-0.3	77.7	2.6	1.05	0	0	0.0	14
92.5	-0.2	79.0	3.08	1.44	0	0	0.0	14
93.5	-0.1	80.4	2.93	3.14	0	0	0.0	14
94.5	0.1	77.6	4.51	4.68	0	0	0.0	14
95.5	-0.4	86.4	5.27	4.91	0	0	0.0	14
96.5	-0.5	91.3	5.05	5.41	0	0	0.0	14
97.5	-0.4	94.2	5.75	4.66	0	0	0.1	14
98.5	-0.3	93.6	5.17	3.23	0	0	0.0	14
99.5	-0.4	95.0	4.54	2.73	0	0	0.3	14
100.5	-0.2	96.2	5.3	2.82	0	0	0.6	14
101.5	0.2	96.5	5.61	2.86	0	0	0.3	50
102.5	0.4	96.5	6.0	3.19	0	0	0.3	50
103.5	0.6	96.8	4.67	3.27	0	0	0.2	50
104.5	0.8	96.8	4.55	3.43	0	14	0.2	50
105.5	1.1	94.7	5.36	4.19	0	35	0.0	50
106.5	1.3	93.6	4.64	3.13	0	21	0.0	50
107.5	1.4	93.4	4.49	2.19	0	42	0.5	50
108.5	1.6	93.7	5.2	3.0	0	58	0.4	50
109.5	1.9	93.7	6.43	3.86	0	29	0.2	50
110.5	2.2	94.0	6.11	3.82	0	18	0.1	50
111.5	2.7	92.6	7.5	3.99	0	10	0.0	50
112.5	3.1	91.0	8.77	3.9	0	0	0.0	50
113.5	3.2	90.7	8.22	3.66	0	0	0.0	30
114.5	3.5	88.7	9.27	3.19	0	0	0.2	30
115.5	3.9	84.6	10.08	3.87	0	0	0.0	30
116.5	3.7	83.5	8.16	3.8	0	0	0.1	30
117.5	3.4	87.1	7.24	2.63	0	0	0.1	30
118.5	3.4	88.4	7.82	3.81	0	0	0.3	30
119.5	3.3	89.4	7.76	3.46	0	0	0.2	30
120.5	3.1	89.5	8.89	2.72	0	0	1.5	30
121.5	3.4	87.6	9.18	3.71	0	0	0.2	30
122.5	3.3	86.8	9.77	3.56	0	0	0.4	30
123.5	2.9	89.6	7.64	3.24	0	0	0.2	30
124.5	3.0	89.3	8.04	3.58	0	0	0.2	30
125.5	2.9	88.9	8.38	3.56	0	0	0.2	14
126.5	1.7	91.5	6.65	1.41	0	0	2.2	14
127.5	1.2	93.9	4.5	0.16	0	0	0.2	14
128.5	1.6	92.8	4.66	0.57	0	24	0.0	14
129.5	1.9	88.6	4.63	0.82	0	64	0.0	14
130.5	2.6	84.9	4.82	1.95	13	121	0.0	14
131.5	3.6	79.4	6.3	2.29	394	125	0.0	14
132.5	3.3	80.4	6.89	1.72	25	146	0.0	14
133.5	3.2	77.1	5.8	1.88	221	120	0.0	14
134.5	2.5	80.2	7.47	2.87	179	82	0.0	14
135.5	1.8	86.2	8.32	1.17	0	26	0.0	14
136.5	1.4	89.3	7.4	0.0	0	0	0.0	14
137.5	1.5	82.9	6.87	0.6	0	0	0.1	14
138.5	0.4	94.8	3.79	0.33	0	0	3.6	14
139.5	0.6	95.0	1.81	0.59	0	0	0.0	14
140.5	0.3	94.1	3.2	0.06	0	0	0.1	14
141.5	0.0	91.6	4.99	0.26	0	0	0.0	14
142.5	-0.3	89.5	4.23	1.21	0	0	0.0	14
143.5	-0.4	89.2	5.14	1.28	0	0	0.0	14
144.5	-0.5	89.2	5.02	1.35	0	0	0.0	14
145.5	-0.5	89.1	3.67	0.98	0	0	0.0	14
146.5	-0.5	89.2	4.86	0.6	0	0	0.0	14
147.5	-0.6	90.2	4.63	0.82	0	0	0.0	14
148.5	-1.0	90.2	2.88	1.4	0	0	0.0	14
149.5	-1.0	91.3	2.78	1.12	0	0	0.0	50
150.5	-0.8	91.7	3.12	0.72	0	0	0.0	50
151.5	-0.6	92.0	3.0	-0.16	0	0	0.0	50
152.5	-1.4	89.1	-1.56	-3.35	0	8	0.1	50
153.5	-2.5	91.0	-2.16	-3.6	0	29	0.3	50
154.5	-3.0	89.6	-2.76	-3.29	0	94	0.3	50
155.5	-3.4	79.0	-3.51	-3.27	0	94	0.0	50
156.5	-3.2	67.9	-3.43	-2.59	184	153	0.0	50
157.5	-3.3	66.8	-2.29	-1.61	63	121	0.0	50
158.5	-3.3	61.8	-1.27	-2.5	364	74	0.0	50
159.5	-3.6	61.0	-1.15	-1.64	0	39	0.0	50
160.5	-3.8	66.8	-1.18	-1.36	0	0	0.0	50
161.5	-4.0	70.6	-1.25	-2.16	0	0	0.0	50
162.5	-4.3	76.7	-1.88	-1.32	0	0	0.0	50
163.5	-4.7	79.2	-1.51	-1.31	0	0	0.0	50
164.5	-6.0	77.9	-1.0	-1.96	0	0	0.0	50
165.5	-7.2	82.5	-1.13	-2.12	0	0	0.0	50
166.5	-7.5	83.1	-0.79	-2.05	0	0	0.0	50
167.5	-7.4	82.0	-1.72	0.8	0	0	0.0	50
168.5	-7.1	80.9	-1.76	-0.71	0	0	0.0	50
169.5	-6.8	79.8	-0.64	-1.68	0	0	0.0	50
170.5	-6.4	76.0	-0.73	-1.43	0	0	0.0	50
171.5	-6.6	77.3	-1.14	-1.26	0	0	0.0	50
172.5	-6.7	77.9	-0.73	-1.43	0	0	0.0	50
173.5	-6.7	78.6	0.53	-0.73	0	0	0.0	50
174.5	-6.9	80.4	-0.09	-0.59	0	0	0.0	50
175.5	-7.7	83.8	-0.41	-1.02	0	0	0.0	50
176.5	-8.5	86.6	-1.18	-1.36	39	44	0.0	50
177.5	-7.4	74.8	-1.24	-1.16	337	82	0.0	50
178.5	-6.4	68.8	-0.68	0.17	505	117	0.0	50
179.5	-6.5	67.1	1.88	-0.26	285	139	0.0	50
180.5	-5.6	65.2	1.49	-0.18	716	89	0.0	50
181.5	-5.1	61.0	1.48	-0.24	647	79	0.0	50
182.5	-5.1	59.1	1.16	0.29	326	76	0.0	50
183.5	-5.2	65.5	0.66	1.24	0	39	0.0	50
184.5	-6.4	76.1	1.63	1.32	0	0	0.0	50
185.5	-7.2	80.5	1.66	0.38	0	0	0.0	50
186.5	-7.8	85.4	1.03	0.62	0	0	0.0	50
187.5	-8.6	87.5	1.29	0.18	0	0	0.0	50
188.5	-9.1	88.6	0.89	0.8	0	0	0.0	50
189.5	-9.2	89.7	0.6	0.92	0	0	0.0	50
190.5	-10.0	91.1	2.69	0.19	0	0	0.0	50
191.5	-10.5	90.5	2.97	0.42	0	0	0.0	50
192.5	-10.6	90.0	3.19	0.28	0	0	0.0	50
193.5	-10.5	89.5	2.44	0.56	0	0	0.0	50
194.5	-10.4	89.0	3.78	0.4	0	0	0.0	50
195.5	-10.4	89.1	4.08	0.36	0	0	0.0	50
196.5	-9.7	89.2	3.73	0.72	0	0	0.0	50
197.5	-9.8	90.1	2.98	0.37	0	0	0.0	50
198.5	-10.1	90.9	2.18	0.27	0	0	0.0	50
199.5	-10.0	91.8	2.56	0.45	0	0	0.0	50
200.5	-9.7	92.2	3.69	1.27	151	45	0.0	50
201.5	-8.8	91.0	4.04	1.16	277	88	0.0	50
202.5	-7.1	82.7	4.38	1.01	436	108	0.0	50
203.5	-6.2	76.4	4.17	0.51	395	136	0.0	50
204.5	-5.3	71.4	3.9	0.2	316	136	0.0	50
205.5	-4.7	70.5	2.9	-0.15	167	137	0.0	50
206.5	-4.8	73.9	2.89	-0.25	0	72	0.0	50
207.5	-4.6	75.1	3.1	-0.16	0	28	0.0	50
208.5	-4.6	77.2	1.48	-0.21	0	0	0.0	50
209.5	-4.2	79.0	-0.38	-0.71	0	0	0.0	50
210.5	-4.7	81.7	0.2	-0.57	0	0	0.0	50
211.5	-5.3	85.6	0.37	0.59	0	0	0.0	50
212.5	-5.7	88.4	0.17	-0.25	0	0	0.0	50
213.5	-5.8	88.3	0.32	0.38	0	0	0.0	50
214.5	-5.6	88.2	0.39	0.46	0	0	0.0	50
215.5	-5.4	90.0	-0.16	0.25	0	0	0.0	50
216.5	-5.2	91.0	0.25	0.31	0	0	0.0	50
217.5	-5.0	91.7	-0.42	0.28	0	0	0.2	50
218.5	-5.0	92.7	-1.3	-1.09	0	0	0.5	50
219.5	-4.8	93.3	0.05	-0.9	0	0	0.4	50
220.5	-4.6	93.5	0.48	-0.16	0	0	0.1	50
221.5	-4.5	93.6	-0.5	-0.33	0	0	0.0	80
222.5	-4.3	93.4	-0.77	-0.21	0	0	0.0	80
223.5	-4.2	93.4	-0.6	-0.02	0	0	0.0	80
224.5	-3.8	93.4	-0.45	-0.4	0	20	0.0	80
225.5	-3.3	91.4	-1.04	-0.94	0	47	0.0	80
226.5	-2.9	88.5	-0.77	-0.64	0	91	0.0	80
227.5	-2.4	85.4	-0.96	-0.53	0	104	0.0	50
228.5	-2.1	83.9	-1.02	-0.41	0	88	0.0	50
229.5	-1.5	83.0	-1.48	-0.6	0	100	0.0	50
230.5	-1.2	82.4	-2.05	-1.04	3	78	0.0	50
231.5	-1.3	84.3	-2.52	-0.97	0	25	0.0	50
232.5	-1.3	86.4	-2.23	-2.01	0	0	0.0	50
233.5	-1.3	87.9	-2.03	-1.08	0	0	0.0	50
234.5	-1.3	89.1	-3.19	-2.07	0	0	0.0	50
235.5	-1.5	87.0	-3.32	-2.41	0	0	0.0	50
236.5	-1.5	83.5	-1.99	-2.64	0	0	0.0	50
237.5	-2.0	78.3	-1.85	-3.2	0	0	0.0	50
238.5	-2.4	77.6	-2.28	-3.65	0	0	0.0	50
239.5	-2.7	76.8	-2.12	-3.39	0	0	0.0	50
240.5	-3.5	77.4	-0.96	-3.36	0	0	0.0	50
241.5	-4.8	78.3	0.07	-4.1	0	0	0.0	50
242.5	-5.5	77.9	-0.14	-4.0	0	0	0.0	50
243.5	-6.0	75.4	-0.63	-3.24	0	0	0.1	50
244.5	-6.9	76.2	-1.42	-3.52	0	0	0.0	50
245.5	-7.3	80.8	-2.84	-2.22	0	0	0.1	80
246.5	-8.4	81.1	-5.2	-3.0	0	0	0.1	80
247.5	-9.1	83.2	-4.36	-2.83	0	0	0.0	80
248.5	-9.8	80.9	-3.94	-3.08	0	12	0.1	80
249.5	-10.1	79.9	-3.47	-2.71	0	57	0.0	80
250.5	-10.5	76.6	-3.77	-3.28	5	116	0.1	80
251.5	-10.6	70.9	-4.23	-3.19	49	149	0.0	80
252.5	-10.9	70.5	-3.47	-3.6	2	130	0.0	80
253.5	-11.6	75.6	-2.56	-3.94	4	108	0.0	80
254.5	-12.5	67.7	-1.63	-3.65	0	70	0.0	80
255.5	-13.5	70.1	-1.8	-3.68	0	24	0.0	80
256.5	-14.4	68.6	-2.42	-4.03	0	0	0.0	80
257.5	-14.7	67.3	-2.95	-3.91	0	0	0.0	80
258.5	-15.0	66.1	-3.39	-4.33	0	0	0.0	80
259.5	-15.5	63.9	-3.0	-3.22	0	0	0.0	80
260.5	-16.3	63.9	-2.09	-2.68	0	0	0.0	80
261.5	-17.4	67.5	-1.34	-3.02	0	0	0.0	80
262.5	-17.6	71.2	-0.85	-2.77	0	0	0.0	80
263.5	-18.0	73.7	-1.01	-2.17	0	0	0.0	80
264.5	-18.1	74.7	-0.8	-1.5	0	0	0.0	80
265.5	-18.1	75.5	-0.28	-0.86	0	0	0.0	80
266.5	-18.1	75.4	0.11	-0.89	0	0	0.0	80
267.5	-19.0	76.7	1.31	-0.5	0	0	0.0	80
268.5	-19.5	77.4	1.6	-0.11	0	0	0.0	80
269.5	-19.7	78.4	2.49	-0.22	0	0	0.0	80
270.5	-20.4	80.1	2.0	-0.1	0	0	0.0	80
271.5	-20.7	80.2	0.64	-0.48	0	0	0.0	80
272.5	-20.4	82.0	0.56	-0.22	209	46	0.0	80
273.5	-19.2	76.1	1.69	-0.21	509	63	0.0	80
274.5	-18.4	80.1	0.73	0.53	612	75	0.0	80
275.5	-17.2	76.4	-0.0	1.1	661	78	0.0	80
276.5	-16.0	71.0	-0.19	0.98	684	72	0.0	80
277.5	-15.2	61.8	-0.91	0.79	540	84	0.0	80
278.5	-15.0	59.1	0.2	1.39	349	77	0.0	80
279.5	-15.5	60.8	-0.71	-0.36	0	49	0.0	80
280.5	-16.2	65.3	-1.81	-0.59	0	0	0.0	80
281.5	-17.7	72.3	-1.73	-2.57	0	0	0.0	80
282.5	-18.4	75.6	-1.78	-3.81	0	0	0.0	80
283.5	-18.7	75.8	-2.64	-2.3	0	0	0.0	80
284.5	-18.8	76.2	-2.46	-2.63	0	0	0.0	80
285.5	-18.4	75.3	-2.05	-1.43	0	0	0.0	80
286.5	-18.1	74.8	-2.21	-1.17	0	0	0.0	80
287.5	-18.2	73.8	-1.84	-1.84	0	0	0.0	80
288.5	-18.4	72.8	-2.1	-2.42	0	0	0.0	80
289.5	-18.5	73.3	-1.7	-2.71	0	0	0.0	80
290.5	-18.1	74.2	-2.08	-1.87	0	0	0.0	80
291.5	-17.3	72.1	-1.77	-1.9	0	0	0.0	80
292.5	-16.6	71.1	-2.63	-1.64	0	0	0.0	80
293.5	-16.4	70.8	-3.04	-2.29	0	0	0.0	80
294.5	-15.8	70.0	-3.15	-1.74	0	0	0.0	80
295.5	-15.4	68.4	-3.43	-2.59	0	0	0.0	80
296.5	-14.9	65.8	-2.95	-2.06	56	48	0.0	80
297.5	-14.0	61.0	-3.86	-2.32	450	89	0.0	80
298.5	-13.3	55.7	-3.74	-1.91	124	142	0.0	80
299.5	-12.8	54.4	-3.17	-1.48	66	156	0.0	80
300.5	-12.3	53.2	-3.08	-0.88	1	126	0.0	80
301.5	-12.0	53.9	-2.3	-0.98	0	104	0.0	80
302.5	-11.7	54.9	-2.3	-0.7	0	61	0.0	80
303.5	-11.5	57.0	-2.43	-0.93	0	16	0.0	80
304.5	-11.2	59.4	-2.67	-1.13	0	0	0.0	80
305.5	-11.0	61.0	-2.89	-1.6	0	0	0.0	80
306.5	-11.2	63.3	-2.97	-1.86	0	0	0.0	80
307.5	-11.8	66.4	-2.61	-2.9	0	0	0.0	80
308.5	-12.1	68.5	-2.64	-3.14	0	0	0.0	80
309.5	-12.4	70.4	-2.73	-2.64	0	0	0.0	80
310.5	-12.5	72.2	-3.02	-3.47	0	0	0.0	80
311.5	-12.5	73.8	-3.51	-2.65	0	0	0.0	80
312.5	-12.7	76.2	-3.51	-2.11	0	0	0.0	80
313.5	-12.7	76.7	-3.85	-2.7	0	0	0.0	80
314.5	-12.7	78.0	-4.8	-2.88	0	0	0.0	80
315.5	-12.4	77.5	-3.9	-2.44	0	0	0.0	80
316.5	-12.3	77.9	-4.2	-1.87	0	0	0.0	80
317.5	-12.4	79.0	-4.26	-1.72	0	0	0.0	80
318.5	-11.9	78.3	-4.76	-1.83	0	0	0.0	80
319.5	-11.4	77.8	-4.86	-1.86	0	0	0.0	80
320.5	-10.8	76.5	-5.12	-2.5	79	55	0.0	80
321.5	-9.8	72.3	-5.61	-2.86	214	98	0.0	80
322.5	-9.1	69.4	-6.16	-2.87	69	143	0.0	80
323.5	-8.9	68.7	-6.56	-3.64	10	162	0.0	80
324.5	-8.8	68.4	-6.86	-3.5	27	136	0.0	80
325.5	-8.4	68.4	-7.06	-3.76	15	119	0.0	80
326.5	-8.2	68.5	-6.89	-3.66	4	87	0.0	80
327.5	-8.6	69.0	-6.23	-4.53	0	42	0.0	80
328.5	-8.9	69.8	-5.83	-4.72	0	0	0.0	80
329.5	-9.1	70.3	-4.98	-4.33	0	0	0.0	80
330.5	-9.4	70.6	-4.11	-2.67	0	0	0.0	80
331.5	-9.3	71.7	-3.72	-2.15	0	0	0.0	80
332.5	-9.5	73.0	-3.85	-2.7	0	0	0.0	80
333.5	-9.6	73.3	-2.87	-2.49	0	0	0.0	80
334.5	-9.5	74.0	-2.3	-1.93	0	0	0.0	80
335.5	-9.7	74.7	-0.97	-0.87	0	0	0.0	80
336.5	-9.6	74.9	-1.03	-0.62	0	0	0.0	80
337.5	-9.7	75.9	-1.64	-0.73	0	0	0.0	80
338.5	-9.6	76.3	-1.11	-1.42	0	0	0.0	80
339.5	-9.5	76.3	-0.27	-1.07	0	0	0.0	80
340.5	-9.4	76.6	0.18	0.36	0	0	0.0	80
341.5	-9.5	78.0	0.48	0.13	0	0	0.0	80
342.5	-9.5	79.0	0.79	0.14	0	0	0.0	80
343.5	-9.4	80.0	1.0	0.09	0	0	0.0	80
344.5	-9.3	80.3	0.97	-0.22	0	8	0.0	80
345.5	-9.0	80.5	0.27	-0.54	0	67	0.0	80
346.5	-8.2	78.0	-0.23	0.45	11	128	0.0	80
347.5	-7.8	72.5	-0.64	-0.64	134	168	0.0	80
348.5	-6.7	67.2	-1.38	-0.59	175	167	0.0	80
349.5	-6.9	67.0	-1.9	-0.0	3	113	0.0	80
350.5	-6.9	68.8	-1.15	-0.35	0	57	0.0	80
351.5	-7.0	71.6	-0.53	-0.73	0	25	0.0	80
352.5	-7.8	73.7	-1.3	-1.09	0	0	0.0	80
353.5	-8.0	78.5	-1.9	-1.1	0	0	0.0	80
354.5	-7.9	79.0	-2.1	-1.53	0	0	0.0	80
355.5	-7.7	77.4	-1.42	-1.11	0	0	0.0	80
356.5	-7.4	75.3	-2.36	-0.81	0	0	0.0	80
357.5	-7.4	71.9	-2.55	-0.5	0	0	0.0	80
358.5	-7.3	72.6	-1.48	-0.6	0	0	0.0	80
359.5	-7.3	73.4	-2.41	-1.23	0	0	0.0	80
360.5	-7.3	73.4	-2.38	-0.77	0	0	0.0	80
361.5	-7.3	74.0	-2.39	-0.21	0	0	0.0	80
362.5	-7.4	74.5	-1.66	-1.44	0	0	0.0	80
363.5	-7.3	75.1	-1.26	-1.55	0	0	0.0	80
364.5	-7.2	76.7	-2.18	-1.76	0	0	0.0	80
365.5	-7.2	78.3	-2.16	-2.49	0	0	0.0	80
366.5	-7.3	80.7	-2.27	-2.8	0	0	0.0	80
367.5	-7.1	81.2	-2.69	-2.69	0	0	0.0	80
368.5	-7.0	80.9	-3.27	-2.47	0	12	0.0	80
369.5	-6.9	80.8	-3.62	-1.69	0	28	0.0	80
370.5	-6.8	80.8	-4.02	-1.79	0	33	0.0	80
371.5	-6.7	80.8	-4.08	-1.9	0	43	0.0	80
372.5	-6.4	80.5	-3.29	-1.9	0	32	0.0	80
373.5	-6.4	80.3	-3.85	-1.4	0	23	0.0	80
374.5	-6.1	80.1	-3.38	-1.23	0	17	0.0	80
375.5	-6.0	80.5	-2.74	-1.65	0	7	0.0	80
376.5	-5.8	80.9	-3.39	-2.12	0	0	0.0	80
377.5	-5.8	81.2	-3.5	-1.2	0	0	0.0	80
378.5	-5.9	82.3	-3.33	-0.71	0	0	0.0	80
379.5	-5.9	82.6	-2.96	-0.47	0	0	0.0	80
380.5	-6.0	82.9	-3.04	-1.29	0	0	0.0	80
381.5	-6.1	83.6	-2.15	-1.94	0	0	0.0	80
382.5	-6.1	84.2	-2.6	-1.05	0	0	0.0	80
383.5	-6.0	84.5	-1.73	-1.0	0	0	0.0	80
384.5	-6.1	84.7	-1.87	-0.95	0	0	0.0	80
385.5	-6.1	85.1	-2.17	-1.01	0	0	0.0	80
386.5	-6.2	85.8	-2.02	-1.47	0	0	0.0	80
387.5	-6.2	86.2	-1.63	-0.76	0	0	0.0	80
388.5	-6.3	86.6	-1.67	-1.86	0	0	0.0	80
389.5	-6.3	86.9	-2.7	-1.89	0	0	0.0	80
390.5	-6.2	87.1	-2.66	-1.6	0	0	0.0	80
391.5	-6.1	87.3	-2.38	-1.66	0	0	0.0	80
392.5	-6.1	87.3	-2.72	-2.05	0	9	0.0	80
393.5	-6.0	87.6	-2.71	-1.7	0	17	0.0	80
394.5	-6.0	87.1	-2.89	-1.6	0	33	0.0	80
395.5	-6.0	86.0	-2.8	-2.11	0	34	0.0	80
396.5	-5.7	85.3	-2.35	-1.52	0	33	0.0	80
397.5	-5.7	84.7	-2.23	-2.15	0	28	0.0	80
398.5	-5.6	84.5	-3.04	-2.29	0	17	0.0	80
399.5	-5.3	84.8	-3.02	-1.96	0	8	0.0	80
400.5	-5.3	85.3	-3.61	-2.34	0	0	0.0	80
401.5	-5.3	83.7	-3.13	-1.33	0	0	0.0	80
402.5	-5.3	86.5	-3.0	-1.6	0	0	0.0	80
403.5	-5.1	89.8	-3.04	-1.29	0	0	0.0	80
404.5	-5.0	90.6	-3.73	-1.14	0	0	0.0	80
405.5	-4.7	89.6	-3.5	-1.71	0	0	0.0	80
406.5	-4.5	89.2	-3.28	-2.29	0	0	0.0	80
407.5	-4.2	89.4	-3.64	-2.1	0	0	0.0	80
408.5	-4.0	90.0	-3.52	-2.29	0	0	0.0	80
409.5	-3.8	90.4	-3.85	-2.13	0	0	0.0	80
410.5	-5.3	94.0	-1.9	0.1	0	0	0.0	80
411.5	-5.1	94.4	-2.3	-0.12	0	0	0.0	80
412.5	-5.3	94.8	-2.48	-0.3	0	0	0.0	80
413.5	-4.9	95.1	-3.38	-1.5	0	0	0.0	50
414.5	-4.8	94.7	-2.46	-0.43	0	0	0.0	50
415.5	-5.1	95.7	-1.36	0.32	0	0	0.0	50
416.5	-4.8	95.5	-2.7	-0.72	0	7	0.0	50
417.5	-3.7	94.3	-3.5	-1.48	0	14	0.0	50
418.5	-3.6	92.5	-3.72	-2.15	0	20	0.0	50
419.5	-3.7	91.0	-3.18	-1.69	0	23	0.0	50
420.5	-3.5	88.0	-3.48	-2.35	0	34	0.0	50
421.5	-3.5	87.2	-2.98	-2.01	0	26	0.0	50
422.5	-3.4	85.3	-2.43	-1.58	0	19	0.0	50
423.5	-3.4	82.6	-2.11	-1.84	0	8	0.0	50
424.5	-3.6	80.4	-2.8	-2.11	0	0	0.0	50
425.5	-3.7	81.2	-2.77	-1.8	0	0	0.0	50
426.5	-3.8	83.8	-2.05	-1.43	0	0	0.0	50
427.5	-3.8	83.6	-1.97	-1.38	0	0	0.0	50
428.5	-4.0	83.6	-2.19	-1.9	0	0	0.0	50
429.5	-4.1	84.8	-1.61	-1.78	0	0	0.0	50
430.5	-4.3	85.1	-0.94	-1.77	0	0	0.0	50
431.5	-4.2	85.4	-1.32	-1.63	0	0	0.0	50
432.5	-4.2	84.3	-1.2	-1.6	0	0	0.0	50
433.5	-4.2	82.8	-1.3	-1.39	0	0	0.0	50
434.5	-4.3	84.2	-0.82	-1.13	0	0	0.0	50
435.5	-4.3	84.7	-0.7	-1.32	0	0	0.0	50
