#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	4.0	80.9	-2.23	2.15	0	0	50	0.5	14
0.5	4.0	80.9	-2.23	2.15	0	0	50	0.5	14
1.5	3.2	84.8	1.43	-2.05	0	0	58	2.2	14
2.5	2.6	87.7	0.32	-1.05	0	0	67	0.1	14
3.5	2.2	89.2	0.52	-1.3	0	0	75	0.0	14
4.5	1.8	90.9	0.53	-1.19	0	0	83	0.0	14
5.5	1.9	89.3	-0.38	1.24	0	0	92	0.1	14
6.5	2.1	87.1	-0.86	2.35	0	0	100	0.0	14
7.5	2.6	84.6	-1.7	3.06	0	0	100	0.0	14
8.5	2.9	85.1	-0.37	2.98	0	10	100	0.0	14
9.5	2.8	87.8	0.33	1.15	0	36	100	0.0	14
10.5	3.6	82.0	0.79	-0.76	0	58	100	0.0	14
11.5	4.0	78.4	0.98	0.69	0	68	100	0.0	30
12.5	3.6	80.0	0.75	-2.8	0	53	100	0.2	30
13.5	1.3	88.8	0.78	-2.9	0	36	100	0.6	30
14.5	1.4	85.6	1.22	-1.46	0	26	100	0.0	30
15.5	1.3	84.4	1.02	-3.35	0	10	100	0.0	30
16.5	0.6	91.5	1.05	0.32	0	0	100	0.3	30
17.5	0.4	92.2	-0.0	-0.8	0	0	100	0.3	30
18.5	0.4	85.1	-1.09	-2.69	0	0	100	0.0	30
19.5	0.3	73.1	-2.77	-5.44	0	0	100	0.1	30
20.5	0.7	60.7	-2.04	-5.32	0	0	100	0.0	30
21.5	0.1	62.8	-3.1	-5.83	0	0	100	0.0	30
22.5	0.7	50.8	-2.23	-3.44	0	0	100	0.0	30
23.5	0.1	51.5	-1.97	-0.72	0	0	100	0.0	30
24.5	-0.6	52.6	-0.17	-0.98	0	0	100	0.0	30
25.5	-1.4	61.9	-0.12	2.3	0	0	100	0.0	30
26.5	-0.8	55.0	-2.11	2.8	0	0	100	0.0	30
27.5	-0.9	59.5	-2.59	2.78	0	0	100	0.0	30
28.5	-1.1	62.1	-1.66	2.38	0	0	100	0.0	30
29.5	-1.7	69.4	-0.41	1.34	0	0	100	0.0	65
30.5	-2.6	88.1	-1.2	1.6	0	0	100	0.5	65
31.5	-2.3	82.2	-1.11	3.63	0	0	100	0.1	65
32.5	-2.3	82.9	-0.39	1.14	0	14	100	0.2	65
33.5	-2.6	91.3	0.02	-0.9	0	25	100	1.5	65
34.5	-2.1	87.6	-0.18	1.29	0	76	100	0.0	65
35.5	-1.5	81.6	-0.2	0.88	3	134	100	0.0	80
36.5	-1.4	81.9	0.28	0.64	2	123	100	0.0	80
37.5	-0.7	71.0	0.44	-1.43	10	124	100	0.0	80
38.5	-1.2	77.0	-0.49	1.1	34	72	100	0.0	80
39.5	-1.1	73.1	0.15	1.39	0	12	100	0.0	80
40.5	-1.4	69.3	-0.96	3.36	0	0	100	0.0	80
41.5	-1.6	72.6	-0.86	2.35	0	0	100	0.0	80
42.5	-1.9	79.1	-0.62	1.9	0	0	100	0.0	80
43.5	-1.2	72.3	-1.23	2.41	0	0	100	0.0	80
44.5	-1.8	83.9	0.3	1.67	0	0	100	0.2	80
45.5	-2.3	92.5	0.33	0.23	0	0	100	1.4	80
46.5	-1.8	85.8	-0.8	0.42	0	0	100	0.0	80
47.5	-1.7	85.9	0.96	0.29	0	0	100	0.0	80
48.5	-1.3	84.8	-1.07	-3.12	0	0	100	0.3	80
49.5	-1.7	88.8	0.21	-1.69	0	0	100	0.0	80
50.5	-1.3	82.0	1.39	-4.28	0	0	100	0.0	80
51.5	-1.2	73.9	-0.83	-5.24	0	0	100	0.1	80
52.5	-1.7	80.0	0.73	-6.96	0	0	100	0.1	80
53.5	-1.5	72.4	-0.24	-6.9	0	0	100	0.0	80
54.5	-2.0	75.6	1.82	-6.34	0	0	100	0.0	80
55.5	-2.6	78.3	2.81	-5.07	0	0	100	0.0	80
56.5	-2.9	78.1	-0.24	-1.38	0	36	100	0.0	80
57.5	-2.6	74.3	-0.46	-0.2	0	90	100	0.0	80
58.5	-1.7	66.5	0.6	-1.48	70	138	100	0.0	80
59.5	-1.5	66.2	2.16	-2.49	79	158	100	0.0	80
60.5	-1.6	67.1	0.74	-2.28	0	111	100	0.0	80
61.5	-1.6	67.0	1.49	-2.49	0	93	100	0.0	80
62.5	-1.9	71.7	1.15	-2.99	11	73	100	0.0	80
63.5	-2.6	78.7	0.74	-3.83	0	30	100	0.0	80
64.5	-3.0	81.1	0.0	-3.0	0	0	100	0.0	80
65.5	-3.2	83.7	-0.23	-2.59	0	0	100	0.0	80
66.5	-3.4	80.5	-0.66	-1.35	0	0	100	0.0	80
67.5	-4.0	80.6	0.05	-1.0	0	0	100	0.0	80
68.5	-5.0	86.2	0.56	-0.42	0	0	100	0.0	80
69.5	-5.4	87.5	-0.49	-1.1	0	0	100	0.0	80
70.5	-5.0	85.2	-0.4	-1.75	0	0	100	0.0	80
71.5	-5.8	85.4	-0.1	-1.2	0	0	100	0.0	80
72.5	-6.8	88.0	0.17	-1.59	0	0	100	0.0	80
73.5	-6.1	85.7	-0.21	-2.39	0	0	100	0.0	80
74.5	-8.0	89.3	0.5	0.07	0	0	100	0.0	80
75.5	-8.1	90.1	-0.54	-0.72	0	0	100	0.0	80
76.5	-7.8	89.1	0.24	-0.18	0	0	100	0.0	80
77.5	-6.8	87.4	-0.04	0.5	0	0	100	0.0	80
78.5	-6.4	88.1	0.24	-0.18	0	0	100	0.0	80
79.5	-6.2	86.1	0.41	-0.44	0	0	96	0.0	80
80.5	-6.0	82.5	0.26	-1.88	0	31	92	0.0	80
81.5	-5.3	77.0	-0.39	-1.03	0	101	88	0.0	80
82.5	-4.8	76.1	1.07	-0.55	484	130	83	0.0	80
83.5	-4.6	74.1	0.32	-2.28	88	148	79	0.0	80
84.5	-4.0	70.1	1.11	-3.22	229	146	75	0.0	80
85.5	-4.0	67.2	1.6	-2.77	23	121	77	0.0	80
86.5	-4.2	69.1	1.55	-1.26	0	54	79	0.0	80
87.5	-4.2	71.0	0.74	-1.19	0	15	81	0.0	80
88.5	-4.6	70.1	0.99	-3.25	0	0	83	0.0	80
89.5	-5.0	67.4	0.94	-2.1	0	0	85	0.0	80
90.5	-5.5	68.8	0.69	-0.86	0	0	88	0.0	80
91.5	-5.8	69.7	0.72	-0.54	0	0	80	0.0	80
92.5	-6.1	72.9	0.61	-1.26	0	0	73	0.0	80
93.5	-6.4	75.3	0.16	-1.49	0	0	66	0.0	80
94.5	-7.2	79.2	0.42	-1.23	0	0	58	0.0	80
95.5	-7.6	81.4	0.52	-0.86	0	0	51	0.0	80
96.5	-8.1	81.7	0.22	-0.56	0	0	44	0.0	80
97.5	-9.4	86.6	0.3	-0.05	0	0	36	0.0	80
98.5	-10.1	89.6	0.16	0.12	0	0	29	0.0	80
99.5	-11.5	88.4	-0.06	0.4	0	0	22	0.0	80
100.5	-9.4	68.4	-1.25	1.43	0	0	15	0.0	80
101.5	-9.4	61.5	-1.36	1.46	0	0	7	0.0	80
102.5	-9.5	60.3	-1.36	1.46	0	0	0	0.0	80
103.5	-9.6	60.7	-1.7	1.7	0	0	0	0.0	80
104.5	-9.5	58.8	-1.79	1.45	0	27	0	0.0	80
105.5	-8.8	55.6	-1.61	1.78	0	133	0	0.0	80
106.5	-7.4	49.3	-1.68	1.26	595	109	0	0.0	80
107.5	-7.3	56.1	0.9	-2.01	800	62	0	0.0	80
108.5	-6.7	54.4	0.78	-1.84	802	63	0	0.0	80
109.5	-6.5	56.1	1.21	-2.85	754	59	0	0.0	80
110.5	-6.8	58.7	1.27	-2.38	615	45	0	0.0	80
111.5	-8.1	64.6	0.42	-1.23	0	20	0	0.0	80
112.5	-9.4	71.1	0.39	-0.07	0	0	0	0.0	80
113.5	-10.6	81.3	-0.12	0.16	0	0	0	0.0	80
114.5	-11.1	85.3	0.07	0.39	0	0	0	0.0	80
115.5	-11.5	84.7	-0.01	0.6	0	0	0	0.0	80
116.5	-12.8	88.3	0.12	-0.16	0	0	0	0.0	80
117.5	-12.6	88.2	0.17	-0.25	0	0	0	0.0	80
118.5	-12.4	86.5	0.25	0.17	0	0	0	0.0	80
119.5	-13.1	87.5	-0.15	0.48	0	0	0	0.0	80
120.5	-12.0	82.4	-0.6	1.04	0	0	0	0.0	80
121.5	-8.5	71.5	-1.89	2.33	0	0	0	0.0	80
122.5	-6.9	66.5	-3.03	2.45	0	0	0	0.0	80
123.5	-6.4	64.4	-3.07	2.4	0	0	0	0.0	80
124.5	-5.9	61.9	-2.38	2.14	0	0	0	0.0	80
125.5	-5.8	61.4	-2.64	1.99	0	0	0	0.0	80
126.5	-5.8	61.8	-2.38	2.14	0	0	0	0.0	80
127.5	-5.8	60.7	-2.32	2.49	0	0	2	0.0	80
128.5	-6.0	61.9	-2.11	2.27	0	26	4	0.0	80
129.5	-8.2	71.2	-0.85	0.53	0	137	6	0.0	80
130.5	-7.4	71.7	0.44	-1.64	616	109	8	0.0	80
131.5	-6.2	67.5	0.38	-1.24	771	70	10	0.0	80
132.5	-5.9	69.3	1.01	-2.17	750	65	12	0.0	80
133.5	-5.4	67.9	1.06	-2.27	724	63	10	0.0	80
134.5	-5.7	69.1	1.01	-2.07	540	56	8	0.0	80
135.5	-7.2	75.7	0.31	-0.85	0	22	6	0.0	80
136.5	-8.3	82.1	0.12	-0.38	0	0	4	0.0	80
137.5	-9.5	86.8	0.07	0.39	0	0	2	0.0	80
138.5	-9.4	83.8	-0.34	1.46	0	0	0	0.0	80
139.5	-6.9	74.0	-1.8	3.68	0	0	0	0.0	80
140.5	-6.5	73.5	-1.76	2.18	0	0	0	0.0	80
141.5	-9.9	88.5	0.23	-0.33	0	0	0	0.0	80
142.5	-7.2	75.8	-1.36	2.1	0	0	0	0.0	80
143.5	-7.5	75.9	-1.09	1.56	0	0	0	0.0	80
144.5	-7.1	73.5	-1.56	1.56	0	0	0	0.0	80
145.5	-7.4	73.2	-0.94	2.1	0	0	0	0.0	80
146.5	-6.6	70.2	-1.42	2.18	0	0	0	0.0	80
147.5	-8.6	78.4	-0.58	1.6	0	0	0	0.0	80
148.5	-7.1	70.6	-1.48	2.38	0	0	0	0.0	80
149.5	-6.8	68.5	-1.65	2.74	0	0	0	0.0	80
150.5	-6.6	68.0	-1.77	2.04	0	0	0	0.0	80
151.5	-5.9	65.3	-2.2	2.72	0	0	17	0.0	80
152.5	-5.5	63.7	-1.96	3.02	0	34	33	0.0	14
153.5	-4.9	62.0	-1.94	2.67	0	70	50	0.0	14
154.5	-4.3	59.5	-1.77	2.04	0	86	67	0.0	14
155.5	-4.2	62.4	-0.67	2.51	0	91	83	0.0	80
156.5	-3.7	61.8	-0.58	2.33	131	103	100	0.0	80
157.5	-2.5	55.4	-0.31	2.18	484	159	100	0.0	80
158.5	-2.8	56.5	-0.09	1.3	160	71	100	0.0	80
159.5	-3.3	60.5	0.16	0.36	0	36	100	0.0	80
160.5	-3.6	66.1	0.32	-0.24	0	0	100	0.0	80
161.5	-3.6	70.0	0.55	-1.18	0	0	100	0.0	80
162.5	-3.6	70.0	0.05	-0.7	0	0	100	0.0	80
163.5	-3.6	71.4	0.08	1.1	0	0	100	0.0	80
164.5	-3.5	70.7	-0.18	0.57	0	0	100	0.0	80
165.5	-3.7	76.8	0.36	-0.16	0	0	100	0.0	80
166.5	-4.0	81.2	0.09	0.49	0	0	100	0.0	80
167.5	-4.2	83.9	0.38	0.12	0	0	100	0.0	80
168.5	-4.4	88.9	0.2	-0.04	0	0	100	0.1	80
169.5	-4.3	89.7	0.05	0.3	0	0	100	0.1	80
170.5	-4.4	91.1	0.02	0.1	0	0	100	0.0	80
171.5	-4.5	91.4	0.1	-0.02	0	0	100	0.0	80
172.5	-4.3	90.5	-0.0	-0.0	0	0	100	0.1	80
173.5	-4.3	91.2	0.08	0.06	0	0	100	0.0	80
174.5	-4.0	89.9	-0.06	0.19	0	0	100	0.0	80
175.5	-3.8	89.9	0.04	0.2	0	4	90	0.0	80
176.5	-3.5	88.0	0.02	1.3	0	36	79	0.0	80
177.5	-3.6	88.4	-0.1	-0.59	0	162	69	0.0	80
178.5	-2.7	81.9	0.03	-0.4	553	103	58	0.0	80
179.5	-1.6	74.9	0.35	-1.15	732	66	48	0.0	80
180.5	-1.2	72.5	1.01	-2.07	744	63	38	0.0	80
181.5	-1.3	75.6	1.14	-2.34	678	60	44	0.0	80
182.5	-1.7	77.5	1.38	-2.2	501	54	50	0.0	80
183.5	-2.6	79.9	0.4	-0.81	0	30	56	0.0	80
184.5	-2.9	82.0	0.1	-0.02	0	0	62	0.0	80
185.5	-2.8	81.3	0.46	0.53	0	0	69	0.0	80
186.5	-3.4	82.2	-0.17	1.89	0	0	75	0.0	80
187.5	-3.5	79.3	-1.68	1.26	0	0	77	0.0	80
188.5	-3.2	74.5	-1.54	1.84	0	0	79	0.0	80
189.5	-3.6	72.8	-1.77	1.77	0	0	81	0.0	80
190.5	-3.5	67.9	-1.9	2.19	0	0	83	0.0	80
191.5	-3.7	65.9	-1.94	2.15	0	0	85	0.0	80
192.5	-3.2	60.9	-1.99	2.38	0	0	88	0.0	80
193.5	-3.5	61.4	-1.84	2.11	0	0	90	0.0	80
194.5	-3.7	62.5	-1.82	2.25	0	0	92	0.0	80
195.5	-4.0	64.3	-1.54	3.03	0	0	94	0.0	80
196.5	-3.8	64.6	-2.07	2.3	0	0	96	0.0	80
197.5	-3.9	64.7	-1.76	2.43	0	0	98	0.0	80
198.5	-4.1	66.5	-1.15	2.99	0	0	100	0.0	80
199.5	-3.8	65.2	-1.36	2.56	0	0	100	0.0	80
200.5	-3.3	64.2	-1.32	2.47	0	25	100	0.0	80
201.5	-3.1	65.6	-1.35	2.9	0	40	100	0.0	80
202.5	-2.8	66.4	-1.15	2.99	0	62	100	0.0	80
203.5	-2.1	64.2	-1.1	2.47	0	55	100	0.0	80
204.5	-1.9	64.7	-0.22	1.58	0	55	100	0.0	80
205.5	-1.9	68.7	-0.14	1.59	0	47	100	0.0	80
206.5	-1.8	74.7	-0.41	1.65	0	45	100	0.0	80
207.5	-1.7	79.4	-0.35	1.97	0	20	100	0.0	80
208.5	-1.6	83.8	-0.2	1.89	0	0	100	0.0	80
209.5	-1.4	83.8	-0.08	2.4	0	0	100	0.0	80
210.5	-1.3	83.7	-0.7	3.02	0	0	100	0.0	80
211.5	-1.0	82.5	-0.9	3.59	0	0	100	0.0	80
212.5	-1.2	83.0	-0.42	3.98	0	0	100	0.0	80
213.5	-0.7	80.2	-0.97	3.88	0	0	100	0.0	80
214.5	0.0	76.0	-0.5	3.56	0	0	100	0.0	80
215.5	0.4	73.6	-1.01	3.77	0	0	100	0.0	80
216.5	-0.1	80.6	-0.71	4.04	0	0	100	0.0	80
217.5	-0.1	83.1	-0.64	4.56	0	0	100	0.0	80
218.5	0.2	85.2	-0.99	5.61	0	0	100	0.0	80
219.5	0.4	83.0	-1.72	4.26	0	0	100	0.0	80
220.5	0.2	87.9	-2.16	4.06	0	0	100	0.1	80
221.5	0.5	86.9	-2.27	4.46	0	0	100	0.1	80
222.5	0.7	86.7	-2.59	3.43	0	0	100	0.0	80
223.5	0.5	87.5	-1.54	4.23	0	0	100	0.3	80
224.5	0.4	87.6	-1.46	4.26	0	17	100	0.0	80
225.5	1.2	86.4	-1.4	2.88	0	31	100	0.2	80
226.5	1.4	86.7	-0.66	3.74	0	58	100	0.0	80
227.5	1.9	85.0	-1.08	2.8	0	73	100	0.0	80
228.5	2.1	85.1	-0.27	1.37	0	77	100	0.0	80
229.5	5.4	64.3	-2.87	-8.85	0	55	100	0.1	80
230.5	5.3	63.0	-2.85	-6.4	0	29	100	0.0	80
231.5	5.2	62.3	-4.65	-6.64	0	9	100	0.0	80
232.5	5.2	59.2	0.34	-6.39	0	0	100	0.0	80
233.5	4.5	65.8	-2.97	-7.0	0	0	100	0.1	14
234.5	4.6	64.6	-4.5	-5.36	0	0	100	0.1	14
235.5	4.1	70.7	-4.59	-5.67	0	0	100	0.2	14
236.5	2.9	81.9	-1.46	-4.26	0	0	100	0.7	14
237.5	1.0	92.6	0.05	-0.7	0	0	100	0.9	14
238.5	0.8	92.0	-0.36	2.07	0	0	100	1.4	14
239.5	0.7	92.6	-0.98	1.39	0	0	100	1.5	14
240.5	1.2	91.0	-1.27	2.5	0	0	100	1.1	14
241.5	2.0	88.5	-1.95	4.6	0	0	100	1.2	14
242.5	2.3	88.1	-2.45	3.77	0	0	100	1.2	14
243.5	2.3	88.6	-0.59	3.35	0	0	100	2.0	14
244.5	2.6	89.7	0.36	2.07	0	0	100	1.9	14
245.5	2.6	91.3	0.24	1.38	0	0	100	1.0	30
246.5	5.4	78.0	-3.43	-4.55	0	0	100	0.5	30
247.5	6.3	72.5	-4.38	-7.29	0	0	100	0.5	30
248.5	5.5	78.8	-1.24	-4.33	0	8	100	0.6	30
249.5	4.2	77.2	-2.72	-6.12	0	11	100	2.2	30
250.5	3.6	71.6	-2.38	-6.9	0	51	100	0.1	30
251.5	3.4	67.8	-1.85	-5.71	0	69	100	0.0	14
252.5	3.5	58.8	-3.01	-3.99	0	92	100	0.0	14
253.5	3.2	55.8	0.67	-3.44	0	66	100	0.0	14
254.5	0.3	85.8	0.0	-2.2	0	20	100	0.5	14
255.5	0.0	79.9	0.79	-3.41	0	13	100	0.1	14
256.5	0.4	71.3	-0.49	-1.42	0	0	100	0.0	14
257.5	1.2	59.1	-1.12	-2.01	0	0	100	0.0	65
258.5	0.9	64.4	-2.68	-4.46	0	0	100	0.0	65
259.5	0.1	75.9	-1.75	-3.6	0	0	100	0.1	65
260.5	0.5	67.5	-1.12	-2.78	0	0	100	0.0	65
261.5	0.9	61.0	-2.67	-4.11	0	0	100	0.0	65
262.5	1.0	57.8	-2.11	-2.8	0	0	100	0.0	65
263.5	0.3	70.0	-2.67	-4.11	0	0	100	0.0	65
264.5	0.2	71.3	-2.83	-3.75	0	0	100	0.0	65
265.5	0.2	71.7	-1.68	-4.39	0	0	100	0.0	65
266.5	-0.1	76.0	-1.39	-4.28	0	0	100	0.2	65
267.5	-0.7	84.7	-2.44	-3.9	0	0	100	0.7	65
268.5	-0.5	79.5	-1.87	-4.2	0	0	100	0.1	65
269.5	0.2	66.6	-2.09	-4.1	0	0	100	0.0	80
270.5	0.3	62.3	-3.26	-3.38	0	0	100	0.0	80
271.5	0.5	60.2	-3.89	-3.89	0	0	100	0.0	80
272.5	0.0	68.8	-2.42	-4.03	0	12	100	0.0	80
273.5	0.2	68.8	-1.86	-3.65	0	29	100	0.0	80
274.5	0.3	69.2	-0.99	-3.04	0	75	100	0.0	80
275.5	0.1	74.1	-0.49	1.52	23	157	100	0.0	80
276.5	0.1	72.4	-0.81	1.83	0	89	100	0.0	80
277.5	-0.6	84.6	-0.48	2.45	0	39	100	0.1	80
278.5	-1.0	90.9	-0.1	1.9	0	14	100	0.6	80
279.5	-1.1	92.4	-0.27	0.75	0	4	100	1.6	80
280.5	-1.3	94.4	0.1	-0.49	0	0	100	1.3	80
281.5	-0.7	89.7	0.47	-2.05	0	0	100	0.2	80
282.5	0.5	73.2	-1.9	-6.22	0	0	100	0.0	80
283.5	0.4	66.8	-2.02	-5.86	0	0	100	0.0	80
284.5	-0.3	65.2	-1.08	-6.82	0	0	100	0.0	80
285.5	-0.9	69.1	0.0	-8.1	0	0	100	0.0	80
286.5	-1.2	71.5	-2.27	-5.34	0	0	100	0.0	80
287.5	-1.3	64.8	-0.92	-5.83	0	0	100	0.0	80
288.5	-1.7	65.9	0.61	-4.96	0	0	100	0.0	80
289.5	-2.0	68.8	0.82	-4.63	0	0	100	0.0	80
290.5	-2.9	80.0	1.85	-2.36	0	0	100	0.0	80
291.5	-3.1	83.9	0.29	-0.75	0	0	100	0.0	80
292.5	-3.2	85.5	-0.57	-0.4	0	0	100	0.0	80
293.5	-3.6	88.0	0.29	-0.75	0	0	100	0.0	80
294.5	-3.5	90.5	0.28	-1.78	0	0	100	0.0	80
295.5	-3.4	90.3	0.32	-1.36	0	4	94	0.0	80
296.5	-3.3	84.2	-0.66	-0.88	0	29	88	0.0	80
297.5	-3.1	80.7	-0.89	0.16	0	83	81	0.0	80
298.5	-2.9	81.7	0.1	-1.2	9	129	75	0.0	80
299.5	-2.3	75.5	0.16	-1.29	466	145	69	0.0	80
300.5	-2.0	73.6	1.01	-2.93	628	105	62	0.0	80
301.5	-2.2	72.8	1.55	-2.21	381	112	54	0.0	80
302.5	-2.9	72.4	1.09	-1.56	0	73	46	0.0	80
303.5	-4.4	79.0	0.26	-0.14	0	25	38	0.0	80
304.5	-6.8	88.2	0.16	0.12	0	0	29	0.0	80
305.5	-8.1	91.8	0.16	0.12	0	0	21	0.0	80
306.5	-8.8	91.6	0.07	0.39	0	0	12	0.0	80
307.5	-9.3	91.4	-0.2	0.04	0	0	11	0.0	80
308.5	-9.7	90.8	-0.07	0.5	0	0	10	0.0	80
309.5	-10.5	90.0	0.04	0.2	0	0	9	0.0	80
310.5	-9.5	90.4	-0.06	0.08	0	0	8	0.0	80
311.5	-9.8	90.9	0.06	-0.08	0	0	7	0.0	80
312.5	-10.6	89.5	-0.32	0.62	0	0	6	0.0	80
313.5	-6.7	70.7	-1.56	2.08	0	0	5	0.0	80
314.5	-6.6	66.8	-1.68	1.41	0	0	4	0.0	80
315.5	-7.0	67.0	-1.88	1.94	0	0	3	0.0	80
316.5	-7.4	66.9	-2.04	1.77	0	0	2	0.0	80
317.5	-7.7	66.8	-1.87	1.81	0	0	1	0.0	80
318.5	-8.0	66.0	-2.06	2.45	0	0	0	0.0	80
319.5	-8.3	66.5	-2.05	2.05	0	6	2	0.0	80
320.5	-8.4	67.0	-2.15	2.23	0	27	4	0.0	80
321.5	-7.6	62.1	-1.99	2.38	171	118	6	0.0	80
322.5	-6.3	57.8	-2.17	3.48	715	89	8	0.0	80
323.5	-5.3	54.5	-1.45	2.97	835	71	10	0.0	80
324.5	-4.4	54.0	-0.83	2.88	832	73	12	0.0	80
325.5	-3.8	53.2	-0.37	1.76	763	79	10	0.0	80
326.5	-4.0	53.3	0.44	0.41	524	96	8	0.0	80
327.5	-5.6	63.9	0.51	-0.32	0	51	6	0.0	80
328.5	-7.1	74.6	0.19	0.35	0	0	4	0.0	80
329.5	-8.8	81.9	0.1	0.59	0	0	2	0.0	80
330.5	-5.5	66.9	-1.54	2.46	0	0	0	0.0	80
331.5	-4.8	66.4	-1.8	3.0	0	0	8	0.0	80
332.5	-4.2	65.2	-2.85	2.95	0	0	17	0.0	80
333.5	-3.8	64.0	-1.5	2.0	0	0	25	0.0	80
334.5	-4.2	67.7	-0.77	3.1	0	0	33	0.0	80
335.5	-4.4	67.3	-1.44	3.08	0	0	42	0.0	80
336.5	-4.3	67.7	-1.5	2.6	0	0	50	0.0	80
337.5	-4.1	66.5	-1.6	2.05	0	0	58	0.0	80
338.5	-3.9	65.9	-1.31	2.01	0	0	67	0.0	80
339.5	-4.2	69.2	-1.02	3.35	0	0	75	0.0	80
340.5	-3.9	66.5	-1.85	2.85	0	0	83	0.0	80
341.5	-3.9	67.0	-1.94	2.15	0	0	92	0.0	80
342.5	-3.6	66.6	-1.38	1.97	0	0	100	0.0	80
343.5	-3.4	66.8	-1.54	3.03	0	10	85	0.0	80
344.5	-3.2	65.5	-1.84	2.62	0	56	71	0.0	80
345.5	-2.3	62.2	-1.6	1.65	527	92	56	0.0	80
346.5	-1.2	56.5	-1.01	2.93	731	134	42	0.0	80
347.5	-0.6	54.9	-1.03	2.82	764	93	27	0.0	80
348.5	0.1	52.3	-0.45	2.56	832	71	12	0.0	80
349.5	-0.2	53.4	0.24	0.32	764	76	10	0.0	80
350.5	0.2	52.4	0.35	-0.19	530	95	8	0.0	80
351.5	-1.5	66.6	0.5	-0.49	0	53	6	0.0	80
352.5	-3.4	78.2	0.16	0.12	0	0	4	0.0	80
353.5	-4.5	83.0	-0.2	0.67	0	0	2	0.0	80
354.5	-5.6	85.6	0.09	0.49	0	0	0	0.0	80
355.5	-7.3	89.7	-0.09	0.29	0	0	0	0.0	80
356.5	-7.3	88.9	-0.27	1.07	0	0	0	0.0	80
357.5	-7.1	90.4	0.12	-0.59	0	0	0	0.0	80
358.5	-8.1	90.3	0.3	-0.05	0	0	0	0.0	80
359.5	-8.2	90.0	0.23	-0.33	0	0	0	0.0	80
360.5	-9.0	90.9	-0.04	0.5	0	0	0	0.0	80
361.5	-2.9	72.3	-1.84	1.98	0	0	0	0.0	80
362.5	-2.0	68.0	-1.7	2.71	0	0	0	0.0	80
363.5	-1.7	67.1	-2.01	2.87	0	0	0	0.0	80
364.5	-3.8	74.1	-1.5	2.0	0	0	0	0.0	80
365.5	-8.8	90.8	0.1	-0.49	0	0	0	0.0	80
366.5	-9.2	91.3	0.12	0.16	0	0	0	0.0	80
367.5	-10.0	90.6	0.05	0.3	0	8	0	0.0	80
368.5	-9.2	90.0	-0.1	0.69	0	27	0	0.0	80
369.5	-7.6	89.3	0.04	0.2	181	120	0	0.0	80
370.5	-4.2	78.9	0.01	0.7	718	90	0	0.0	80
371.5	-2.2	71.0	0.4	-0.57	835	67	0	0.0	80
372.5	-1.3	69.4	0.5	-0.98	830	67	0	0.0	80
373.5	-0.5	67.1	0.69	-0.98	791	66	0	0.0	80
374.5	-0.6	68.4	0.35	-0.19	597	73	0	0.0	80
375.5	-1.5	75.0	0.4	-0.3	0	55	0	0.0	80
376.5	-3.5	82.7	0.27	-0.75	0	0	0	0.0	80
377.5	-5.1	87.1	-0.0	-0.0	0	0	0	0.0	80
378.5	-5.3	89.0	0.14	0.26	0	0	0	0.0	80
379.5	-7.0	92.2	0.04	0.2	0	0	8	0.0	80
380.5	-6.9	91.9	-0.36	0.35	0	0	17	0.0	80
381.5	-5.1	87.8	-1.28	0.57	0	0	25	0.0	80
382.5	-7.2	91.8	0.46	-0.2	0	0	33	0.0	80
383.5	-7.9	91.2	0.23	-0.76	0	0	42	0.0	80
384.5	-8.9	91.7	0.34	-0.49	0	0	50	0.0	80
385.5	-10.0	90.8	0.32	-0.73	0	0	58	0.0	80
386.5	-9.6	91.1	0.15	-0.48	0	0	67	0.0	80
387.5	-9.0	91.6	0.35	-0.19	0	0	75	0.0	80
388.5	-9.3	91.3	0.12	-0.16	0	0	83	0.0	80
389.5	-9.7	91.0	0.15	-0.48	0	0	92	0.0	80
390.5	-10.2	90.6	0.22	-0.56	0	0	100	0.0	80
391.5	-10.7	90.1	0.04	-0.3	0	4	83	0.0	80
392.5	-10.8	90.0	0.04	-0.3	0	20	67	0.0	80
393.5	-10.1	88.2	0.04	-0.3	164	121	50	0.0	80
394.5	-8.5	86.5	0.33	-0.95	660	93	33	0.0	80
395.5	-7.2	84.4	0.68	-1.45	810	62	17	0.0	80
396.5	-6.4	86.2	1.03	-1.94	723	85	0	0.0	80
397.5	-5.6	87.7	1.06	-2.27	423	132	17	0.0	80
398.5	-5.8	91.6	0.65	-1.89	92	98	33	0.0	80
399.5	-6.2	92.1	0.71	-1.76	0	37	50	0.0	80
400.5	-6.4	94.0	0.45	-1.0	0	0	67	0.0	80
401.5	-6.8	93.7	0.06	-0.8	0	0	83	0.0	80
402.5	-7.2	93.1	0.05	-1.0	0	0	100	0.0	80
403.5	-7.8	91.2	0.17	-0.88	0	0	95	0.0	80
404.5	2.5	43.4	-1.71	1.96	0	0	90	0.0	80
405.5	8.3	22.0	-2.9	2.61	0	0	84	0.0	80
406.5	9.0	19.2	-2.64	3.26	0	0	79	0.0	80
407.5	1.3	49.9	-2.01	-2.49	0	0	74	0.0	80
408.5	-6.4	88.3	0.76	-3.31	0	0	69	0.0	80
409.5	-4.0	75.2	-0.61	-1.59	0	0	64	0.0	80
410.5	7.2	23.9	-0.46	3.27	0	0	58	0.0	80
