#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	4.9	88.8	0.57	0.57	0	0	50	0.0	14
0.5	4.9	88.8	0.57	0.57	0	0	50	0.0	14
1.5	4.3	89.7	0.6	0.0	0	0	58	0.0	14
2.5	3.9	90.3	0.28	0.09	0	0	67	0.1	14
3.5	3.5	90.8	-0.21	0.21	0	0	75	1.4	14
4.5	3.4	91.0	0.48	0.12	0	0	83	0.9	14
5.5	3.5	90.8	0.3	0.0	0	0	92	0.1	14
6.5	3.5	90.6	0.6	0.0	0	0	100	0.0	14
7.5	3.8	90.5	0.45	-0.23	0	0	100	0.0	14
8.5	4.1	90.5	0.97	-0.22	0	11	100	0.1	14
9.5	4.6	90.8	0.73	-0.53	0	30	100	0.0	14
10.5	5.1	90.9	0.18	-0.09	0	21	100	0.0	14
11.5	5.6	91.0	0.34	0.5	0	23	100	0.0	14
12.5	6.0	91.2	1.1	0.1	0	18	100	0.0	14
13.5	6.3	91.2	0.79	0.11	0	11	94	0.1	14
14.5	6.8	89.9	0.73	0.53	0	64	88	0.0	14
15.5	6.6	86.8	1.36	0.85	0	37	81	0.0	14
16.5	5.4	89.5	0.55	1.07	0	0	75	0.0	14
17.5	4.5	89.9	0.41	1.02	0	0	69	0.0	14
18.5	4.8	90.2	1.82	2.25	0	0	62	0.0	14
19.5	5.4	87.8	2.52	2.71	0	0	66	0.0	14
20.5	5.3	85.5	2.43	2.52	0	0	69	0.0	14
21.5	5.5	84.6	2.47	1.32	0	0	72	0.0	14
22.5	5.6	81.5	2.87	2.01	0	0	75	0.0	14
23.5	6.0	77.8	3.32	2.24	0	0	78	0.0	14
24.5	6.0	78.5	3.88	2.82	0	0	81	0.1	14
25.5	6.2	78.9	4.34	3.04	0	0	84	0.1	14
26.5	6.5	76.4	4.5	2.6	0	0	88	0.0	14
27.5	6.4	80.4	3.59	2.71	0	0	91	0.1	14
28.5	6.9	79.0	3.5	2.83	0	0	94	0.0	14
29.5	7.1	77.2	2.81	3.12	0	0	97	0.0	14
30.5	7.3	75.4	3.66	3.41	0	0	100	0.0	14
31.5	7.3	75.0	3.58	3.34	0	0	100	0.0	14
32.5	7.6	75.7	2.71	3.47	0	25	100	0.0	14
33.5	8.6	73.5	3.4	2.95	5	81	100	0.0	14
34.5	9.0	69.8	4.12	3.34	97	130	100	0.0	14
35.5	9.4	67.8	3.5	2.83	11	125	100	0.0	14
36.5	10.0	65.5	4.69	3.41	157	138	100	0.0	14
37.5	11.2	62.8	4.07	2.35	405	117	98	0.0	14
38.5	11.4	66.2	4.24	4.39	113	75	96	0.0	14
39.5	11.4	67.6	4.33	2.3	0	15	94	0.0	14
40.5	11.2	70.2	2.8	0.0	0	0	92	0.0	14
41.5	11.5	66.4	4.7	3.05	0	0	90	0.0	14
42.5	11.6	65.5	4.24	2.65	0	0	88	0.0	14
43.5	11.4	67.5	5.64	2.05	0	0	86	0.0	14
44.5	9.8	83.2	5.12	2.28	0	0	85	0.4	14
45.5	9.9	86.3	5.98	2.54	0	0	84	0.4	14
46.5	9.4	89.2	4.94	2.63	0	0	83	2.0	14
47.5	8.7	84.3	2.99	2.51	0	0	82	0.0	14
48.5	8.3	78.5	3.07	2.4	0	0	81	0.0	14
49.5	8.2	73.5	3.1	0.77	0	0	80	0.0	14
50.5	7.7	73.5	2.1	-0.11	0	0	79	0.0	14
51.5	7.3	73.0	2.12	1.32	0	0	78	0.0	14
52.5	7.0	72.6	2.28	1.02	0	0	77	0.0	14
53.5	7.5	66.4	3.05	1.91	0	0	76	0.0	14
54.5	8.0	67.9	3.32	2.24	0	0	75	0.0	14
55.5	7.9	70.4	6.06	1.74	0	0	77	0.0	14
56.5	8.2	66.2	5.83	1.78	0	18	79	0.0	14
57.5	7.8	67.9	5.19	1.49	0	30	81	0.0	14
58.5	6.4	76.6	4.75	3.33	0	71	83	0.1	14
59.5	6.1	84.4	3.76	2.08	0	103	85	0.1	14
60.5	6.9	82.1	2.83	1.7	0	69	88	0.0	14
61.5	7.8	74.6	3.53	0.69	0	76	90	0.1	14
62.5	8.5	64.7	4.21	0.89	1	70	92	0.0	14
63.5	8.4	63.9	4.4	0.94	0	19	94	0.0	14
64.5	8.4	61.4	4.64	0.74	0	0	96	0.0	14
65.5	8.3	57.5	3.9	0.0	0	0	98	0.0	14
66.5	7.7	62.4	2.48	0.3	0	0	100	0.0	14
67.5	5.2	85.5	3.42	0.73	0	0	100	3.3	14
68.5	3.4	93.5	2.19	2.19	0	0	100	1.3	14
69.5	4.0	92.5	1.1	0.69	0	0	100	0.0	14
70.5	5.2	90.4	2.38	1.27	0	0	100	0.0	14
71.5	5.3	87.6	3.4	2.95	0	0	100	0.0	14
72.5	4.8	86.0	4.15	4.61	0	0	100	0.0	14
73.5	4.6	86.5	3.0	2.8	0	0	100	0.0	14
74.5	4.5	83.8	3.21	1.63	0	0	100	0.0	14
75.5	4.1	84.6	2.6	2.03	0	0	100	0.0	14
76.5	4.0	83.0	2.99	1.4	0	0	100	0.0	14
77.5	4.0	82.5	2.45	2.36	0	0	100	0.0	14
78.5	4.1	79.5	2.41	2.68	0	0	100	0.0	14
79.5	4.4	77.0	3.31	2.59	0	0	100	0.0	14
80.5	4.5	81.9	4.07	3.07	0	6	100	0.4	14
81.5	3.8	85.5	4.23	3.19	0	19	100	1.1	14
82.5	3.4	86.0	4.86	3.16	0	25	100	1.0	14
83.5	3.8	86.2	4.95	3.21	0	35	100	0.7	14
84.5	5.0	85.2	5.12	3.32	0	39	100	0.6	14
85.5	5.7	85.0	5.07	2.81	0	26	100	0.5	14
86.5	6.5	84.8	5.26	1.92	0	20	100	1.0	14
87.5	7.0	84.5	4.38	1.95	0	7	100	1.0	14
88.5	7.1	85.8	3.77	1.6	0	0	100	1.4	14
89.5	7.3	86.5	3.75	2.83	0	0	100	2.0	14
90.5	7.6	84.5	4.95	3.21	0	0	100	1.3	14
91.5	7.7	84.5	4.41	2.76	0	0	100	0.4	14
92.5	7.8	83.5	4.2	2.33	0	0	100	0.2	14
93.5	7.9	83.8	1.92	-5.26	0	0	100	1.9	14
94.5	7.9	83.0	4.85	2.8	0	0	100	1.4	14
95.5	8.0	83.0	4.53	2.94	0	0	100	0.8	14
96.5	8.1	83.5	4.72	2.41	0	0	100	0.8	14
97.5	8.2	83.7	4.37	2.42	0	0	100	1.0	14
98.5	8.2	83.5	4.11	2.28	0	0	100	0.5	14
99.5	8.3	82.5	3.59	1.99	0	0	100	0.0	14
100.5	8.6	74.5	4.48	1.99	0	0	100	0.0	14
101.5	9.1	71.2	4.18	2.92	0	0	100	0.0	14
102.5	8.8	74.5	3.02	3.6	0	0	100	0.0	14
103.5	8.7	73.2	2.89	4.44	0	0	92	0.0	14
104.5	9.0	70.0	2.02	4.13	0	47	83	0.0	14
105.5	9.1	69.8	2.12	2.12	0	71	75	0.0	14
106.5	9.5	67.5	2.28	1.02	203	122	67	0.0	14
107.5	10.9	64.0	2.23	3.56	409	115	58	0.0	14
108.5	12.0	58.5	2.62	1.45	438	111	50	0.0	14
109.5	12.3	54.2	2.87	2.01	661	90	48	0.0	14
110.5	12.2	57.0	2.06	2.83	613	55	46	0.0	14
111.5	11.4	59.9	1.35	1.86	0	66	44	0.0	14
112.5	9.7	69.6	0.76	0.93	0	0	42	0.0	14
113.5	7.0	84.6	0.22	0.97	0	0	40	0.0	14
114.5	5.8	89.6	-0.21	1.18	0	0	38	0.0	14
115.5	5.4	89.3	-0.32	1.05	0	0	41	0.0	14
116.5	4.7	90.7	0.31	1.26	0	0	44	0.0	14
117.5	3.3	91.7	0.59	0.81	0	0	47	0.0	14
118.5	2.7	91.6	-0.1	0.39	0	0	50	0.0	14
119.5	1.8	91.0	-0.12	0.48	0	0	53	0.0	14
120.5	1.7	90.9	-0.0	0.5	0	0	56	0.0	14
121.5	1.8	91.8	-0.14	0.58	0	0	59	0.0	14
122.5	1.3	91.2	-0.2	-0.0	0	0	62	0.0	14
123.5	1.0	91.4	0.42	0.42	0	0	66	0.0	14
124.5	0.7	90.9	0.95	0.31	0	0	69	0.0	14
125.5	0.4	89.9	-0.0	0.3	0	0	72	0.0	14
126.5	0.1	90.5	0.11	0.79	0	0	75	0.0	14
127.5	0.2	90.0	0.22	0.67	0	0	77	0.0	14
128.5	0.8	90.5	0.23	0.45	0	54	79	0.0	14
129.5	2.8	93.5	1.19	0.12	92	99	81	0.0	14
130.5	5.4	93.7	2.01	-0.61	31	128	83	0.0	14
131.5	6.8	78.3	1.2	2.97	0	101	85	0.0	14
132.5	8.1	72.2	1.33	0.9	0	105	88	0.0	14
133.5	8.5	76.4	2.42	-2.1	0	53	90	0.0	14
134.5	7.8	74.8	4.24	-2.25	0	13	92	0.1	14
135.5	6.4	77.7	5.17	-0.54	0	3	94	0.3	14
136.5	5.2	88.7	2.91	1.55	0	0	96	1.3	14
137.5	4.7	89.9	2.65	3.39	0	0	98	0.6	14
138.5	4.6	89.2	2.71	2.52	0	0	100	0.1	14
139.5	4.4	89.7	2.26	2.26	0	0	96	0.0	14
140.5	4.6	89.7	2.02	2.09	0	0	92	0.0	14
141.5	4.9	87.8	2.33	2.33	0	0	88	0.0	14
142.5	5.1	86.8	1.64	2.63	0	0	83	0.0	14
143.5	5.3	85.2	2.12	2.53	0	0	79	0.0	14
144.5	4.9	87.7	1.7	2.1	0	0	75	0.0	14
145.5	4.5	89.7	0.67	0.22	0	0	71	0.0	14
146.5	4.5	89.7	1.7	2.35	0	0	67	0.0	14
147.5	4.3	89.0	2.01	1.81	0	0	62	0.0	14
148.5	4.0	89.9	1.36	2.67	0	0	58	0.0	14
149.5	3.4	91.5	1.61	1.92	0	0	54	0.0	14
150.5	2.7	92.3	1.5	3.38	0	0	50	0.0	14
151.5	2.8	92.5	1.52	3.26	0	0	58	0.0	14
152.5	3.9	86.9	2.64	2.3	0	38	67	0.0	14
153.5	4.8	81.0	3.15	1.74	172	88	75	0.0	14
154.5	4.5	83.7	5.3	2.59	0	86	83	0.4	14
155.5	4.6	81.8	4.64	0.74	0	104	92	0.3	14
156.5	5.5	66.3	3.75	0.59	4	135	100	0.0	14
157.5	5.0	73.5	3.44	-1.05	19	123	96	0.0	14
158.5	4.6	73.4	3.08	-0.32	0	31	92	0.2	14
159.5	3.7	82.9	2.46	2.63	0	19	88	0.0	14
160.5	3.1	85.2	3.12	2.35	0	0	83	0.0	14
161.5	2.9	85.0	3.7	0.19	0	0	79	0.0	14
162.5	2.6	88.1	1.66	0.92	0	0	75	0.0	14
163.5	2.5	89.8	1.68	1.26	0	0	77	0.0	14
164.5	2.6	89.8	0.77	-0.22	0	0	79	0.2	14
165.5	1.5	92.9	0.75	0.5	0	0	81	0.9	14
166.5	1.2	93.6	0.87	0.22	0	0	83	0.0	14
167.5	1.4	94.1	0.84	0.32	0	0	85	0.0	14
168.5	1.8	93.8	1.13	0.41	0	0	88	0.0	14
169.5	1.5	94.1	1.1	0.69	0	0	90	0.0	14
170.5	1.1	93.8	1.06	1.58	0	0	92	0.0	14
171.5	1.1	92.2	1.07	0.27	0	0	94	0.0	14
172.5	1.2	92.2	1.1	0.1	0	0	96	0.0	14
173.5	0.6	93.1	0.89	0.12	0	0	98	0.0	14
174.5	0.5	93.8	0.36	-0.18	0	0	100	0.0	14
175.5	0.9	94.2	0.54	-0.27	0	0	92	0.0	14
176.5	1.0	94.5	0.45	0.23	0	41	83	0.0	14
177.5	1.3	95.5	0.0	-0.3	71	95	75	0.0	14
178.5	2.6	81.6	-0.0	0.5	455	124	67	0.0	14
179.5	3.6	70.2	-0.53	0.96	735	82	58	0.0	14
180.5	4.4	65.3	0.29	-1.47	731	101	50	0.0	14
181.5	4.2	63.0	0.1	-0.79	449	105	44	0.0	14
182.5	4.6	59.9	-0.48	0.36	481	63	38	0.0	14
183.5	3.7	66.2	-0.56	0.22	135	35	31	0.0	14
184.5	1.4	85.0	-0.23	0.45	0	0	25	0.0	14
185.5	0.2	90.2	-0.1	0.39	0	0	19	0.0	14
186.5	-0.7	90.2	-0.22	0.33	0	0	12	0.0	14
187.5	-1.3	90.7	-0.14	0.27	0	0	18	0.0	14
188.5	-1.6	92.3	-0.0	0.3	0	0	23	0.0	14
189.5	-1.9	92.8	-0.0	0.7	0	0	28	0.0	14
190.5	-2.0	92.3	0.28	0.42	0	0	33	0.0	14
191.5	-2.4	92.1	0.17	0.25	0	0	39	0.0	14
192.5	-2.6	91.8	-0.0	0.5	0	0	44	0.0	14
193.5	-2.7	92.6	0.28	0.28	0	0	49	0.0	14
194.5	-2.8	94.2	0.45	0.23	0	0	54	0.0	14
195.5	-2.5	94.7	0.11	0.59	0	0	59	0.0	14
196.5	-2.3	94.7	0.1	1.0	0	0	65	0.0	14
197.5	-2.7	94.2	-0.1	0.79	0	0	70	0.0	14
198.5	-3.1	94.2	-0.31	0.74	0	0	75	0.0	14
199.5	-3.4	93.8	-0.45	0.66	0	0	67	0.0	14
200.5	-3.0	91.4	-0.23	0.45	0	58	58	0.0	14
201.5	-2.0	83.7	0.53	0.96	100	102	50	0.0	14
202.5	-0.7	90.6	0.88	0.66	464	110	42	0.0	14
203.5	0.7	75.1	1.48	0.6	593	108	33	0.0	14
204.5	1.1	73.0	1.34	1.34	194	149	25	0.0	14
205.5	1.7	71.5	0.69	0.98	60	130	23	0.0	14
206.5	1.5	73.2	0.67	0.22	0	57	21	0.0	14
207.5	0.8	80.6	0.17	0.25	49	36	19	0.0	14
208.5	-0.1	87.8	0.1	0.39	0	0	17	0.0	14
209.5	-0.6	90.7	0.1	0.69	0	0	15	0.0	14
210.5	-0.8	90.8	0.1	0.39	0	0	12	0.0	14
211.5	-1.2	92.1	0.28	0.28	0	0	20	0.0	14
212.5	-1.0	91.5	-0.0	1.0	0	0	27	0.0	14
213.5	-0.8	91.4	-0.11	0.59	0	0	34	0.0	14
214.5	-0.6	90.4	-0.1	0.79	0	0	42	0.0	14
215.5	-0.4	90.1	-0.19	0.67	0	0	49	0.0	14
216.5	-0.2	87.3	0.22	0.56	0	0	56	0.0	14
217.5	-0.6	88.9	-0.14	0.58	0	0	64	0.0	14
218.5	-0.4	91.4	-0.0	0.5	0	0	71	0.0	14
219.5	0.0	91.0	-0.45	0.23	0	0	78	0.0	14
220.5	0.1	90.4	-0.14	-0.14	0	0	85	0.0	14
221.5	0.2	90.6	-0.5	-0.0	0	0	93	0.0	14
222.5	0.3	89.8	-0.18	-0.36	0	0	100	0.0	14
223.5	0.4	89.2	0.0	-0.1	0	0	92	0.0	14
224.5	0.9	87.4	-0.27	-0.14	0	72	83	0.0	14
225.5	2.0	78.0	-0.2	-0.0	324	93	75	0.0	14
226.5	3.1	68.0	-0.27	-0.14	479	93	67	0.0	14
227.5	4.1	64.1	0.28	-0.28	302	149	58	0.0	14
228.5	4.8	64.5	-0.54	0.27	70	146	50	0.0	14
229.5	5.5	61.7	0.42	0.42	277	119	56	0.0	14
230.5	5.6	63.3	0.48	-0.12	41	87	62	0.0	14
231.5	5.3	65.6	-0.21	-0.21	42	38	69	0.0	14
232.5	3.8	77.4	-0.14	0.27	0	0	75	0.0	14
233.5	2.6	85.7	0.23	0.45	0	0	81	0.0	14
234.5	2.5	86.0	-0.1	1.0	0	0	88	0.0	14
235.5	2.1	87.8	-0.22	0.56	0	0	89	0.0	14
236.5	1.8	89.7	-0.09	0.18	0	0	90	0.0	14
237.5	2.0	89.6	-0.0	0.1	0	0	91	0.0	14
238.5	1.9	89.9	0.09	0.18	0	0	92	0.0	14
239.5	1.8	90.8	0.36	0.18	0	0	93	0.0	14
240.5	2.1	89.5	0.8	0.0	0	0	94	0.0	14
241.5	2.6	89.1	1.06	-0.28	0	0	95	0.2	14
242.5	2.5	91.6	0.22	-0.33	0	0	96	0.0	14
243.5	2.6	93.4	0.79	-0.1	0	0	97	0.0	14
244.5	3.0	93.4	0.78	-0.19	0	0	98	0.0	14
245.5	3.9	88.2	2.1	1.53	0	0	99	0.0	14
246.5	4.0	89.2	1.56	1.09	0	0	100	0.2	14
247.5	3.8	92.8	0.69	-0.1	0	0	100	0.7	14
248.5	3.8	94.2	0.71	-0.36	0	4	100	0.6	14
249.5	4.3	94.0	1.0	1.12	0	29	100	0.5	14
250.5	5.1	94.0	0.95	0.74	0	38	100	0.5	14
251.5	5.5	92.9	0.98	1.26	0	54	100	0.1	14
252.5	5.8	90.5	1.54	1.84	0	84	100	0.1	14
253.5	5.8	89.4	1.43	1.54	0	45	92	0.0	14
254.5	5.7	90.4	1.13	0.82	0	17	83	0.1	14
255.5	5.5	91.5	1.19	0.74	0	13	75	0.2	14
256.5	4.4	90.6	0.88	0.66	0	0	67	0.0	14
257.5	2.5	94.2	0.4	0.3	0	0	58	0.0	14
258.5	1.7	95.0	-0.1	0.79	0	0	50	0.0	14
259.5	1.3	95.3	-0.0	1.0	0	0	54	0.0	14
260.5	0.5	95.3	-0.59	0.11	0	0	58	0.0	14
261.5	0.7	94.5	0.42	0.28	0	0	62	0.0	14
262.5	-0.3	95.7	-0.12	0.38	0	0	67	0.0	14
263.5	-0.1	95.2	-0.11	0.69	0	0	71	0.0	14
264.5	0.3	95.0	0.31	-0.95	0	0	75	0.0	14
265.5	0.7	95.0	-0.91	-0.79	0	0	79	0.0	14
266.5	0.2	95.0	-2.57	-0.41	0	0	83	0.0	14
267.5	0.0	94.8	-2.68	-0.28	0	0	88	0.0	14
268.5	-0.1	94.9	-1.6	-0.82	0	0	92	0.0	14
269.5	-0.2	94.9	-1.22	-0.44	0	0	96	0.0	14
270.5	-0.4	95.2	-1.56	-0.66	0	0	100	0.0	14
271.5	-0.3	94.7	-2.24	-0.52	0	0	100	0.0	14
272.5	-0.2	93.5	-1.88	-0.68	0	22	100	0.0	14
273.5	0.0	92.7	-1.09	-0.88	0	40	100	0.0	14
274.5	0.4	93.0	-0.19	-0.67	0	36	100	0.0	14
275.5	0.7	92.2	0.16	0.48	0	40	100	0.0	14
276.5	1.1	88.3	-0.5	0.87	0	55	100	0.0	14
277.5	1.3	88.0	-0.14	-0.27	0	54	100	0.0	14
278.5	1.5	85.0	-0.71	0.71	0	29	100	0.0	14
279.5	1.6	79.3	0.12	0.79	0	17	100	0.0	14
280.5	1.5	79.4	0.53	0.85	0	0	100	0.0	14
281.5	1.4	81.3	1.06	0.75	0	0	100	0.0	14
282.5	1.3	82.3	0.55	1.07	0	0	100	0.0	14
283.5	1.1	82.8	0.45	0.66	0	0	100	0.0	14
284.5	1.0	83.6	-0.1	1.0	0	0	100	0.0	14
285.5	0.8	84.4	0.66	0.76	0	0	100	0.0	14
286.5	0.7	84.6	-0.31	0.74	0	0	100	0.0	14
287.5	0.6	85.5	-0.11	0.89	0	0	100	0.0	14
288.5	0.4	86.6	-0.88	0.66	0	0	100	0.0	14
289.5	0.3	87.7	-0.93	0.58	0	0	100	0.0	14
290.5	0.1	88.9	-1.6	-0.11	0	0	100	0.0	14
291.5	0.0	88.2	-2.0	-0.0	0	0	100	0.0	14
292.5	-0.2	88.7	-1.3	-0.0	0	0	100	0.0	14
293.5	-0.1	88.8	-1.3	-0.11	0	0	100	0.0	14
294.5	-0.1	89.0	-1.7	-0.0	0	0	100	0.0	14
295.5	-0.2	88.8	-1.48	0.21	0	0	100	0.0	14
296.5	-0.3	89.0	-1.2	-0.0	0	20	100	0.0	14
297.5	-0.1	89.3	-1.48	0.21	0	47	100	0.0	14
298.5	0.0	88.8	-1.8	-0.09	0	69	100	0.0	14
299.5	0.2	88.9	-1.4	0.1	0	79	100	0.0	14
300.5	0.4	87.3	-1.1	-0.1	0	89	100	0.0	14
301.5	0.8	85.5	-0.66	0.88	0	94	100	0.0	14
302.5	1.0	85.0	-0.53	0.96	0	63	100	0.0	14
303.5	1.0	86.4	-0.19	0.98	0	24	100	0.0	14
304.5	0.8	88.9	-0.1	0.69	0	0	100	0.0	14
305.5	0.9	89.5	-0.6	-0.0	0	0	100	0.0	14
306.5	0.2	91.3	-0.58	0.14	0	0	100	0.0	14
307.5	-0.5	92.7	-0.23	-0.45	0	0	100	0.0	14
308.5	-0.5	92.8	-0.18	-0.36	0	0	100	0.0	14
309.5	-0.6	94.4	0.12	-0.48	0	0	100	0.0	14
310.5	-0.4	94.2	0.36	-0.18	0	0	100	0.0	14
311.5	-0.1	94.0	0.27	0.14	0	0	100	0.0	14
312.5	0.2	94.0	0.86	0.28	0	0	100	0.0	14
313.5	0.3	94.1	0.62	1.03	0	0	100	0.0	14
314.5	0.3	94.1	0.53	0.85	0	0	100	0.0	14
315.5	0.3	94.1	0.69	0.98	0	0	100	0.0	14
316.5	0.3	94.1	0.74	0.95	0	0	100	0.0	14
317.5	0.3	94.1	0.62	0.91	0	0	100	0.0	14
318.5	0.3	93.8	0.68	0.59	0	0	100	0.0	14
319.5	0.2	93.5	0.12	0.38	0	0	83	0.0	14
320.5	0.3	94.0	0.74	0.31	0	35	67	0.0	14
321.5	1.0	91.8	0.42	0.56	51	100	50	0.0	14
322.5	2.2	84.0	-0.84	0.32	64	147	33	0.0	14
323.5	3.7	75.7	-0.14	0.58	156	158	17	0.0	14
324.5	4.2	77.6	0.32	0.84	0	94	0	0.0	14
325.5	4.8	78.7	0.28	1.06	0	65	17	0.0	14
326.5	4.9	81.1	0.22	0.97	0	49	33	0.0	14
327.5	4.5	84.8	-0.8	-0.41	0	17	50	0.0	14
328.5	3.6	87.4	-1.39	-0.2	0	0	67	0.0	14
329.5	3.2	87.6	-0.84	0.32	0	0	83	0.0	14
330.5	3.0	89.1	-0.38	-0.12	0	0	100	0.0	14
331.5	3.4	83.4	-1.98	-0.31	0	0	100	0.0	14
332.5	3.7	72.6	-2.5	-1.27	0	0	100	0.0	14
333.5	3.9	71.1	-2.05	-1.04	0	0	100	0.0	14
334.5	4.2	71.8	-2.66	-0.86	0	0	100	0.0	14
335.5	4.4	71.1	-1.85	-0.43	0	0	100	0.0	14
336.5	4.2	72.1	-1.96	-0.38	0	0	100	0.0	14
337.5	2.4	79.0	-0.67	0.19	0	0	100	0.0	14
338.5	2.9	81.0	-2.0	0.1	0	0	100	0.0	14
339.5	3.4	76.9	-2.89	-0.2	0	0	100	0.0	14
340.5	2.4	80.7	-2.09	0.68	0	0	100	0.0	14
341.5	1.2	87.4	-0.4	1.24	0	0	100	0.0	14
342.5	0.5	91.2	-0.0	0.9	0	0	100	0.0	14
343.5	0.2	92.1	-0.0	0.8	0	0	90	0.0	14
344.5	0.9	92.1	0.36	0.71	0	32	79	0.0	14
345.5	2.1	88.7	0.89	-0.14	0	63	69	0.0	14
346.5	3.2	82.2	0.43	-1.01	21	138	58	0.0	14
347.5	5.4	69.7	0.79	-0.91	589	130	48	0.0	14
348.5	6.8	62.2	0.12	-0.48	423	140	38	0.0	14
349.5	8.2	56.8	-0.0	0.7	424	113	35	0.0	14
350.5	8.4	57.5	0.98	0.5	215	95	33	0.0	14
351.5	6.5	68.3	0.58	-0.14	3	39	31	0.0	14
352.5	3.9	84.7	-0.0	0.4	0	0	29	0.0	14
353.5	2.6	89.9	-0.09	0.59	0	0	27	0.0	14
354.5	1.3	91.7	-0.09	0.28	0	0	25	0.0	14
355.5	0.7	92.6	-0.0	0.5	0	0	31	0.0	14
356.5	0.4	92.9	-0.1	0.69	0	0	38	0.0	14
357.5	0.0	93.7	-0.0	0.7	0	0	44	0.0	14
358.5	-0.5	92.2	0.23	0.45	0	0	50	0.0	14
359.5	-0.7	92.7	0.09	0.28	0	0	56	0.0	14
360.5	-0.9	92.2	-0.0	0.4	0	0	62	0.0	14
361.5	-1.3	93.2	-0.21	0.21	0	0	69	0.0	14
362.5	-0.9	94.0	0.4	0.0	0	0	75	0.0	14
363.5	-0.6	94.4	-0.45	0.23	0	0	81	0.0	14
364.5	-0.4	94.6	-0.35	-0.35	0	0	88	0.0	14
365.5	-0.1	94.2	-0.21	0.21	0	0	94	0.0	14
366.5	0.3	94.1	0.59	0.09	0	0	100	0.0	14
367.5	0.6	94.2	0.48	0.64	0	0	98	0.0	14
368.5	1.0	94.2	0.8	0.41	0	33	96	0.0	14
369.5	1.7	95.4	-0.1	-0.0	2	87	94	0.0	14
370.5	2.8	100.0	-0.1	-0.0	225	131	92	0.0	14
371.5	3.6	88.9	0.0	-0.1	26	148	90	0.0	14
372.5	5.0	79.1	0.23	-0.45	101	158	88	0.0	14
373.5	6.4	72.3	-0.09	-0.18	123	150	85	0.0	14
374.5	7.2	68.1	-0.0	0.3	236	88	83	0.0	14
375.5	6.1	75.4	0.1	0.39	35	43	81	0.0	14
376.5	3.8	88.4	-0.0	0.5	0	0	79	0.0	14
377.5	2.4	91.5	0.09	0.59	0	0	77	0.0	14
378.5	1.9	92.7	0.22	0.97	0	0	75	0.0	14
379.5	0.7	92.5	-0.0	0.6	0	0	77	0.0	14
380.5	0.2	92.4	0.09	0.18	0	0	79	0.0	14
381.5	-0.4	93.0	-0.0	0.6	0	0	81	0.0	14
382.5	-0.5	92.6	0.22	0.33	0	0	83	0.0	14
383.5	-0.2	93.2	-0.19	0.67	0	0	85	0.0	14
384.5	-0.4	93.0	-0.0	0.2	0	0	88	0.0	14
385.5	-0.2	93.2	0.54	0.44	0	0	90	0.0	14
386.5	0.4	92.5	0.14	0.14	0	0	92	0.0	14
387.5	0.4	93.3	0.45	0.23	0	0	94	0.0	14
388.5	0.4	93.5	-0.0	0.1	0	0	96	0.0	14
389.5	0.5	93.1	0.84	0.32	0	0	98	0.0	14
390.5	0.4	93.5	0.79	0.12	0	0	100	0.0	14
391.5	0.5	93.5	0.8	0.0	0	0	100	0.0	14
392.5	0.9	93.2	1.4	-0.1	0	18	100	0.0	14
393.5	1.5	93.6	1.58	0.25	0	34	100	0.0	14
394.5	1.8	94.2	1.76	-0.71	0	49	100	0.1	14
395.5	2.1	94.1	1.19	-0.53	0	39	100	0.3	14
396.5	2.8	94.2	-0.0	0.4	0	39	100	0.0	14
397.5	3.2	94.1	-0.0	0.3	0	33	100	0.2	14
398.5	3.5	94.1	-0.21	0.21	0	21	100	0.0	14
399.5	3.6	93.8	-0.23	0.45	0	8	100	0.1	14
400.5	3.5	93.9	-0.18	0.09	0	0	100	0.4	14
401.5	3.5	93.7	0.14	0.14	0	0	100	0.6	14
402.5	3.5	93.5	0.21	0.21	0	0	100	0.3	14
403.5	3.5	93.6	-0.09	0.18	0	0	100	0.2	14
404.5	3.5	93.6	-0.0	0.3	0	0	100	0.0	14
405.5	3.6	93.5	-0.18	-0.09	0	0	100	0.0	14
406.5	3.6	93.8	-0.3	-0.0	0	0	100	0.0	14
407.5	3.7	93.7	-0.0	-0.0	0	0	100	0.0	14
408.5	3.7	93.7	0.1	0.0	0	0	100	0.0	14
409.5	3.7	93.4	-0.14	-0.14	0	0	100	0.0	14
410.5	3.2	93.5	-0.0	0.3	0	0	100	0.0	14
411.5	2.7	93.2	0.4	0.0	0	0	100	0.0	14
412.5	3.1	93.5	0.45	-0.23	0	0	100	0.0	14
413.5	3.4	93.7	-0.0	0.1	0	0	100	0.0	14
414.5	3.6	93.5	0.0	-0.1	0	0	100	0.0	14
415.5	3.7	93.5	-0.1	1.0	0	0	100	0.0	14
416.5	3.5	93.7	-0.32	1.05	0	15	100	0.0	14
417.5	3.5	93.9	-0.45	0.66	0	35	100	0.0	14
418.5	3.7	94.0	-0.1	0.49	0	52	100	0.0	14
419.5	3.9	94.4	-0.53	0.73	0	58	100	0.0	14
420.5	3.9	94.9	-0.32	0.62	0	50	100	0.0	14
421.5	3.9	94.8	-0.76	0.25	0	44	100	0.0	14
422.5	4.0	94.3	-0.69	-0.11	0	25	100	0.0	14
423.5	3.9	94.2	-0.56	0.22	0	12	100	0.0	14
424.5	3.7	93.9	-1.0	-0.0	0	0	100	0.0	14
