#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	0.9	75.8	0.1	1.5	0	0	50	0.0	14
0.5	0.9	75.8	0.1	1.5	0	0	50	0.0	14
1.5	2.9	76.2	0.11	0.69	0	0	58	0.0	14
2.5	4.2	77.5	-0.4	1.24	0	0	67	0.0	14
3.5	5.5	79.2	-0.38	0.12	0	0	75	0.0	14
4.5	6.0	82.1	0.56	0.42	0	0	83	0.1	14
5.5	5.8	84.9	0.1	2.0	0	0	92	0.2	14
6.5	5.5	89.0	0.09	1.7	0	0	100	0.2	14
7.5	5.7	88.8	-0.21	2.39	0	0	100	0.1	14
8.5	5.9	88.0	-0.39	2.47	0	15	100	0.2	14
9.5	6.3	83.9	0.51	2.04	0	49	100	0.0	14
10.5	6.9	78.4	1.66	2.13	41	124	100	0.0	14
11.5	6.8	78.2	2.35	0.5	0	66	100	0.0	14
12.5	6.1	82.6	2.68	0.28	0	28	100	0.0	14
13.5	5.5	89.6	1.66	1.44	0	36	92	0.1	14
14.5	5.8	85.1	1.32	1.63	0	35	83	0.0	14
15.5	5.6	85.7	1.24	1.16	0	6	75	0.0	14
16.5	5.5	81.1	1.34	2.23	0	0	67	0.0	14
17.5	5.2	79.6	1.31	2.36	0	0	58	0.0	14
18.5	4.9	80.5	1.02	2.39	0	0	50	0.0	14
19.5	4.6	82.8	0.98	2.3	0	0	54	0.0	14
20.5	4.5	82.1	0.46	2.15	0	0	58	0.0	14
21.5	4.1	83.2	0.38	1.66	0	0	62	0.0	14
22.5	4.0	81.9	0.11	0.89	0	0	67	0.0	14
23.5	4.9	76.3	-0.5	2.14	0	0	71	0.0	14
24.5	6.1	66.2	1.53	2.1	0	0	75	0.0	14
25.5	6.1	62.7	3.34	3.01	0	0	79	0.0	14
26.5	5.5	72.6	2.54	1.18	0	0	83	0.1	14
27.5	6.3	73.8	1.24	1.16	0	0	88	0.0	14
28.5	6.5	73.9	1.14	0.37	0	0	92	0.0	14
29.5	7.7	75.5	2.37	2.29	0	0	96	0.0	14
30.5	8.6	74.5	2.72	2.2	0	0	100	0.0	14
31.5	9.2	71.7	2.79	2.43	0	0	98	0.0	14
32.5	9.5	70.5	2.64	2.3	0	22	96	0.0	14
33.5	9.4	71.4	2.92	2.73	0	51	94	0.0	14
34.5	10.1	68.2	3.51	3.27	65	129	92	0.0	14
35.5	10.6	65.9	4.73	3.69	124	151	90	0.0	14
36.5	10.4	65.3	3.18	3.18	19	131	88	0.0	14
37.5	10.5	64.4	1.82	2.51	73	110	90	0.0	14
38.5	10.7	63.5	2.77	1.6	319	71	92	0.0	14
39.5	9.3	69.0	1.23	1.58	0	25	94	0.0	14
40.5	9.3	68.6	1.32	2.47	0	0	96	0.0	14
41.5	10.4	60.5	0.8	1.39	0	0	98	0.0	14
42.5	9.4	66.6	1.24	0.84	0	0	100	0.0	14
43.5	10.7	59.3	2.36	1.85	0	0	100	0.0	14
44.5	10.8	59.0	1.96	2.9	0	0	100	0.0	14
45.5	9.7	67.5	0.3	2.88	0	0	100	0.3	14
46.5	9.6	69.6	1.9	2.19	0	0	100	0.4	14
47.5	6.9	86.6	6.15	3.55	0	0	100	2.7	14
48.5	6.0	81.6	4.67	3.92	0	0	100	0.3	14
49.5	6.1	75.4	4.69	3.41	0	0	100	0.0	14
50.5	5.7	78.6	4.02	3.75	0	0	100	0.0	14
51.5	5.7	72.7	3.36	3.14	0	0	100	0.0	14
52.5	5.6	73.1	1.79	2.65	0	0	100	0.0	14
53.5	5.9	66.5	1.49	2.49	0	0	100	0.0	14
54.5	6.0	62.9	1.32	2.58	0	0	100	0.0	14
55.5	5.7	63.8	1.48	1.76	0	0	100	0.0	14
56.5	6.1	64.1	3.2	1.42	0	48	100	0.0	14
57.5	6.6	63.8	3.4	2.47	0	68	100	0.0	14
58.5	6.2	65.4	4.94	2.63	0	70	100	0.0	14
59.5	4.2	78.5	4.15	2.21	0	38	100	0.6	14
60.5	4.3	86.0	1.32	2.47	132	142	100	0.2	14
61.5	5.7	73.0	2.59	3.43	539	86	100	0.0	14
62.5	6.5	63.3	2.12	3.15	499	50	100	0.0	14
63.5	5.8	61.5	0.7	2.61	0	15	100	0.0	14
64.5	5.5	60.6	0.5	2.55	0	0	100	0.0	14
65.5	5.6	59.6	0.39	2.47	0	0	100	0.0	14
66.5	5.2	59.4	0.8	2.47	0	0	100	0.0	14
67.5	4.9	60.3	1.14	2.45	0	0	98	0.0	14
68.5	4.5	63.5	1.01	1.61	0	0	96	0.0	14
69.5	3.3	80.7	4.04	0.71	0	0	94	0.0	14
70.5	2.6	93.1	2.41	2.25	0	0	92	0.4	14
71.5	2.8	88.2	2.89	3.7	0	0	90	0.0	14
72.5	2.8	87.3	2.9	3.58	0	0	88	0.0	14
73.5	3.2	81.3	3.2	3.44	0	0	85	0.0	14
74.5	3.2	76.6	2.64	3.64	0	0	83	0.0	14
75.5	3.2	70.9	2.95	3.91	0	0	81	0.0	14
76.5	3.2	67.4	0.42	2.36	0	0	79	0.0	14
77.5	3.9	57.5	-0.21	1.99	0	0	77	0.0	14
78.5	3.5	55.1	-1.9	2.19	0	0	75	0.0	14
79.5	4.0	51.6	-0.89	1.68	0	0	79	0.0	14
80.5	4.5	53.5	2.01	1.81	0	15	83	0.0	14
81.5	4.6	75.2	2.85	1.85	0	66	88	0.0	14
82.5	5.9	74.3	4.36	2.83	0	55	92	0.0	14
83.5	6.2	76.7	4.75	2.97	0	62	96	0.0	14
84.5	6.7	77.9	4.83	3.02	0	89	100	0.1	14
85.5	6.7	79.8	5.17	2.63	0	50	100	0.0	14
86.5	6.2	83.2	4.67	2.28	0	34	100	0.0	14
87.5	5.1	93.1	4.59	0.32	0	8	100	0.4	14
88.5	4.8	94.6	1.23	1.32	0	0	100	0.3	14
89.5	4.9	92.9	0.47	1.74	0	0	100	0.6	14
90.5	6.4	82.4	1.26	1.68	0	0	100	0.0	14
91.5	7.4	75.8	3.07	2.86	0	0	99	0.0	14
92.5	8.2	70.2	4.23	3.67	0	0	98	0.0	14
93.5	8.7	65.7	4.33	3.39	0	0	97	0.0	14
94.5	8.1	70.6	4.11	2.47	0	0	96	0.1	14
95.5	7.4	76.9	3.29	2.76	0	0	95	0.5	14
96.5	7.1	80.5	2.56	2.94	0	0	94	0.3	14
97.5	7.2	79.8	2.27	2.8	0	0	93	0.1	14
98.5	7.1	81.4	3.28	3.91	0	0	92	0.1	14
99.5	7.3	79.6	3.28	3.91	0	0	91	0.1	14
100.5	7.7	74.4	3.34	3.98	0	0	90	0.0	14
101.5	8.1	68.5	2.23	3.56	0	0	89	0.0	14
102.5	8.1	68.1	1.69	3.62	0	0	88	0.0	14
103.5	8.5	64.3	2.83	3.5	0	0	85	0.0	14
104.5	9.5	57.9	2.52	3.11	0	50	83	0.0	14
105.5	10.1	54.6	0.58	1.91	141	99	81	0.0	14
106.5	11.5	50.4	0.89	0.8	75	125	79	0.0	14
107.5	12.1	46.2	1.46	1.36	504	132	77	0.0	14
108.5	12.5	44.0	1.36	0.32	714	65	75	0.0	14
109.5	12.4	42.4	1.67	0.32	679	56	65	0.0	14
110.5	12.0	44.0	1.27	0.29	529	61	54	0.0	14
111.5	10.0	49.3	0.19	0.78	0	30	44	0.0	14
112.5	8.1	56.5	-0.81	1.83	0	0	33	0.0	14
113.5	7.9	58.0	-0.4	0.3	0	0	23	0.0	14
114.5	7.1	63.0	-0.8	0.89	0	0	12	0.0	14
115.5	7.0	65.6	-1.07	1.19	0	0	12	0.0	14
116.5	6.6	62.2	-0.0	0.7	0	0	12	0.0	14
117.5	8.3	46.9	-1.54	1.97	0	0	12	0.0	14
118.5	8.9	43.7	-1.57	1.68	0	0	12	0.0	14
119.5	8.4	45.5	-1.05	1.21	0	0	12	0.0	14
120.5	9.5	39.3	-0.54	2.03	0	0	12	0.0	14
121.5	10.9	33.5	-4.46	5.13	0	0	12	0.0	14
122.5	11.5	31.8	-5.77	5.97	0	0	12	0.0	14
123.5	11.6	32.4	-7.3	7.82	0	0	12	0.0	14
124.5	11.6	33.3	-6.04	6.94	0	0	12	0.0	14
125.5	11.9	33.1	-4.88	6.47	0	0	12	0.0	14
126.5	6.7	52.1	-0.52	1.83	0	0	12	0.0	14
127.5	5.4	63.3	1.67	0.3	0	0	25	0.0	14
128.5	8.2	51.8	1.17	0.94	0	78	38	0.0	14
129.5	9.6	48.0	0.09	0.59	548	59	50	0.0	14
130.5	11.1	45.8	0.22	0.56	423	102	62	0.0	14
131.5	13.0	41.0	0.14	0.14	613	89	75	0.0	14
132.5	12.9	39.8	0.98	0.19	654	78	88	0.0	14
133.5	11.8	44.4	4.04	-0.71	441	97	90	0.0	14
134.5	8.9	62.2	5.57	-0.58	319	64	92	0.0	14
135.5	6.1	79.6	4.81	-0.94	0	22	94	0.0	14
136.5	5.2	79.9	5.99	-0.31	0	0	96	0.0	14
137.5	3.5	89.0	4.29	1.91	0	0	98	0.1	14
138.5	2.9	92.2	3.31	2.07	0	0	100	0.8	14
139.5	2.9	89.5	0.5	2.86	0	0	97	0.4	14
140.5	3.2	84.2	0.7	2.61	0	0	94	0.2	14
141.5	3.0	85.1	0.62	2.93	0	0	91	0.2	14
142.5	3.4	79.9	-1.1	3.84	0	0	88	0.0	14
143.5	4.0	71.4	-0.6	2.84	0	0	84	0.0	14
144.5	4.0	73.5	-0.73	2.91	0	0	81	0.0	14
145.5	3.9	75.5	-0.93	2.43	0	0	78	0.0	14
146.5	4.4	70.1	-0.42	2.97	0	0	75	0.0	14
147.5	4.5	66.6	0.65	2.42	0	0	72	0.0	14
148.5	4.6	64.7	0.92	2.54	0	0	69	0.0	14
149.5	4.3	62.9	-0.12	1.7	0	0	66	0.0	14
150.5	4.4	60.5	0.19	2.19	0	0	62	0.0	14
151.5	4.3	58.5	-0.52	2.65	0	0	69	0.0	14
152.5	4.4	55.2	1.12	2.01	0	44	75	0.0	14
153.5	5.0	53.9	0.86	1.69	477	87	81	0.0	14
154.5	5.5	53.9	2.71	2.52	275	149	88	0.0	14
155.5	5.1	55.3	4.16	2.6	0	65	94	0.0	14
156.5	3.8	66.8	4.42	2.35	0	25	100	0.0	14
157.5	2.0	81.0	5.7	1.53	0	99	96	0.3	14
158.5	2.7	73.2	4.54	1.22	0	60	92	0.0	14
159.5	1.3	90.3	2.51	1.82	0	13	88	0.2	14
160.5	1.2	87.1	1.56	0.33	0	0	83	0.2	14
161.5	1.1	88.5	0.92	2.54	0	0	79	0.1	14
162.5	1.6	78.6	1.52	2.35	0	0	75	0.0	14
163.5	1.6	77.3	2.32	2.49	0	0	75	0.0	14
164.5	0.9	86.9	1.74	2.07	0	0	75	0.2	14
165.5	0.7	86.7	2.02	1.64	0	0	75	0.0	14
166.5	0.5	81.3	2.32	2.49	0	0	75	0.0	14
167.5	0.9	77.9	1.41	1.94	0	0	75	0.0	14
168.5	0.7	78.5	0.5	2.55	0	0	75	0.0	14
169.5	0.6	78.9	0.8	2.47	0	0	75	0.0	14
170.5	0.9	76.3	1.49	2.49	0	0	75	0.0	14
171.5	1.0	76.3	1.31	2.01	0	0	75	0.0	14
172.5	0.8	77.0	1.21	2.19	0	0	75	0.0	14
173.5	0.7	77.6	1.26	1.55	0	0	75	0.0	30
174.5	0.6	77.4	1.7	1.83	0	0	75	0.0	30
175.5	0.6	76.3	1.47	2.02	0	0	69	0.0	30
176.5	0.9	73.6	0.52	1.83	0	42	62	0.0	30
177.5	1.2	71.8	1.15	1.64	6	96	56	0.0	30
178.5	1.9	67.2	1.63	1.63	91	143	50	0.0	30
179.5	2.5	60.0	0.89	0.8	296	148	44	0.0	30
180.5	2.9	54.8	0.4	1.24	464	124	38	0.0	30
181.5	3.0	54.5	-0.62	1.03	685	79	31	0.0	30
182.5	1.8	75.1	-1.12	-2.01	557	54	25	0.0	30
183.5	0.6	84.6	-1.07	-0.55	0	27	19	0.0	30
184.5	0.0	86.3	-1.18	0.21	0	0	12	0.0	30
185.5	0.0	80.2	-1.08	0.19	0	0	6	0.0	30
186.5	-0.2	79.3	-1.54	-0.41	0	0	0	0.0	30
187.5	-0.5	79.1	-0.9	0.09	0	0	0	0.0	30
188.5	-1.1	78.0	-0.29	0.75	0	0	0	0.0	30
189.5	-0.8	73.7	0.12	0.48	0	0	0	0.0	30
190.5	-0.6	72.3	-0.1	0.69	0	0	0	0.0	30
191.5	-1.0	69.0	-0.29	1.16	0	0	0	0.0	30
192.5	-0.7	64.1	-0.31	0.74	0	0	0	0.0	30
193.5	-1.0	62.9	-0.21	1.18	0	0	0	0.0	30
194.5	-0.8	58.7	-0.71	0.36	0	0	0	0.0	30
195.5	-1.7	63.8	-0.88	0.66	0	0	0	0.0	30
196.5	-1.4	59.6	-0.18	0.36	0	0	0	0.0	30
197.5	-1.9	63.2	-0.14	0.14	0	0	0	0.0	30
198.5	-2.1	64.9	-0.23	0.45	0	0	0	0.0	30
199.5	-1.9	66.3	-0.22	0.56	0	0	4	0.0	30
200.5	-1.4	71.5	-0.38	0.47	0	53	8	0.0	30
201.5	-1.0	72.7	-0.0	-0.1	499	88	12	0.0	30
202.5	-0.1	66.8	-0.48	-0.64	719	60	17	0.0	30
203.5	0.0	68.0	-0.22	-0.97	783	60	21	0.0	30
204.5	0.3	68.7	-0.19	-0.78	784	60	25	0.0	30
205.5	0.5	73.1	-0.16	-0.48	733	56	21	0.0	30
206.5	0.7	72.7	-0.0	0.3	628	47	17	0.0	30
207.5	0.1	75.4	-0.1	0.39	0	29	12	0.0	30
208.5	-0.1	77.2	-0.87	0.22	0	0	8	0.0	30
209.5	-0.2	72.1	-0.47	0.65	0	0	4	0.0	30
210.5	0.2	61.4	-0.35	0.35	0	0	0	0.0	30
211.5	0.4	56.0	-0.0	0.5	0	0	0	0.0	30
212.5	1.0	42.5	-0.11	0.59	0	0	0	0.0	30
213.5	1.0	43.2	-0.09	0.18	0	0	0	0.0	30
214.5	1.9	34.5	-0.0	0.6	0	0	0	0.0	30
215.5	1.3	34.5	-0.39	0.1	0	0	0	0.0	30
216.5	1.1	35.0	0.4	0.0	0	0	0	0.0	30
217.5	1.7	33.0	-0.27	0.14	0	0	0	0.0	30
218.5	1.0	35.6	0.42	0.42	0	0	0	0.0	30
219.5	2.1	31.4	-0.28	-0.09	0	0	0	0.0	30
220.5	-0.7	44.5	0.57	-0.18	0	0	0	0.0	30
221.5	0.4	44.7	-0.0	0.8	0	0	0	0.0	30
222.5	1.9	37.8	-0.5	1.31	0	0	0	0.0	30
223.5	2.4	34.5	-0.22	0.97	0	0	8	0.0	30
224.5	3.0	29.2	-0.13	0.69	0	37	17	0.0	30
225.5	2.3	35.8	-0.21	-0.21	380	96	25	0.0	30
226.5	4.1	35.1	-0.28	-0.09	696	70	33	0.0	30
227.5	3.8	39.8	0.0	-0.4	768	66	42	0.0	30
228.5	3.7	39.1	-0.1	-1.2	595	106	50	0.0	30
229.5	2.7	63.3	0.0	-0.5	351	116	56	0.0	30
230.5	2.9	65.2	-0.0	-0.1	77	84	62	0.0	30
231.5	3.2	54.8	-0.45	0.23	0	42	69	0.0	30
232.5	3.0	39.3	-0.16	0.48	0	0	75	0.0	30
233.5	2.9	41.7	-0.54	0.44	0	0	81	0.0	30
234.5	3.2	43.5	-0.0	0.8	0	0	88	0.0	30
235.5	3.4	45.0	-0.28	0.28	0	0	88	0.0	30
236.5	2.3	51.7	1.0	0.0	0	0	88	0.0	30
237.5	1.7	61.0	0.13	0.69	0	0	88	0.0	30
238.5	2.5	57.9	-0.11	1.3	0	0	88	0.0	30
239.5	3.0	55.8	-0.45	0.66	0	0	88	0.0	30
240.5	3.1	56.1	-0.0	-0.0	0	0	88	0.0	30
241.5	4.2	53.1	0.14	0.14	0	0	88	0.0	30
242.5	4.4	56.2	0.45	0.78	0	0	88	0.0	30
243.5	5.6	55.1	0.96	1.28	0	0	88	0.0	30
244.5	5.7	62.2	1.77	1.77	0	0	88	0.1	30
245.5	5.7	65.0	1.32	2.58	0	0	88	0.2	30
246.5	5.9	67.3	1.92	1.61	0	0	88	0.0	30
247.5	5.7	80.4	1.58	2.43	0	0	90	0.0	30
248.5	5.3	87.3	0.8	2.47	0	6	92	0.1	30
249.5	5.0	90.7	1.17	2.21	0	7	94	0.3	30
250.5	4.4	94.9	3.5	0.18	0	6	96	2.1	30
251.5	3.5	93.0	4.09	0.29	0	9	98	2.5	14
252.5	3.2	93.0	1.8	2.14	0	29	100	1.0	14
253.5	3.3	90.9	0.58	2.53	0	61	100	0.8	14
254.5	3.1	88.9	1.21	2.19	0	39	100	0.8	14
255.5	2.8	90.0	1.27	2.72	0	14	100	0.5	14
256.5	2.8	88.7	0.82	1.93	0	0	100	0.0	14
257.5	2.9	89.0	1.01	1.61	0	0	100	0.0	14
258.5	2.6	91.2	1.11	-0.45	0	0	100	0.0	14
259.5	2.3	92.0	0.71	0.36	0	0	100	0.0	14
260.5	2.0	92.3	0.61	0.51	0	0	100	0.0	14
261.5	1.7	93.0	-0.36	-0.6	0	0	100	0.0	14
262.5	1.5	94.2	-0.31	-0.74	0	0	100	0.0	14
263.5	1.3	94.6	-1.1	-0.49	0	0	100	0.0	14
264.5	0.3	94.6	-0.69	-0.1	0	0	100	0.0	14
265.5	-0.1	94.5	-1.47	-0.29	0	0	100	0.0	14
266.5	-0.5	94.7	-0.67	-0.22	0	0	100	0.0	14
267.5	-0.9	94.1	-0.21	-0.21	0	0	100	0.0	14
268.5	-0.7	94.9	-0.62	-0.91	0	0	100	0.0	14
269.5	-0.8	95.0	-0.7	-1.32	0	0	100	0.0	14
270.5	-0.8	94.5	-0.57	-0.57	0	0	100	0.0	14
271.5	-1.1	95.1	-0.73	-1.64	0	4	100	0.0	14
272.5	-1.2	95.2	-0.24	-0.97	0	21	100	0.0	14
273.5	-1.2	95.9	-0.1	-0.49	3	88	100	0.0	14
274.5	-0.7	95.4	0.42	-0.42	0	91	100	0.0	14
275.5	-0.6	95.2	1.19	-0.53	0	81	100	0.0	14
276.5	-0.3	95.2	0.44	-0.54	0	91	100	0.0	14
277.5	0.1	94.9	1.0	0.1	4	118	100	0.0	14
278.5	0.1	93.5	0.6	0.36	0	74	100	0.0	14
279.5	-0.4	93.0	0.96	0.53	0	25	100	0.0	14
280.5	-0.4	91.8	-0.5	-0.0	0	0	100	0.0	14
281.5	-0.2	92.4	-1.3	-0.0	0	0	100	0.0	14
282.5	-0.6	92.8	-0.7	-0.0	0	0	100	0.0	14
283.5	-0.6	93.0	-0.36	-0.6	0	0	100	0.0	14
284.5	-0.9	93.1	-0.9	-0.0	0	0	100	0.0	14
285.5	-1.2	93.0	-1.67	-0.32	0	0	100	0.0	14
286.5	-1.5	93.2	-1.47	0.31	0	0	100	0.0	14
287.5	-1.6	93.1	-1.2	0.51	0	0	100	0.0	14
288.5	-1.6	93.4	-1.38	0.22	0	0	100	0.0	14
289.5	-2.0	93.5	-0.8	-0.0	0	0	100	0.0	14
290.5	-2.2	93.3	-0.95	0.31	0	0	100	0.0	14
291.5	-1.9	93.5	0.5	0.5	0	0	100	0.0	14
292.5	-2.0	93.7	-0.12	-0.48	0	0	100	0.0	14
293.5	-2.0	93.2	-0.56	0.22	0	0	100	0.0	14
294.5	-2.0	93.0	-0.69	0.4	0	0	100	0.0	14
295.5	-2.2	94.0	-0.28	-0.28	0	4	100	0.0	14
296.5	-1.9	93.5	-0.0	0.3	0	32	100	0.0	14
297.5	-1.6	94.1	-0.66	0.45	0	83	100	0.0	14
298.5	-1.3	94.9	0.28	-0.42	6	125	100	0.0	14
299.5	-0.7	95.1	0.42	-0.42	36	141	100	0.0	14
300.5	-0.2	95.4	0.12	-0.48	53	142	100	0.0	14
301.5	0.0	95.9	0.0	-0.3	48	130	85	0.0	14
302.5	-0.1	95.7	0.62	-0.32	137	91	71	0.0	14
303.5	-0.5	93.5	0.48	-0.16	0	24	56	0.0	14
304.5	-0.7	91.9	0.46	-0.19	0	0	42	0.0	14
305.5	-0.7	91.2	0.74	-0.31	0	0	27	0.0	14
306.5	1.3	87.1	-1.57	1.94	0	0	12	0.0	14
307.5	8.9	37.4	-3.92	4.67	0	0	18	0.0	14
308.5	9.4	34.2	-3.68	4.09	0	0	23	0.0	14
309.5	9.8	33.1	-4.35	4.83	0	0	28	0.0	14
310.5	9.8	32.5	-5.16	5.16	0	0	33	0.0	14
311.5	9.9	31.0	-5.6	4.53	0	0	39	0.0	14
312.5	9.7	30.4	-4.46	4.46	0	0	44	0.0	14
313.5	9.8	29.3	-5.11	4.93	0	0	49	0.0	14
314.5	9.5	29.4	-5.37	5.37	0	0	54	0.0	14
315.5	9.4	29.7	-4.75	5.28	0	0	59	0.0	14
316.5	3.3	60.9	-2.16	2.49	0	0	65	0.0	14
317.5	0.8	78.0	-0.84	1.81	0	0	70	0.0	14
318.5	0.7	82.2	0.26	1.48	0	0	75	0.0	14
319.5	2.2	70.9	1.88	0.3	0	0	77	0.0	14
320.5	2.1	69.8	2.07	0.33	0	55	79	0.0	14
321.5	1.5	78.2	2.04	0.51	5	92	81	0.0	14
322.5	3.3	71.7	2.32	0.62	0	87	83	0.0	14
323.5	2.7	75.1	1.79	0.19	0	124	85	0.0	14
324.5	3.8	72.3	1.1	0.49	0	91	88	0.0	14
325.5	4.6	63.9	0.86	1.1	0	80	90	0.0	14
326.5	4.9	57.2	0.19	0.67	0	48	92	0.0	14
327.5	4.6	58.8	-0.2	-0.0	0	16	94	0.0	14
328.5	3.6	61.8	-0.84	-0.32	0	0	96	0.0	14
329.5	1.1	84.2	-0.57	-0.57	0	0	98	0.0	14
330.5	1.0	89.2	-1.0	-0.45	0	0	100	0.0	14
331.5	0.6	89.2	0.0	-0.5	0	0	100	0.0	14
332.5	0.6	92.2	0.3	0.0	0	0	100	0.0	14
333.5	0.0	93.7	-0.4	-0.69	0	0	100	0.0	14
334.5	-0.2	93.9	-0.28	-0.09	0	0	100	0.0	14
335.5	-0.1	93.7	-0.38	0.12	0	0	100	0.0	14
336.5	-0.2	94.0	-1.05	0.32	0	0	100	0.0	14
337.5	6.3	63.5	-2.88	-0.3	0	0	100	0.0	14
338.5	10.5	36.2	-4.19	-0.22	0	0	100	0.0	14
339.5	8.7	41.6	-3.68	-0.39	0	0	100	0.0	14
340.5	7.7	45.6	-4.87	-0.51	0	0	100	0.0	14
341.5	5.1	64.6	-3.36	0.53	0	0	100	0.0	14
342.5	5.6	57.0	-4.28	2.78	0	0	100	0.0	14
343.5	-0.1	86.4	-1.94	1.41	0	0	90	0.0	14
344.5	-0.3	93.5	1.48	-0.21	0	82	79	0.0	14
345.5	2.1	84.9	0.98	1.51	286	94	69	0.0	14
346.5	6.0	59.3	0.1	3.0	0	96	58	0.0	14
347.5	5.9	63.2	1.24	0.84	162	160	48	0.0	14
348.5	7.7	53.4	1.26	-0.31	545	133	38	0.0	14
349.5	5.5	71.5	0.45	-0.23	596	74	31	0.0	14
350.5	6.7	65.8	0.67	1.0	431	73	25	0.0	14
351.5	5.6	65.6	0.55	1.29	56	38	19	0.0	14
352.5	5.4	66.8	-0.1	1.0	0	0	12	0.0	14
353.5	4.9	68.5	-0.29	1.37	0	0	6	0.0	14
354.5	4.5	69.6	-0.31	0.74	0	0	0	0.0	14
355.5	4.0	72.1	-0.14	0.58	0	0	4	0.0	14
356.5	3.7	74.8	-0.1	1.1	0	0	8	0.0	14
357.5	3.7	74.1	-0.1	2.0	0	0	12	0.0	14
358.5	4.3	71.0	-0.0	2.1	0	0	17	0.0	14
359.5	4.1	69.8	-0.3	1.67	0	0	21	0.0	14
360.5	4.0	69.3	-0.58	2.33	0	0	25	0.0	14
361.5	3.4	69.3	-0.4	1.75	0	0	29	0.0	14
362.5	4.3	65.2	-0.1	1.1	0	0	33	0.0	14
363.5	4.8	62.1	-1.02	1.84	0	0	38	0.0	14
364.5	3.3	67.8	-0.23	0.45	0	0	42	0.0	14
365.5	5.8	57.3	-1.59	0.2	0	0	46	0.0	14
366.5	4.9	58.2	-0.66	0.45	0	0	50	0.0	14
367.5	4.8	57.4	0.27	0.54	0	0	54	0.0	14
368.5	5.0	57.7	-0.11	0.59	0	53	58	0.0	14
369.5	6.3	55.7	0.16	0.48	126	114	62	0.0	14
370.5	7.5	51.8	-0.87	0.22	21	142	67	0.0	14
371.5	8.5	49.6	-0.21	-0.21	359	154	71	0.0	14
372.5	6.6	68.2	0.1	-0.79	533	135	75	0.0	14
373.5	6.0	67.7	-0.27	-0.64	162	141	71	0.0	14
374.5	6.4	58.7	-0.6	-0.0	18	91	67	0.0	14
375.5	5.9	61.7	-0.18	0.09	147	50	62	0.0	14
376.5	5.4	60.7	-0.23	0.45	0	0	58	0.0	14
377.5	5.1	60.5	-0.18	0.57	0	0	54	0.0	14
378.5	5.0	60.8	-0.0	0.5	0	0	50	0.0	14
379.5	4.4	62.9	-0.0	0.6	0	0	49	0.0	14
380.5	4.2	61.0	0.1	1.9	0	0	48	0.0	14
381.5	4.5	57.2	0.09	1.8	0	0	47	0.0	14
382.5	4.9	54.7	-0.31	1.98	0	0	46	0.0	14
383.5	5.5	51.1	-0.09	0.9	0	0	45	0.0	14
384.5	6.0	46.7	-0.93	1.99	0	0	44	0.0	14
385.5	7.1	39.0	-3.69	4.73	0	0	43	0.0	14
386.5	7.4	36.8	-3.96	4.9	0	0	42	0.0	14
387.5	7.1	37.8	-3.25	4.31	0	0	41	0.0	14
388.5	6.7	39.3	-3.39	4.33	0	0	40	0.0	14
389.5	3.3	55.8	-1.26	0.31	0	0	39	0.0	14
390.5	2.7	66.8	-0.33	-0.22	0	0	38	0.0	14
391.5	3.2	67.5	-0.7	-0.0	0	0	44	0.0	14
392.5	4.7	58.0	-0.71	0.71	0	71	50	0.0	14
393.5	5.9	54.3	0.36	1.35	102	114	56	0.0	14
394.5	7.3	46.3	0.97	2.08	16	138	62	0.0	14
395.5	7.4	47.3	1.77	0.34	113	162	69	0.0	14
396.5	6.5	51.9	1.47	1.03	0	48	75	0.0	14
397.5	5.8	69.2	0.11	1.6	0	74	79	0.2	14
398.5	5.8	74.5	0.78	0.19	0	61	83	0.0	14
399.5	4.9	81.2	1.3	0.75	0	13	88	0.9	14
400.5	4.1	88.7	1.17	2.21	0	0	92	0.9	14
401.5	4.3	87.5	-0.5	2.14	0	0	96	0.2	14
402.5	4.5	85.1	-0.42	2.16	0	0	100	0.1	14
403.5	4.5	85.1	-0.8	2.47	0	0	94	0.3	14
404.5	4.8	84.8	-0.18	2.09	0	0	88	0.1	14
405.5	4.3	90.6	-0.39	0.92	0	0	81	0.1	14
406.5	4.5	90.1	-0.6	1.48	0	0	75	0.0	14
407.5	4.1	92.5	-0.38	1.03	0	0	69	0.2	14
408.5	3.8	94.0	-0.38	-0.12	0	0	62	0.0	14
409.5	3.6	94.3	-0.48	-0.16	0	0	56	0.0	14
410.5	3.3	94.0	-0.28	-0.42	0	0	50	0.0	14
411.5	3.1	93.4	-0.67	0.22	0	0	44	0.0	14
412.5	2.8	92.4	-0.23	0.45	0	0	38	0.0	14
413.5	2.4	91.9	-0.27	0.14	0	0	31	0.0	14
414.5	1.6	92.4	-0.09	0.28	0	0	25	0.0	14
415.5	1.0	93.1	0.27	-0.14	0	0	38	0.0	14
416.5	0.8	93.1	0.27	0.14	0	46	50	0.0	14
417.5	1.4	94.5	-0.58	-0.14	75	107	62	0.0	14
418.5	2.1	96.3	-0.21	0.21	258	133	75	0.0	14
419.5	2.1	95.5	-0.1	-1.0	26	151	88	0.0	14
420.5	2.2	96.1	-0.51	-0.31	2	134	100	0.0	14
421.5	2.4	94.8	0.0	-1.3	0	84	100	0.0	14
422.5	2.4	94.9	-0.5	-0.5	0	78	100	0.0	14
423.5	2.1	94.5	-0.53	-0.96	0	22	100	0.0	14
