#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	-1.5	77.8	-0.19	-0.35	0	0	50	0.0	14
0.5	-1.5	77.8	-0.19	-0.35	0	0	50	0.0	14
1.5	-1.5	84.5	-0.37	-0.34	0	0	46	0.0	14
2.5	-1.5	89.0	-0.45	-0.39	0	0	42	0.0	14
3.5	-1.5	93.7	-0.57	-0.4	0	0	38	0.0	14
4.5	-1.4	95.9	-0.36	-0.16	0	0	33	0.0	14
5.5	-1.2	95.3	-0.44	-0.41	0	0	29	0.0	14
6.5	-1.0	94.5	-0.44	-0.41	0	0	25	0.0	14
7.5	-1.1	94.1	-0.45	-0.23	0	11	21	0.0	14
8.5	-1.1	93.3	-0.41	-0.29	0	27	17	0.0	14
9.5	-0.7	92.8	-0.37	-0.34	0	99	12	0.0	14
10.5	3.3	73.0	-1.14	-0.63	518	101	8	0.0	14
11.5	5.1	59.5	0.05	0.9	618	86	4	0.0	14
12.5	6.0	58.7	0.34	1.36	652	76	0	0.0	14
13.5	5.3	62.6	0.45	1.95	404	119	0	0.0	14
14.5	3.3	72.6	0.16	0.89	0	68	0	0.0	14
15.5	1.7	84.5	0.05	0.3	0	14	0	0.0	14
16.5	0.5	90.0	0.17	-0.25	0	0	0	0.0	14
17.5	-0.7	93.5	-0.74	-0.52	0	0	0	0.0	14
18.5	-1.0	93.1	-0.25	-0.17	0	0	0	0.0	14
19.5	-1.1	93.6	-0.28	-0.29	0	0	7	0.0	14
20.5	-2.0	94.1	-0.69	-0.4	0	0	15	0.0	14
21.5	-2.4	95.6	-0.49	-0.5	0	0	22	0.0	14
22.5	-2.1	93.3	-0.66	-0.46	0	0	29	0.0	14
23.5	-2.9	93.8	-0.45	-0.23	0	0	36	0.0	14
24.5	-2.6	93.1	-0.78	-0.63	0	0	44	0.0	14
25.5	-2.3	91.5	-0.33	-0.23	0	0	51	0.0	14
26.5	-1.7	90.4	-0.41	-0.29	0	0	58	0.0	14
27.5	-0.9	87.2	-0.07	-0.39	0	0	66	0.0	14
28.5	-0.6	86.4	-0.41	-0.29	0	0	73	0.0	14
29.5	0.0	85.1	-0.25	-0.17	0	0	80	0.0	14
30.5	0.0	85.0	-0.09	-0.49	0	0	88	0.0	14
31.5	-0.1	84.8	-0.35	-0.36	0	10	83	0.0	14
32.5	-0.1	85.7	-0.35	-0.36	0	51	79	0.0	14
33.5	1.4	82.1	0.39	-0.07	0	124	75	0.0	14
34.5	3.1	70.0	-0.79	0.14	97	141	71	0.0	14
35.5	4.4	63.9	-0.09	1.3	83	160	67	0.0	14
36.5	5.1	55.5	0.06	1.1	374	137	62	0.0	14
37.5	4.4	60.5	0.62	1.8	328	115	54	0.0	14
38.5	3.2	66.6	0.23	0.66	0	86	46	0.0	14
39.5	1.1	79.9	-0.25	-0.17	0	26	38	0.0	14
40.5	-0.5	88.9	-0.49	-0.34	0	0	29	0.0	14
41.5	-1.3	92.0	-0.28	-0.29	0	0	21	0.0	14
42.5	-1.0	91.0	-0.44	-0.41	0	0	12	0.0	14
43.5	-0.8	89.6	-0.53	-0.46	0	0	20	0.0	14
44.5	-0.8	90.8	-0.33	-0.23	0	0	27	0.0	14
45.5	-0.4	89.5	-0.42	-0.56	0	0	34	0.0	14
46.5	-0.3	90.1	-0.49	-0.34	0	0	42	0.0	14
47.5	1.0	84.5	-0.46	-0.53	0	0	49	0.0	14
48.5	0.8	88.1	-0.0	-0.3	0	0	56	0.0	14
49.5	0.8	88.1	-0.51	-0.48	0	0	64	0.0	14
50.5	0.7	93.5	-0.22	-0.56	0	0	71	0.6	14
51.5	0.6	98.3	-0.35	-0.36	0	0	78	0.0	14
52.5	0.8	97.0	-0.59	0.1	0	0	85	0.0	14
53.5	1.3	93.4	-0.7	-1.66	0	0	93	0.0	50
54.5	1.2	92.3	-0.19	-0.06	0	0	100	0.0	50
55.5	1.5	91.6	-0.12	-0.69	0	6	98	0.0	50
56.5	1.7	90.8	0.15	-0.48	0	35	96	0.0	50
57.5	2.2	87.8	-0.34	0.49	0	98	94	0.0	50
58.5	4.0	76.8	0.31	1.77	628	150	92	0.0	50
59.5	4.3	75.6	1.18	2.54	762	131	90	0.0	14
60.5	4.0	75.8	0.57	1.49	626	125	88	0.0	14
61.5	4.1	75.0	-1.2	-0.08	20	123	81	0.0	14
62.5	3.5	79.7	-0.01	0.6	0	90	75	0.0	14
63.5	2.4	87.2	-0.11	0.79	0	16	69	0.0	14
64.5	1.1	92.3	-0.72	0.54	0	0	62	0.0	14
65.5	0.5	94.4	-0.62	-0.65	0	0	56	0.0	14
66.5	0.5	94.0	-0.09	-0.49	0	0	50	0.0	14
67.5	0.3	94.5	1.08	-0.19	0	0	46	0.0	14
68.5	1.0	91.1	-0.59	-1.27	0	0	42	0.0	14
69.5	-0.9	94.5	-0.24	-0.32	0	0	38	0.0	14
70.5	-0.9	90.3	-0.86	-1.23	0	0	33	0.0	14
71.5	-1.7	91.1	-0.78	-0.45	0	0	29	0.0	14
72.5	-2.1	89.8	-0.66	-0.46	0	0	25	0.0	14
73.5	-2.3	86.3	-0.69	-0.58	0	0	21	0.0	14
74.5	-2.5	84.3	-0.41	-0.29	0	0	17	0.0	14
75.5	-2.3	81.4	-0.48	-0.64	0	0	12	0.0	14
76.5	-2.9	82.1	-0.42	-0.43	0	0	8	0.0	14
77.5	-2.8	81.5	-0.49	-0.34	0	0	4	0.0	14
78.5	-3.0	81.5	-0.44	-0.41	0	0	0	0.0	14
79.5	-2.2	79.4	-0.56	-0.57	0	12	17	0.0	14
80.5	0.1	69.3	-0.48	-0.64	0	40	33	0.0	14
81.5	1.1	68.8	-0.29	-0.09	0	50	50	0.0	14
82.5	1.8	69.6	-0.2	0.04	0	79	67	0.0	14
83.5	3.8	54.8	0.09	0.49	79	161	83	0.0	14
84.5	5.4	38.6	-0.41	-0.29	140	161	100	0.0	14
85.5	6.0	38.8	0.17	0.98	275	121	90	0.0	14
86.5	4.7	44.1	0.33	0.62	0	111	79	0.0	14
87.5	2.6	61.8	-0.64	-0.28	0	28	69	0.0	14
88.5	0.5	73.9	-0.27	-0.12	0	0	58	0.0	14
89.5	-0.3	77.6	-0.46	-0.53	0	0	48	0.0	14
90.5	-0.1	76.3	-0.56	-0.57	0	0	38	0.0	14
91.5	-1.0	81.3	-0.44	-0.41	0	0	40	0.0	14
92.5	-1.3	80.9	-0.57	-0.4	0	0	42	0.0	14
93.5	-1.6	81.6	-0.53	-0.46	0	0	44	0.0	14
94.5	-1.3	80.9	-0.41	-0.29	0	0	46	0.0	14
95.5	-0.6	77.9	-0.66	-0.88	0	0	48	0.0	14
96.5	-0.9	80.8	-0.66	-0.46	0	0	50	0.0	14
97.5	-0.8	82.6	-0.49	-0.34	0	0	52	0.0	14
98.5	-1.2	86.8	-0.49	-0.34	0	0	54	0.0	14
99.5	-1.4	88.6	-0.35	-0.36	0	0	56	0.0	14
100.5	-1.7	90.0	-0.49	-0.34	0	0	58	0.0	14
101.5	-1.2	87.2	-0.32	-0.51	0	0	60	0.0	14
102.5	-1.5	89.0	-0.44	-0.41	0	0	62	0.0	14
103.5	-1.8	91.1	-0.33	-0.23	0	6	67	0.0	14
104.5	-1.7	92.1	-0.54	-0.27	0	27	71	0.0	14
105.5	0.0	87.4	-0.49	-0.34	0	109	75	0.0	14
106.5	3.3	66.6	-0.17	0.25	491	106	79	0.0	14
107.5	4.3	60.0	0.28	0.96	277	156	83	0.0	14
108.5	4.0	58.2	0.38	1.66	171	163	88	0.0	14
109.5	3.6	57.3	0.55	1.92	404	104	77	0.0	14
110.5	2.4	62.1	0.35	0.72	0	80	67	0.0	14
111.5	0.3	78.7	-0.74	-0.52	0	13	56	0.0	14
112.5	-1.7	89.2	-0.49	-0.34	0	0	46	0.0	14
113.5	-1.8	89.8	-0.94	-0.57	0	0	35	0.0	14
114.5	-1.8	89.4	-0.53	-0.46	0	0	25	0.0	14
115.5	-1.1	86.2	-0.38	-0.71	0	0	30	0.0	14
116.5	-1.3	86.0	-0.25	-0.17	0	0	35	0.0	14
117.5	-2.4	89.5	-0.36	-0.16	0	0	41	0.0	14
118.5	-2.1	90.7	-0.37	-0.34	0	0	46	0.0	14
119.5	-1.2	88.4	-0.33	-0.23	0	0	51	0.0	14
120.5	-1.5	90.4	-0.28	-0.29	0	0	56	0.0	14
121.5	-0.1	86.3	-0.57	-0.4	0	0	61	0.0	14
122.5	0.7	84.0	-0.32	-0.73	0	0	67	0.0	14
123.5	0.9	84.1	0.08	-0.59	0	0	72	0.0	14
124.5	1.6	81.5	-0.36	-0.48	0	0	77	0.0	14
125.5	1.4	84.0	-0.33	-0.23	0	0	82	0.0	14
126.5	1.4	85.7	-0.15	0.48	0	0	88	0.0	14
127.5	1.9	83.3	0.15	-0.48	0	5	90	0.0	14
128.5	2.1	81.3	-0.09	-0.49	0	20	92	0.0	14
129.5	2.5	81.1	-0.48	-0.15	0	53	94	0.0	14
130.5	2.9	81.4	0.25	0.65	0	84	96	0.0	14
131.5	3.4	81.7	-0.24	-0.32	0	84	98	0.0	14
132.5	3.9	83.1	-0.18	0.57	0	65	100	0.0	14
133.5	3.6	86.8	-0.39	-0.45	0	32	100	0.0	14
134.5	3.3	93.4	-0.37	-0.59	0	11	100	0.1	14
135.5	2.8	97.7	-0.41	-0.29	0	0	100	0.2	14
136.5	2.5	98.0	-0.1	-0.59	0	0	100	0.2	14
137.5	2.7	97.2	-0.42	-0.56	0	0	100	0.3	14
138.5	2.3	97.1	-0.33	-0.23	0	0	100	0.5	14
139.5	2.7	96.7	-0.33	-0.23	0	0	100	0.3	14
140.5	3.1	96.2	-0.46	-0.2	0	0	100	0.6	14
141.5	2.8	97.0	-0.1	-0.59	0	0	100	3.3	14
142.5	2.8	95.7	-0.42	-1.23	0	0	100	3.2	14
143.5	2.0	95.2	-0.51	-1.09	0	0	100	2.9	14
144.5	1.8	95.0	0.1	-0.69	0	0	100	1.4	14
145.5	1.2	95.5	-0.72	-0.96	0	0	100	2.4	14
146.5	1.4	94.7	-0.12	-0.69	0	0	100	0.2	14
147.5	1.4	95.0	-0.42	-0.56	0	0	100	0.3	14
148.5	1.4	95.2	0.29	-0.41	0	0	100	0.4	14
149.5	1.5	95.2	-0.39	0.07	0	0	100	0.9	14
150.5	1.6	95.0	0.09	0.49	0	0	100	1.2	14
151.5	1.6	94.9	-0.38	-0.71	0	4	96	0.5	14
152.5	1.8	95.1	-0.49	-0.34	0	23	92	0.1	14
153.5	2.7	93.3	0.02	1.1	0	128	88	0.0	14
154.5	3.5	86.5	0.08	1.2	535	124	83	0.0	14
155.5	4.4	82.0	0.79	2.16	713	99	79	0.0	14
156.5	4.0	87.9	1.66	2.38	298	150	75	0.0	14
157.5	3.8	77.3	0.22	-0.97	0	82	62	0.0	14
158.5	4.3	47.1	0.08	-2.4	0	94	50	0.0	14
159.5	3.5	46.1	0.05	-2.7	0	16	38	0.0	14
160.5	3.3	46.1	0.06	-3.3	0	0	25	0.0	14
161.5	2.7	48.0	-1.91	-3.74	0	0	12	0.0	14
162.5	2.7	43.9	-4.46	-4.16	0	0	0	0.0	14
163.5	2.8	38.5	-6.34	-5.51	0	0	0	0.0	14
164.5	2.3	37.7	-4.42	-4.9	0	0	0	0.0	14
165.5	2.0	37.4	-6.14	-4.97	0	0	0	0.0	14
166.5	1.6	37.1	-5.83	-4.72	0	0	0	0.0	14
167.5	1.6	36.7	-7.11	-5.36	0	0	0	0.0	14
168.5	1.3	36.1	-6.01	-6.01	0	0	0	0.0	14
169.5	0.9	36.0	-6.16	-6.84	0	0	0	0.0	14
170.5	0.6	35.3	-6.58	-6.58	0	0	0	0.0	14
171.5	0.0	36.1	-5.84	-6.04	0	0	0	0.0	14
172.5	0.0	36.0	-6.83	-6.6	0	0	0	0.0	14
173.5	0.1	35.8	-6.95	-7.19	0	0	0	0.0	14
174.5	-0.3	37.2	-4.43	-5.67	0	0	0	0.0	14
175.5	0.2	36.2	-3.81	-5.87	0	6	0	0.0	14
176.5	0.6	36.5	-2.72	-4.9	0	24	0	0.0	14
177.5	1.6	35.8	-3.86	-4.6	0	109	0	0.0	14
178.5	3.4	33.6	-5.72	-5.15	585	119	0	0.0	14
179.5	4.2	32.5	-5.49	-5.68	803	61	0	0.0	14
180.5	4.3	32.4	-5.69	-6.32	793	61	0	0.0	14
181.5	4.4	32.1	-4.17	-5.74	557	110	0	0.0	14
182.5	3.8	31.9	-1.64	-3.87	0	105	0	0.0	14
183.5	3.3	32.4	-0.41	-3.38	0	17	0	0.0	14
184.5	3.0	32.6	-0.25	-3.59	0	0	0	0.0	14
185.5	2.4	33.3	0.43	-3.47	0	0	0	0.0	14
186.5	2.2	32.8	0.6	-2.43	0	0	0	0.0	14
187.5	0.8	36.1	1.23	-1.58	0	0	0	0.0	14
188.5	-2.6	56.8	-0.7	-0.57	0	0	0	0.0	14
189.5	-3.8	71.7	-0.57	-0.4	0	0	0	0.0	14
190.5	-3.8	71.5	-0.46	-0.53	0	0	0	0.0	14
191.5	-4.0	72.1	-0.57	-0.4	0	0	0	0.0	14
192.5	-5.4	79.0	-0.41	-0.29	0	0	0	0.0	14
193.5	-5.5	79.7	-0.41	-0.29	0	0	0	0.0	14
194.5	-6.1	80.2	-0.41	-0.29	0	0	0	0.0	14
195.5	-6.5	80.4	-0.49	-0.34	0	0	0	0.0	14
196.5	-6.2	78.0	-0.41	-0.29	0	0	0	0.0	14
197.5	-6.7	79.5	-0.37	-0.34	0	0	0	0.0	14
198.5	-6.2	77.0	-0.33	-0.23	0	0	0	0.0	14
199.5	-6.6	78.2	-0.37	-0.34	0	6	10	0.0	14
200.5	-6.4	79.6	-0.49	-0.34	0	26	21	0.0	14
201.5	-4.3	74.1	-0.54	-0.27	0	122	31	0.0	14
202.5	0.4	42.7	-0.69	-0.1	642	131	42	0.0	14
203.5	2.0	32.5	-0.1	0.69	599	114	52	0.0	14
204.5	3.3	29.9	0.16	0.89	753	85	62	0.0	14
205.5	2.8	32.4	0.96	1.98	600	108	52	0.0	14
206.5	1.0	40.5	0.21	1.18	0	112	42	0.0	14
207.5	-1.8	61.2	-0.54	-0.27	0	22	31	0.0	14
208.5	-2.9	72.7	-0.28	-0.29	0	0	21	0.0	14
209.5	-4.0	77.7	-0.33	-0.23	0	0	10	0.0	14
210.5	-4.0	78.9	-0.25	-0.17	0	0	0	0.0	14
211.5	-4.1	76.9	-0.28	-0.29	0	0	0	0.0	14
212.5	-4.9	78.3	-0.21	-0.22	0	0	0	0.0	14
213.5	-5.9	82.0	-0.49	-0.34	0	0	0	0.0	14
214.5	-5.8	81.5	-0.69	-0.4	0	0	0	0.0	14
215.5	-5.9	82.6	-0.41	-0.29	0	0	0	0.0	14
216.5	-6.5	85.3	-0.57	-0.4	0	0	0	0.0	14
217.5	-6.0	83.2	-0.53	-0.46	0	0	0	0.0	14
218.5	-6.2	83.5	-0.25	-0.17	0	0	0	0.0	14
219.5	-5.8	81.5	-0.66	-0.46	0	0	0	0.0	14
220.5	-6.6	83.7	-0.41	-0.29	0	0	0	0.0	14
221.5	-6.2	82.5	-0.36	-0.16	0	0	0	0.0	14
222.5	-6.7	85.0	-0.45	-0.39	0	0	0	0.0	14
223.5	-6.5	84.9	-0.41	-0.29	0	10	6	0.0	14
224.5	-5.7	83.9	-0.45	-0.39	0	38	12	0.0	14
225.5	-3.0	75.8	-0.56	-0.22	0	151	19	0.0	14
226.5	1.8	47.5	-0.46	-0.2	556	109	25	0.0	14
227.5	3.6	40.0	0.23	1.28	752	66	31	0.0	14
228.5	5.1	34.3	-0.1	0.69	777	66	38	0.0	14
229.5	4.5	36.2	0.56	1.39	609	109	31	0.0	14
230.5	3.0	41.4	0.45	0.39	0	112	25	0.0	14
231.5	-1.0	70.3	-0.54	-0.27	0	20	19	0.0	14
232.5	-1.6	79.6	-0.49	-0.34	0	0	12	0.0	14
233.5	-1.8	80.9	-0.37	-0.34	0	0	6	0.0	14
234.5	-2.7	83.3	-0.33	-0.23	0	0	0	0.0	14
235.5	-2.2	81.8	-0.33	-0.23	0	0	4	0.0	14
236.5	-1.2	78.6	-0.38	-0.12	0	0	8	0.0	14
237.5	-1.6	80.9	-0.07	-0.39	0	0	12	0.0	14
238.5	-2.2	82.1	-0.33	-0.23	0	0	17	0.0	14
239.5	-2.3	84.2	-0.49	-0.34	0	0	21	0.0	14
240.5	-1.5	80.7	-0.24	-0.32	0	0	25	0.0	14
241.5	-1.9	80.9	0.09	0.49	0	0	29	0.0	14
242.5	-2.7	84.2	-0.41	-0.29	0	0	33	0.0	14
243.5	-2.5	84.9	-0.12	0.38	0	0	38	0.0	14
244.5	-2.7	84.8	0.33	0.23	0	0	42	0.0	14
245.5	-2.7	85.8	-0.18	-0.24	0	0	46	0.0	14
246.5	-2.5	86.0	-0.07	-0.39	0	0	50	0.0	14
247.5	-1.6	83.3	0.12	0.69	0	15	58	0.0	14
248.5	-0.8	79.9	0.54	0.72	0	72	67	0.0	14
249.5	-0.1	75.3	0.41	0.91	0	140	75	0.0	14
250.5	0.4	67.5	0.42	0.8	20	144	83	0.0	14
251.5	1.0	64.2	0.28	1.06	131	175	92	0.0	14
252.5	1.3	61.4	0.36	0.93	57	158	100	0.0	14
253.5	2.0	58.8	0.46	1.43	276	124	100	0.0	14
254.5	1.1	56.6	0.43	1.33	0	101	100	0.0	14
255.5	0.6	59.4	0.36	0.48	0	34	100	0.0	14
256.5	0.1	64.1	0.91	0.41	0	0	100	0.0	14
257.5	2.1	63.3	-2.71	-2.8	0	0	100	0.0	14
258.5	6.7	49.1	-2.7	-4.32	0	0	100	0.0	14
259.5	6.5	45.6	-2.07	-4.44	0	0	92	0.0	14
260.5	6.2	43.3	-2.63	-5.39	0	0	83	0.0	14
261.5	5.8	42.4	-0.66	-4.15	0	0	75	0.0	14
262.5	5.8	41.9	-0.58	-2.74	0	0	67	0.0	14
263.5	5.1	43.0	-0.2	-2.29	0	0	58	0.0	14
264.5	4.7	43.1	0.48	-1.94	0	0	50	0.0	14
265.5	3.6	44.7	1.84	-1.98	0	0	42	0.0	14
266.5	-1.3	64.3	-0.96	-1.15	0	0	33	0.0	14
267.5	-2.6	76.0	-1.02	-0.8	0	0	25	0.0	14
268.5	-2.8	75.9	-0.78	-0.45	0	0	17	0.0	14
269.5	-3.9	80.5	-0.74	-0.52	0	0	8	0.0	14
270.5	-4.5	82.5	-0.53	-0.46	0	0	0	0.0	14
271.5	-4.6	83.1	-0.61	-0.34	0	8	0	0.0	14
272.5	-4.7	85.4	-0.49	-0.34	0	23	0	0.0	14
273.5	-2.7	80.5	-0.61	-0.34	0	115	0	0.0	14
274.5	1.6	53.6	-0.46	0.2	562	124	0	0.0	14
275.5	3.2	44.6	-0.0	1.2	794	62	0	0.0	14
276.5	3.7	45.9	0.61	1.59	787	62	0	0.0	14
277.5	3.6	48.4	1.14	2.45	607	94	0	0.0	14
278.5	1.8	56.0	0.3	1.06	0	121	0	0.0	14
279.5	-0.5	73.4	-0.62	-0.32	0	20	0	0.0	14
280.5	-2.5	85.0	-0.49	-0.34	0	0	0	0.0	14
281.5	-3.0	88.2	-0.61	-0.35	0	0	0	0.0	14
282.5	-3.4	89.3	-0.33	-0.23	0	0	0	0.0	14
283.5	-4.1	91.0	-0.86	-0.52	0	0	2	0.0	14
284.5	-4.9	93.2	-0.57	-0.4	0	0	4	0.0	14
285.5	-4.9	92.7	-0.45	-0.23	0	0	6	0.0	14
286.5	-5.3	93.5	-0.61	-0.34	0	0	8	0.0	14
287.5	-5.3	93.1	-0.9	-0.63	0	0	10	0.0	14
288.5	-4.9	90.7	-0.57	-0.4	0	0	12	0.0	14
289.5	-4.8	90.5	-0.57	-0.4	0	0	15	0.0	14
290.5	-4.3	88.8	-0.49	-0.34	0	0	17	0.0	14
291.5	-3.6	87.4	-0.49	-0.34	0	0	19	0.0	14
292.5	-3.9	87.5	-0.66	-0.46	0	0	21	0.0	14
293.5	-4.4	88.8	-0.66	-0.46	0	0	23	0.0	14
294.5	-4.2	88.8	-0.67	-0.2	0	0	25	0.0	14
295.5	-3.2	84.9	-0.79	-0.91	0	8	35	0.0	14
296.5	-2.8	84.6	-0.56	-0.57	0	44	46	0.0	14
297.5	-2.0	84.9	-0.12	0.16	0	102	56	0.0	14
298.5	-0.1	73.2	0.24	0.32	4	128	67	0.0	14
299.5	0.9	64.6	-0.46	-0.2	9	136	77	0.0	14
300.5	1.3	62.7	0.66	1.35	0	122	88	0.0	14
301.5	1.3	63.1	0.39	0.92	0	72	90	0.0	14
302.5	1.2	64.7	-0.12	0.16	0	43	92	0.0	14
303.5	0.7	70.1	0.33	0.62	0	10	94	0.0	14
304.5	-0.1	80.7	0.04	0.2	0	0	96	0.0	14
305.5	-0.4	87.6	-0.25	-0.17	0	0	98	0.0	14
306.5	-0.2	88.4	-0.41	-0.29	0	0	100	0.0	14
307.5	-0.2	89.4	-0.39	0.07	0	0	100	0.0	14
308.5	-0.1	90.4	0.41	0.29	0	0	100	0.0	14
309.5	-0.3	91.2	-0.39	0.07	0	0	100	0.0	14
310.5	-0.8	90.2	0.66	0.88	0	0	100	0.1	14
311.5	-1.6	92.4	0.33	0.23	0	0	100	0.0	14
312.5	-1.6	95.3	-0.38	-0.12	0	0	100	0.0	14
313.5	-1.5	96.5	0.19	0.35	0	0	100	0.0	14
314.5	-1.3	96.4	-0.55	-0.24	0	0	100	0.0	14
315.5	-1.1	96.3	-0.25	-0.17	0	0	100	0.0	14
316.5	-0.9	96.7	-0.33	-0.23	0	0	100	0.0	14
317.5	-0.8	96.3	0.07	0.39	0	0	100	0.0	30
318.5	-0.7	96.2	0.1	0.59	0	0	100	0.0	30
319.5	-0.6	96.1	-0.16	-0.12	0	6	100	0.0	30
320.5	-0.3	96.1	-0.2	0.04	0	26	100	0.0	30
321.5	0.0	93.9	-0.12	0.38	0	69	100	0.0	30
322.5	0.8	89.3	0.01	0.7	0	102	100	0.0	30
323.5	0.9	88.2	-0.28	-0.29	0	63	100	0.0	30
324.5	1.2	89.9	-0.2	0.04	0	93	100	0.0	30
325.5	1.8	88.5	-0.18	0.57	0	75	100	0.0	30
326.5	2.0	87.9	-0.39	0.07	0	64	100	0.0	30
327.5	1.1	92.8	0.53	1.19	0	9	100	0.1	30
328.5	0.2	97.1	0.37	0.34	0	0	100	0.7	30
329.5	0.2	97.0	0.19	0.35	0	0	100	0.4	30
330.5	0.2	96.9	-0.0	-0.1	0	0	100	0.4	30
331.5	0.3	96.8	0.05	0.3	0	0	100	1.1	30
332.5	0.4	96.2	-0.1	0.02	0	0	100	1.2	30
333.5	0.4	96.3	-0.0	-0.0	0	0	100	0.8	30
334.5	0.4	96.0	-0.0	-0.0	0	0	100	0.8	30
335.5	0.5	96.0	0.08	0.06	0	0	100	0.6	30
336.5	0.4	96.1	-0.1	0.02	0	0	100	0.7	30
337.5	0.5	96.2	-0.25	-0.17	0	0	100	0.4	30
338.5	0.8	95.8	-0.16	-0.12	0	0	100	0.7	30
339.5	0.8	95.8	-0.37	-0.34	0	0	100	0.8	30
340.5	1.2	95.6	-0.54	-0.72	0	0	100	0.9	30
341.5	1.8	94.7	-0.61	-1.59	0	0	100	0.5	30
342.5	1.4	95.3	-0.5	-0.98	0	0	100	1.1	30
343.5	1.6	93.9	-0.49	-1.1	0	0	100	0.8	30
344.5	1.3	94.0	-0.45	-0.23	0	17	100	1.6	30
345.5	1.2	94.1	-0.62	-0.91	0	22	100	2.1	30
346.5	0.7	94.4	-1.09	-1.17	0	37	100	1.7	30
347.5	1.7	92.8	-0.57	-0.94	2	135	100	0.1	30
348.5	1.5	90.8	0.29	0.96	228	162	100	0.0	30
349.5	1.8	91.0	-0.46	0.66	9	126	100	0.0	30
350.5	1.7	92.2	0.09	0.49	0	56	100	0.0	30
351.5	1.7	92.7	-0.33	-0.23	0	27	100	0.0	30
352.5	1.3	93.6	-0.49	-0.34	0	0	100	0.0	30
353.5	1.3	94.6	0.1	0.59	0	0	100	0.0	30
354.5	1.0	95.0	-0.61	-0.51	0	0	100	0.0	30
355.5	1.0	95.0	-0.16	-0.12	0	0	98	0.0	30
356.5	0.9	94.9	-0.28	-0.29	0	0	96	0.0	30
357.5	0.9	95.0	-0.33	-0.23	0	0	94	0.0	30
358.5	1.1	94.4	-0.49	-0.5	0	0	92	0.0	30
359.5	1.1	94.3	-0.14	-0.26	0	0	90	0.0	30
360.5	1.5	92.1	-0.5	-1.63	0	0	88	0.0	30
361.5	1.2	90.5	-0.18	-0.24	0	0	85	0.0	30
362.5	0.9	92.4	-0.16	-0.12	0	0	83	0.0	30
363.5	0.9	93.2	-0.2	0.04	0	0	81	0.0	30
364.5	0.7	93.6	-0.41	-0.29	0	0	79	0.0	30
365.5	-0.2	94.1	-0.86	-0.69	0	0	77	0.0	30
366.5	-0.9	93.5	-1.13	-0.98	0	0	75	0.0	30
367.5	-1.2	89.5	-0.73	-0.68	0	7	71	0.0	30
368.5	-1.7	89.7	-0.61	-0.34	0	29	67	0.0	30
369.5	-0.5	85.1	-0.65	-0.62	0	110	62	0.0	30
370.5	1.2	75.0	-0.48	-0.15	477	130	58	0.0	30
371.5	2.8	61.2	-0.17	0.25	599	120	54	0.0	30
372.5	3.3	62.3	-1.06	-0.75	752	112	50	0.0	30
373.5	4.0	64.8	-0.65	0.62	491	127	44	0.0	30
374.5	3.2	74.0	0.45	1.0	152	101	38	0.0	30
375.5	1.7	88.4	-1.06	-0.92	0	26	31	0.0	30
376.5	0.8	92.1	-0.94	-1.04	0	0	25	0.0	30
377.5	-0.2	92.8	-0.73	-0.68	0	0	19	0.0	30
378.5	-0.9	91.4	-0.57	-0.4	0	0	12	0.0	30
379.5	-1.4	90.7	-0.79	-0.76	0	0	19	0.0	30
380.5	-0.5	83.1	-0.84	-1.12	0	0	25	0.0	30
381.5	-0.3	84.2	-0.51	-0.61	0	0	31	0.0	30
382.5	0.2	83.8	-0.29	-0.09	0	0	38	0.0	30
383.5	0.2	85.3	-0.19	-0.06	0	0	44	0.0	30
384.5	0.2	87.6	-0.79	-0.91	0	0	50	0.0	30
385.5	0.9	76.9	-1.02	-1.84	0	0	56	0.0	30
386.5	0.0	73.8	-0.88	-1.46	0	0	62	0.0	30
387.5	0.3	72.4	-0.95	-1.53	0	0	69	0.0	30
388.5	-0.2	76.9	-1.16	-1.24	0	0	75	0.0	30
389.5	0.3	80.9	-1.26	-1.8	0	0	81	0.0	30
390.5	0.4	83.0	-0.44	-0.67	0	0	88	0.0	30
391.5	0.6	86.3	-0.36	-0.16	0	15	81	0.0	30
392.5	1.0	84.5	-0.64	-1.25	0	68	75	0.0	30
393.5	1.5	82.5	0.04	0.2	0	123	69	0.0	30
394.5	2.8	72.2	-0.67	-0.2	353	146	62	0.0	30
395.5	4.1	58.0	0.1	0.59	122	207	56	0.0	30
396.5	4.1	61.2	-0.05	1.0	189	166	50	0.0	30
397.5	3.9	62.3	0.46	1.32	99	153	54	0.0	30
398.5	3.1	69.5	-0.15	0.68	6	97	58	0.0	30
399.5	3.1	73.7	0.28	0.53	0	38	62	0.0	30
400.5	2.1	82.8	-0.82	-0.37	0	0	67	0.0	30
401.5	1.7	88.8	-0.36	-0.48	0	0	71	0.0	30
402.5	1.5	90.5	-0.32	-0.51	0	0	75	0.0	30
403.5	1.1	91.4	-0.64	-1.02	0	0	69	0.0	30
404.5	0.2	93.0	-0.66	-0.46	0	0	62	0.0	30
405.5	-0.4	94.2	-0.73	-0.68	0	0	56	0.0	30
406.5	-0.7	93.9	-0.89	-0.8	0	0	50	0.0	30
407.5	-0.9	93.3	-0.37	-0.34	0	0	44	0.0	30
408.5	-0.2	92.2	-0.79	-0.91	0	0	38	0.0	30
