#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor
0.0	3.3	88.4	-2.91	1.55	0	0
0.5	3.3	88.4	-2.91	1.55	0	0
1.5	2.5	86.5	-3.2	-0.0	0	0
2.5	2.0	85.2	-2.93	-1.01	0	0
3.5	1.5	83.6	-2.41	-1.95	0	0
4.5	1.2	82.9	-1.8	-2.14	0	0
5.5	1.2	83.0	-1.81	-2.01	0	0
6.5	1.1	83.0	-1.74	-1.93	0	0
7.5	1.2	82.7	-1.88	-1.94	0	0
8.5	1.4	82.1	-2.18	-1.76	35	41
9.5	1.6	81.1	-1.9	-1.1	0	64
10.5	1.8	81.4	-2.65	-1.79	0	84
11.5	1.7	82.2	-1.46	-1.36	0	60
12.5	2.0	82.9	-1.6	-1.2	0	62
13.5	1.8	84.0	-0.8	-0.6	0	39
14.5	1.8	84.1	-0.64	-0.64	0	15
15.5	1.8	85.1	-0.91	-0.41	0	5
16.5	1.7	84.5	-0.32	-0.62	0	0
17.5	1.7	84.4	-0.65	-0.26	0	0
18.5	1.6	86.2	-1.5	0.1	0	0
19.5	1.4	91.0	-0.9	-0.0	0	0
20.5	1.1	97.6	-0.14	-0.14	0	0
21.5	1.1	98.2	-0.42	-0.42	0	0
22.5	1.2	98.2	-0.47	-0.65	0	0
23.5	1.0	98.7	-0.62	-0.32	0	0
24.5	1.0	98.3	-0.45	-0.23	0	0
25.5	1.0	98.7	-0.33	-0.22	0	0
26.5	1.1	97.8	-0.42	-0.42	0	0
27.5	1.0	98.8	-0.5	-0.5	0	0
28.5	0.9	98.9	-0.61	-0.51	0	0
29.5	0.8	98.3	-0.93	-0.76	0	0
30.5	0.8	97.1	-1.27	-1.27	0	0
31.5	0.7	97.6	-1.09	-1.56	0	0
32.5	0.8	93.1	-1.44	-1.66	0	27
33.5	0.7	89.7	-2.1	-1.53	0	35
34.5	0.5	86.6	-1.94	-1.41	0	74
35.5	0.4	85.2	-1.67	-1.99	0	57
36.5	0.5	83.2	-1.72	-2.21	0	84
37.5	0.6	83.8	-2.25	-2.41	0	57
38.5	0.4	83.9	-1.97	-1.54	0	37
39.5	-0.2	82.8	-2.68	-1.74	0	11
40.5	-0.5	81.2	-2.27	-2.8	0	0
41.5	-0.4	83.4	-2.18	-2.6	0	0
42.5	-0.4	82.8	-2.79	-2.43	0	0
43.5	-0.5	82.1	-3.24	-3.13	0	0
44.5	-0.7	81.5	-3.45	-3.33	0	0
45.5	-1.0	79.7	-2.83	-2.83	0	0
46.5	-1.3	79.4	-2.44	-2.91	0	0
47.5	-1.5	79.3	-2.08	-2.56	0	0
48.5	-1.7	80.4	-3.41	-4.06	0	0
49.5	-1.8	80.0	-2.59	-3.56	0	0
50.5	-2.0	79.6	-2.17	-2.88	0	0
51.5	-2.1	79.5	-2.53	-3.35	0	0
52.5	-2.1	80.1	-2.52	-3.11	0	0
53.5	-2.2	79.1	-2.23	-2.15	0	0
54.5	-2.2	79.9	-2.72	-2.05	0	0
55.5	-2.4	79.8	-3.11	-3.11	0	0
56.5	-2.4	78.8	-2.34	-2.03	0	23
57.5	-2.7	79.1	-2.83	-1.7	0	47
58.5	-3.0	78.5	-2.9	-2.61	0	88
59.5	-2.9	75.2	-2.7	-3.22	4	130
60.5	-2.8	72.4	-2.65	-3.39	19	135
61.5	-2.9	72.2	-3.81	-1.78	176	119
62.5	-3.3	73.9	-3.36	-1.29	411	63
63.5	-3.5	75.2	-2.75	-2.48	0	26
64.5	-4.2	78.7	-2.41	-2.25	0	0
65.5	-4.8	76.6	-2.08	-1.56	0	0
66.5	-5.0	77.3	-1.84	-2.74	0	0
67.5	-4.7	78.2	-1.78	-2.54	0	0
68.5	-4.3	77.6	-1.01	-2.17	0	0
69.5	-4.3	78.2	-0.3	-1.57	0	0
70.5	-4.2	81.0	-0.41	-1.44	0	0
71.5	-4.1	81.4	-0.38	-0.93	0	0
72.5	-4.4	82.4	1.22	-0.68	0	0
73.5	-4.6	84.0	2.19	-0.19	0	0
74.5	-4.5	86.9	1.9	-0.1	0	0
75.5	-4.7	88.8	1.69	-0.21	0	0
76.5	-5.0	89.6	2.0	0.1	0	0
77.5	-5.2	90.4	1.98	-0.31	0	0
78.5	-6.3	89.7	3.6	0.13	0	0
79.5	-6.3	88.0	3.54	0.62	0	0
80.5	-6.2	82.6	4.26	0.6	1	39
81.5	-5.0	81.7	4.79	1.02	55	91
82.5	-4.6	83.2	4.03	0.78	99	134
83.5	-3.6	80.8	5.14	1.28	50	138
84.5	-3.1	80.5	4.89	1.04	0	64
85.5	-2.4	79.9	4.09	0.94	0	44
86.5	-1.5	77.2	3.24	1.79	0	35
87.5	-1.1	75.1	3.45	1.33	0	12
88.5	-1.0	78.9	2.76	2.76	0	0
89.5	-0.9	78.7	2.8	2.71	0	0
90.5	-0.7	77.6	4.24	2.65	0	0
91.5	-0.9	77.7	4.68	2.7	0	0
92.5	-1.5	77.2	3.93	2.75	0	0
93.5	-1.3	75.6	4.79	1.74	0	0
94.5	-1.5	77.7	5.07	1.85	0	0
95.5	-1.9	80.2	3.96	1.93	0	0
96.5	-1.6	79.6	4.48	1.99	0	0
97.5	-1.7	80.5	4.02	1.79	0	0
98.5	-0.8	78.1	3.8	2.02	0	0
99.5	-0.6	78.6	4.39	1.68	0	0
100.5	-0.3	78.3	3.93	1.75	0	0
101.5	-0.2	79.9	3.65	1.63	0	0
102.5	-0.1	80.4	4.42	1.61	0	0
103.5	0.1	80.1	5.46	1.26	0	0
104.5	0.3	81.0	5.3	1.03	0	18
105.5	0.4	81.2	3.83	1.47	0	35
106.5	0.7	80.4	4.11	1.58	0	48
107.5	0.9	81.5	3.11	1.38	0	86
108.5	1.3	81.2	3.2	1.42	0	91
109.5	1.4	82.1	2.69	1.09	0	49
110.5	1.8	82.1	1.9	1.1	0	40
111.5	1.7	84.5	2.3	0.98	0	16
112.5	1.6	86.0	1.88	0.68	0	0
113.5	1.5	86.1	1.19	0.74	0	0
114.5	1.3	87.3	1.12	1.0	0	0
115.5	1.3	86.5	1.45	0.39	0	0
116.5	1.2	86.9	2.1	0.11	0	0
117.5	1.0	89.2	0.9	0.09	0	0
118.5	1.0	90.0	-0.16	-0.48	0	0
119.5	1.1	89.2	-0.78	-0.19	0	0
120.5	1.1	89.6	-0.54	-0.44	0	0
121.5	0.9	90.4	-0.28	-0.42	0	0
122.5	1.0	90.7	-1.2	-0.9	0	0
123.5	0.9	91.3	-0.57	-0.94	0	0
124.5	1.0	91.1	-0.8	-0.41	0	0
125.5	1.1	91.1	-0.59	-0.09	0	0
126.5	1.2	92.9	-0.69	-0.1	0	0
127.5	1.1	93.3	-0.69	-0.58	0	0
128.5	1.6	91.2	-0.32	-0.62	163	41
129.5	2.2	87.1	-0.41	-0.8	335	80
130.5	2.9	83.8	0.4	0.0	341	117
131.5	3.4	83.1	0.19	0.78	115	149
132.5	3.5	83.6	1.45	0.39	6	122
133.5	3.8	82.6	1.3	0.75	47	118
134.5	3.8	82.5	0.64	0.64	0	61
135.5	3.4	83.4	2.28	0.28	0	9
136.5	2.8	90.7	1.11	0.45	0	0
137.5	3.0	90.7	0.85	1.36	0	0
138.5	2.8	90.1	1.76	1.32	0	0
139.5	2.1	88.8	4.7	1.0	0	0
140.5	2.5	85.9	4.77	0.5	0	0
141.5	2.6	85.7	3.37	0.47	0	0
142.5	2.4	88.5	3.31	1.41	0	0
143.5	2.5	89.2	4.21	1.29	0	0
144.5	2.4	87.6	2.1	0.0	0	0
145.5	2.6	85.7	3.84	1.1	0	0
146.5	2.8	86.6	3.35	1.02	0	0
147.5	2.8	90.4	3.24	1.31	0	0
148.5	2.7	89.6	3.04	0.59	0	0
149.5	2.7	88.7	2.91	0.73	0	0
150.5	2.8	88.4	1.8	-0.09	0	0
151.5	2.8	89.1	2.07	0.33	0	0
152.5	3.0	89.1	1.27	0.29	0	31
153.5	3.6	88.6	0.45	0.23	0	73
154.5	4.0	88.3	-1.02	-0.41	7	116
155.5	4.4	86.1	-1.46	-1.06	14	129
156.5	4.7	85.6	-1.53	-0.95	14	134
157.5	5.0	85.1	-1.24	-0.38	227	118
158.5	5.1	85.3	-1.47	-0.29	106	84
159.5	4.1	88.5	-1.7	-2.1	0	34
160.5	3.4	91.1	-0.89	-1.9	0	0
161.5	3.4	92.1	-1.82	-1.23	0	0
162.5	3.6	92.2	-1.99	-0.68	0	0
163.5	3.4	95.7	-1.61	-1.01	0	0
164.5	3.2	98.4	-1.22	-0.44	0	0
165.5	2.9	100.0	-1.0	-0.1	0	0
166.5	2.8	100.0	-1.03	-0.62	0	0
167.5	2.9	100.0	-0.95	-0.31	0	0
168.5	2.9	99.8	-0.86	-0.28	0	0
169.5	2.9	100.0	-0.88	-0.2	0	0
170.5	2.9	100.0	-1.09	-0.12	0	0
171.5	3.0	100.0	-0.42	0.56	0	0
172.5	2.9	99.3	0.19	0.98	0	0
173.5	2.7	95.8	-0.1	1.0	0	0
174.5	2.6	94.5	-0.1	0.79	0	0
175.5	2.2	95.9	-0.53	0.73	0	0
176.5	2.1	95.7	-0.35	0.35	0	8
177.5	2.1	95.4	-0.0	0.5	0	27
178.5	2.2	95.0	-0.12	0.89	0	46
179.5	2.0	95.5	-0.12	1.09	0	47
180.5	2.0	96.0	-0.44	0.54	0	46
181.5	2.1	94.1	0.21	1.08	0	48
182.5	2.2	93.2	0.36	0.48	0	24
183.5	2.3	91.8	0.1	0.49	0	15
184.5	2.4	92.9	0.22	0.67	0	0
185.5	2.4	95.4	-0.0	0.5	0	0
186.5	2.4	96.8	-0.5	0.34	0	0
187.5	2.4	97.5	1.36	0.34	0	0
188.5	2.7	96.0	1.54	0.93	0	0
189.5	2.7	95.8	-0.14	0.58	0	0
190.5	2.9	95.4	2.01	1.94	0	0
191.5	3.2	95.8	2.92	3.02	0	0
192.5	4.9	93.4	3.58	3.34	0	0
193.5	5.5	92.1	3.51	2.11	0	0
194.5	5.1	94.0	2.21	0.94	0	0
195.5	5.1	95.1	1.23	1.82	0	0
196.5	6.1	92.7	3.62	3.88	0	0
197.5	6.8	91.6	4.31	2.91	0	0
198.5	6.7	92.3	3.91	2.95	0	0
199.5	6.8	92.1	4.37	2.63	0	0
200.5	6.4	93.9	3.29	1.2	0	18
201.5	6.7	94.6	3.21	1.63	0	29
202.5	7.9	89.7	5.57	2.48	0	90
203.5	8.5	86.5	5.95	3.3	79	139
204.5	7.7	87.6	7.31	3.25	0	93
205.5	8.3	86.9	5.14	3.09	20	109
206.5	7.4	85.9	8.16	3.3	0	34
207.5	6.8	85.8	6.8	1.2	0	29
208.5	6.7	88.4	6.12	3.39	0	0
209.5	6.8	89.2	5.77	3.2	0	0
210.5	6.9	89.5	5.6	2.15	0	0
211.5	6.9	89.6	4.07	1.4	0	0
212.5	7.0	89.9	6.18	2.01	0	0
213.5	7.3	90.7	5.38	2.17	0	0
214.5	7.0	91.0	5.79	2.95	0	0
215.5	6.9	91.0	4.9	4.57	0	0
216.5	6.9	90.4	6.58	2.66	0	0
217.5	6.1	89.0	5.69	1.11	0	0
218.5	5.5	92.1	3.5	1.48	0	0
219.5	4.9	93.1	4.25	0.67	0	0
220.5	4.1	92.7	4.29	0.22	0	0
221.5	4.4	86.8	4.21	-0.89	0	0
222.5	3.4	93.0	0.85	0.85	0	0
223.5	3.3	94.8	0.6	1.48	0	0
224.5	3.5	95.2	0.91	0.62	281	47
225.5	4.1	94.0	1.38	2.2	109	92
226.5	5.7	89.8	1.7	1.7	584	113
227.5	7.4	81.8	2.16	2.49	601	127
228.5	7.4	81.6	3.06	1.7	130	140
229.5	8.4	76.4	3.12	1.8	401	111
230.5	8.2	79.5	2.63	2.46	282	71
231.5	7.6	84.3	2.23	2.01	0	40
232.5	7.2	87.1	1.8	1.08	0	0
233.5	6.9	88.7	1.98	1.84	0	0
234.5	6.6	91.3	1.86	1.67	0	0
235.5	6.0	94.0	0.75	1.06	0	0
236.5	5.9	94.6	0.63	1.14	0	0
237.5	6.5	93.5	2.53	2.12	0	0
238.5	6.4	95.3	2.55	2.55	0	0
239.5	6.8	95.6	1.31	2.01	0	0
240.5	6.9	95.3	2.08	2.16	0	0
241.5	6.9	95.4	1.5	2.0	0	0
242.5	6.8	96.6	0.68	1.88	0	0
243.5	7.0	95.6	1.63	2.52	0	0
244.5	7.0	95.3	1.39	2.31	0	0
245.5	7.1	92.9	2.56	2.94	0	0
246.5	7.2	89.8	2.17	2.88	0	0
247.5	6.9	91.1	1.4	2.07	0	0
248.5	7.4	88.7	2.8	2.71	0	24
249.5	7.7	87.1	0.54	1.4	0	54
250.5	8.0	89.4	1.68	1.57	0	89
251.5	8.5	90.7	3.73	1.14	0	67
252.5	9.6	88.0	3.23	2.52	0	73
253.5	10.3	92.2	4.11	4.9	0	47
254.5	9.7	96.9	4.15	5.13	0	24
255.5	9.8	97.8	4.31	5.13	0	4
256.5	10.9	95.8	4.6	3.86	0	0
257.5	11.2	96.0	4.19	5.36	0	0
258.5	11.2	96.1	4.31	4.31	0	0
259.5	10.9	96.4	4.09	4.39	0	0
260.5	11.0	93.4	5.7	3.7	0	0
261.5	11.1	92.2	4.57	4.9	0	0
262.5	11.0	91.7	5.32	5.7	0	0
263.5	11.3	87.3	6.39	5.76	0	0
264.5	10.9	86.2	7.35	6.17	0	0
265.5	10.6	81.6	9.09	5.25	0	0
266.5	9.4	85.7	10.23	2.36	0	0
267.5	8.7	84.7	7.9	1.25	0	0
268.5	8.2	85.1	2.74	1.22	0	0
269.5	7.8	86.3	2.74	1.22	0	0
270.5	7.8	87.6	5.89	2.5	0	0
271.5	7.5	89.5	4.5	3.16	0	0
272.5	7.5	91.1	3.58	3.34	0	22
273.5	7.7	92.4	3.42	3.08	0	36
274.5	7.8	92.0	2.96	3.65	0	36
275.5	8.0	90.2	4.17	4.17	0	58
276.5	8.1	92.1	3.02	3.86	0	32
277.5	8.1	91.2	3.45	2.89	0	33
278.5	8.0	91.9	4.53	4.38	0	14
279.5	8.4	88.2	6.36	6.36	0	8
280.5	9.5	87.7	6.99	6.29	0	0
281.5	10.2	89.3	6.29	6.29	0	0
282.5	11.8	82.4	9.42	6.6	0	0
283.5	12.1	79.9	13.62	3.65	0	0
284.5	11.3	76.5	13.85	1.21	0	0
285.5	11.3	66.6	11.64	2.9	0	0
286.5	10.5	69.1	9.61	2.76	0	0
287.5	10.0	69.1	8.44	2.1	0	0
288.5	9.4	70.7	5.48	2.67	0	0
289.5	9.1	72.6	5.8	3.35	0	0
290.5	9.1	71.6	5.75	1.33	0	0
291.5	8.2	76.2	1.53	3.15	0	0
292.5	8.0	83.0	3.4	2.47	0	0
293.5	7.5	91.6	2.53	3.48	0	0
294.5	7.7	94.7	1.8	3.12	0	0
295.5	8.3	95.0	1.11	3.22	0	0
296.5	8.8	94.9	2.41	3.32	0	5
297.5	10.6	93.2	4.43	3.59	0	12
298.5	11.8	93.5	4.07	2.54	0	21
299.5	12.7	92.8	6.17	5.55	0	28
300.5	13.4	91.8	7.28	5.29	0	39
301.5	13.4	92.1	6.07	5.66	0	22
302.5	13.3	91.9	6.76	6.09	0	17
303.5	13.2	88.4	8.59	6.71	0	5
304.5	12.9	86.7	6.69	6.46	0	0
305.5	12.7	88.7	7.02	6.1	0	0
306.5	12.2	91.1	6.54	4.25	0	0
307.5	12.1	90.0	7.36	6.62	0	0
308.5	12.4	85.3	9.25	7.49	0	0
309.5	11.5	88.3	8.46	3.08	0	0
310.5	9.7	86.1	3.9	0.07	0	0
311.5	9.4	89.2	2.49	0.22	0	0
312.5	9.0	91.2	3.75	-0.59	0	0
313.5	8.4	86.3	5.94	3.71	0	0
314.5	8.1	84.2	7.52	4.17	0	0
315.5	7.7	84.1	7.91	3.86	0	0
316.5	7.5	83.0	8.56	4.55	0	0
317.5	7.4	83.3	7.79	3.15	0	0
318.5	7.1	81.4	7.55	3.2	0	0
319.5	6.8	78.9	7.32	2.38	0	0
320.5	6.8	76.9	6.77	2.46	0	38
321.5	7.3	72.2	9.23	2.65	353	82
322.5	8.3	66.5	7.99	2.91	397	118
323.5	8.4	66.5	8.27	2.37	151	163
324.5	8.5	65.1	6.77	2.74	83	173
325.5	8.4	65.8	6.91	2.65	63	132
326.5	8.2	68.2	4.85	2.37	32	88
327.5	7.8	71.2	3.62	2.83	0	35
328.5	7.1	74.8	3.48	3.73	0	0
329.5	6.1	78.8	2.83	2.83	0	0
330.5	5.6	83.0	2.28	2.92	0	0
331.5	7.8	63.0	5.99	4.51	0	0
332.5	6.4	82.4	7.37	4.43	0	0
333.5	6.0	88.1	5.02	2.9	0	0
334.5	6.0	84.9	8.78	3.37	0	0
335.5	5.1	86.0	7.75	3.95	0	0
336.5	5.0	86.7	7.64	3.73	0	0
337.5	5.3	77.4	7.46	3.64	0	0
338.5	5.7	69.6	7.63	4.77	0	0
339.5	5.2	73.4	9.45	5.24	0	0
340.5	4.0	83.6	9.87	4.39	0	0
341.5	3.4	90.5	9.17	3.16	0	0
342.5	3.2	91.2	8.36	2.4	0	0
343.5	3.3	89.0	8.54	1.66	0	0
344.5	3.4	89.4	5.99	1.6	3	44
345.5	3.8	87.5	4.63	0.82	0	77
346.5	4.1	83.7	3.8	0.88	0	101
347.5	4.7	80.9	3.61	2.34	74	157
348.5	5.1	77.5	5.43	1.36	64	142
349.5	5.3	75.5	4.92	3.07	17	126
350.5	4.1	87.8	5.03	2.46	0	30
351.5	3.8	92.6	3.0	2.8	0	20
352.5	3.8	91.7	1.85	2.85	0	0
353.5	3.5	93.3	1.6	2.77	0	0
354.5	3.3	92.9	2.7	1.89	0	0
355.5	3.3	93.1	2.88	1.8	0	0
356.5	3.2	91.5	3.52	2.47	0	0
357.5	3.1	89.5	3.22	2.01	0	0
358.5	2.9	88.2	3.62	2.83	0	0
359.5	2.7	86.7	2.44	3.9	0	0
360.5	2.7	84.4	2.68	3.98	0	0
361.5	2.5	84.1	3.28	3.91	0	0
362.5	2.4	84.7	2.12	2.12	0	0
363.5	2.6	79.8	2.15	1.94	0	0
364.5	2.4	79.0	1.92	1.61	0	0
365.5	2.3	79.1	2.3	2.07	0	0
366.5	2.9	74.5	3.42	3.08	0	0
367.5	3.6	72.6	3.51	3.27	0	0
368.5	5.4	62.6	5.91	4.29	0	20
369.5	7.0	61.1	7.32	6.36	0	55
370.5	6.8	70.9	7.31	6.82	0	72
371.5	6.7	74.8	6.89	5.78	0	47
372.5	6.3	83.4	6.72	4.7	0	42
373.5	6.9	80.7	6.07	4.74	0	50
374.5	7.0	81.4	7.43	5.6	0	38
375.5	6.6	86.6	7.11	4.28	0	12
376.5	6.5	87.7	7.27	3.09	0	0
377.5	6.3	89.1	6.44	2.47	0	0
378.5	6.7	87.9	5.7	3.7	0	0
379.5	6.9	87.2	6.28	5.27	0	0
380.5	7.4	83.3	6.94	6.04	0	0
381.5	7.8	83.9	6.22	5.04	0	0
382.5	7.5	89.1	4.06	2.16	0	0
383.5	6.9	90.6	5.92	1.48	0	0
384.5	6.3	92.7	4.57	1.48	0	0
385.5	7.6	89.2	3.72	3.35	0	0
386.5	8.4	85.2	5.27	4.91	0	0
387.5	6.2	89.6	4.01	-2.04	0	0
388.5	6.0	89.6	4.37	1.09	0	0
389.5	5.4	89.2	7.07	1.37	0	0
390.5	5.0	90.3	3.88	1.34	0	0
391.5	4.9	87.7	5.84	0.82	0	0
392.5	5.0	88.4	7.18	1.79	0	22
393.5	5.5	87.3	7.44	1.99	1	85
394.5	6.8	80.5	7.66	1.91	388	145
395.5	6.9	76.7	5.98	2.29	161	151
396.5	7.1	73.1	5.11	1.76	226	157
397.5	7.5	71.3	6.02	1.5	159	147
398.5	7.2	70.4	5.16	1.19	50	91
399.5	6.7	78.5	1.53	2.1	0	16
400.5	5.7	89.0	0.9	2.12	0	0
401.5	5.4	90.5	0.64	1.25	0	0
402.5	5.2	91.6	-0.1	0.49	0	0
403.5	4.9	93.9	-0.87	0.22	0	0
404.5	4.2	94.4	-1.46	-1.36	0	0
405.5	4.2	95.4	-1.35	-1.86	0	0
406.5	4.6	95.7	-1.1	-1.9	0	0
407.5	4.5	95.3	-1.48	-2.38	0	0
408.5	4.6	95.6	-1.72	-2.46	0	0
409.5	4.7	95.6	-2.01	-1.81	0	0
410.5	4.8	93.9	-2.25	-1.82	0	0
411.5	4.8	92.2	-1.84	-2.74	0	0
412.5	4.7	90.6	-2.11	-3.51	0	0
413.5	4.8	90.9	-2.02	-3.8	0	0
414.5	4.7	93.5	-2.44	-2.91	0	0
415.5	4.5	93.2	-2.46	-3.65	0	0
416.5	4.4	94.2	-2.52	-3.11	0	14
417.5	5.0	89.6	-3.08	-3.81	0	40
418.5	5.3	84.0	-3.76	-4.81	0	57
419.5	5.7	78.6	-4.37	-5.6	0	108
420.5	6.0	72.2	-4.88	-5.42	5	145
421.5	5.9	69.4	-4.26	-4.91	3	120
422.5	5.5	65.4	-3.85	-5.11	0	60
423.5	5.0	67.9	-3.76	-4.81	0	25
424.5	4.7	70.3	-3.54	-3.67	0	0
425.5	4.4	71.7	-3.21	-3.57	0	0
426.5	4.2	72.1	-2.44	-2.91	0	0
427.5	3.8	71.0	-2.33	-4.2	0	0
428.5	2.9	73.1	-1.9	-4.08	0	0
429.5	2.3	74.7	-2.56	-2.39	0	0
430.5	1.9	75.7	-2.53	-2.12	0	0
431.5	2.0	71.5	-1.01	-2.5	0	0
432.5	1.9	75.1	-0.73	-2.91	0	0
433.5	1.8	73.8	-0.99	-3.25	0	0
434.5	1.8	72.3	-0.58	-2.53	0	0
435.5	1.3	76.6	-0.22	-2.09	0	0
436.5	0.7	82.3	1.34	-1.2	0	0
437.5	0.4	83.0	2.38	-0.29	0	0
438.5	0.2	84.3	2.49	-0.22	0	0
439.5	-0.2	85.8	4.39	-0.23	0	0
440.5	0.1	82.8	4.88	0.43	54	54
441.5	0.7	80.9	4.4	0.94	334	89
442.5	0.9	83.9	4.3	0.92	72	142
443.5	1.6	81.4	4.54	1.22	12	137
444.5	2.6	74.4	4.26	1.46	7	154
445.5	3.1	69.8	4.26	1.72	70	143
446.5	3.1	61.7	5.14	1.67	0	65
447.5	2.8	65.3	5.01	1.73	0	19
448.5	2.6	68.7	4.31	2.1	0	0
449.5	2.6	67.7	4.76	1.83	0	0
450.5	2.2	76.0	5.6	1.5	0	0
451.5	1.8	87.9	5.48	1.57	0	0
452.5	2.3	91.9	3.16	3.06	0	0
453.5	2.5	92.7	3.92	4.67	0	0
454.5	2.7	89.2	4.45	4.6	0	0
455.5	2.9	88.7	4.72	4.89	0	0
456.5	3.2	87.2	5.18	5.56	0	0
457.5	3.2	89.5	5.43	4.09	0	0
458.5	2.9	93.4	4.49	2.19	0	0
459.5	2.9	94.2	4.17	1.94	0	0
460.5	2.8	94.1	3.96	4.1	0	0
461.5	3.2	92.7	4.83	3.38	0	0
462.5	3.4	92.8	4.6	3.86	0	0
463.5	3.4	93.2	4.7	3.05	0	3
464.5	3.8	91.7	5.75	2.81	0	17
465.5	3.9	92.7	3.59	2.71	0	27
466.5	4.2	92.8	3.34	3.98	0	35
467.5	4.6	92.6	4.67	1.79	0	44
468.5	4.6	92.5	4.73	1.27	0	42
469.5	4.7	93.6	5.29	0.37	0	53
470.5	4.9	94.3	0.2	-1.89	0	19
471.5	4.7	94.1	0.3	-1.88	0	12
472.5	4.7	90.3	-0.3	-2.88	0	0
473.5	4.4	92.1	-0.12	-2.2	0	0
474.5	4.1	93.5	0.61	-2.12	0	0
475.5	3.8	93.3	0.87	0.5	0	0
476.5	3.7	92.6	2.0	0.0	0	0
477.5	3.4	93.5	1.31	0.5	0	0
478.5	3.2	94.1	2.2	0.0	0	0
479.5	3.0	94.5	3.0	0.1	0	0
480.5	2.6	95.7	3.08	-0.38	0	0
481.5	2.6	95.5	3.09	-0.22	0	0
482.5	2.9	95.0	2.1	-0.11	0	0
483.5	2.7	94.4	2.38	0.29	0	0
484.5	2.6	94.8	1.82	1.05	0	0
485.5	2.7	94.5	2.84	0.98	0	0
486.5	2.7	93.9	2.97	0.42	0	0
487.5	2.5	93.8	2.4	-0.08	0	9
488.5	2.2	93.5	0.57	-0.57	0	30
489.5	2.7	92.9	0.48	-0.12	0	74
490.5	3.0	90.2	-0.76	-0.66	0	71
491.5	2.7	86.3	-1.95	-1.22	0	63
492.5	2.6	85.9	-2.12	-1.32	0	73
493.5	2.5	86.5	-1.54	-0.41	0	80
494.5	2.4	85.0	-1.67	-0.32	0	39
495.5	2.3	83.4	-2.04	-0.82	0	20
496.5	1.9	83.1	-1.88	-0.68	0	0
497.5	1.5	83.3	-1.81	-1.42	0	0
498.5	1.3	82.4	-1.78	-1.29	0	0
499.5	1.1	80.6	-2.1	-1.7	0	0
500.5	0.9	77.9	-2.1	-1.16	0	0
501.5	0.7	74.9	-1.9	-1.1	0	0
502.5	0.6	73.8	-1.72	-0.8	0	0
503.5	0.5	69.5	-2.2	-0.0	0	0
504.5	0.5	68.2	-0.95	-0.31	0	0
505.5	0.4	69.3	-1.39	-0.8	0	0
506.5	0.3	68.9	-1.6	-0.82	0	0
507.5	0.2	67.2	-1.13	-0.82	0	0
508.5	-0.1	70.5	-0.84	-1.59	0	0
509.5	-0.7	75.7	-0.68	-2.09	0	0
510.5	-1.7	80.6	-1.05	-1.34	0	0
511.5	-2.3	81.9	-1.42	-1.11	0	10
512.5	-1.3	76.7	-0.85	-1.47	525	38
513.5	0.2	69.6	-1.39	-1.3	686	65
514.5	0.9	69.5	-1.65	-0.41	549	106
515.5	1.3	61.8	-1.8	0.09	744	68
516.5	1.9	58.6	-1.76	0.71	706	97
517.5	2.0	57.5	-1.54	0.72	398	126
518.5	1.9	60.2	-1.07	0.55	278	94
519.5	1.5	64.2	-1.28	0.2	155	53
520.5	0.8	69.6	-1.96	0.42	0	0
521.5	0.3	76.0	-1.81	-0.59	0	0
522.5	0.2	75.6	-1.24	-0.84	0	0
523.5	-0.1	75.0	-1.2	-0.9	0	0
524.5	-0.4	76.6	-1.48	-1.76	0	0
525.5	-0.5	76.3	-0.9	-1.2	0	0
526.5	-0.6	78.9	-1.13	-2.12	0	0
527.5	-0.7	77.7	-1.2	-1.6	0	0
528.5	-0.8	79.4	-1.12	-1.54	0	0
529.5	-1.0	79.9	-1.51	-2.24	0	0
530.5	-1.2	80.3	-1.47	-2.02	0	0
531.5	-1.4	79.9	-1.59	-3.12	0	0
532.5	-1.2	75.7	-1.69	-2.6	0	0
533.5	-1.6	74.3	-1.64	-1.15	0	0
534.5	-2.0	74.6	-1.31	-0.5	0	0
535.5	-2.2	77.2	-1.31	-0.92	0	8
536.5	-1.8	75.2	-1.63	-1.32	263	53
537.5	-0.4	68.9	-1.76	-0.71	605	71
538.5	0.9	65.5	-2.92	-1.3	767	59
539.5	1.7	61.7	-2.55	-0.5	671	103
540.5	2.1	60.0	-2.3	-0.7	236	170
541.5	2.7	56.8	-1.53	-0.47	447	122
542.5	2.8	54.8	-2.34	-1.14	483	81
543.5	2.5	55.6	-2.58	-1.32	135	54
544.5	1.7	58.1	-2.77	-1.6	0	0
545.5	1.1	56.6	-1.84	-2.11	0	0
546.5	0.1	60.5	-1.75	-3.03	0	0
547.5	-0.6	66.0	-3.24	-3.13	0	0
548.5	-0.9	66.8	-2.53	-2.12	0	0
549.5	-1.5	68.3	-0.82	-2.04	0	0
550.5	-2.3	72.0	-1.01	-2.5	0	0
551.5	-2.8	73.5	-1.69	-3.18	0	0
552.5	-2.9	72.3	-1.7	-2.1	0	0
553.5	-3.3	76.1	-2.0	-1.5	0	0
554.5	-3.8	77.9	-2.18	-1.59	0	0
555.5	-3.8	79.0	-2.02	-1.64	0	0
556.5	-4.3	82.7	-2.08	-1.56	0	0
557.5	-4.4	83.0	-2.2	-1.38	0	0
