#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover
0.0	-0.8	91.5	0.35	0.61	0	0	86
0.5	-0.8	91.5	0.35	0.61	0	0	86
1.5	0.0	92.4	0.19	0.46	0	0	91
2.5	0.5	93.1	0.14	0.48	0	0	95
3.5	1.0	93.5	0.18	0.36	0	0	98
4.5	1.3	93.8	0.2	0.23	0	0	100
5.5	1.2	94.1	0.34	0.22	0	0	100
6.5	1.2	94.3	0.5	0.06	0	0	100
7.5	1.1	94.7	0.6	0.04	0	0	100
8.5	1.5	95.7	0.77	-0.21	0	45	100
9.5	0.7	95.2	0.69	-0.13	0	46	100
10.5	0.9	87.0	1.09	-0.51	0	111	100
11.5	0.6	89.3	-0.39	0.58	0	117	100
12.5	0.8	93.9	0.49	0.08	0	51	100
13.5	1.1	93.5	0.47	0.17	0	32	100
14.5	0.7	93.4	-0.28	0.42	0	23	100
15.5	0.3	92.7	-0.26	0.43	0	9	100
16.5	0.3	91.8	-0.33	0.62	0	0	100
17.5	0.4	88.8	0.53	0.46	0	0	100
18.5	-0.3	86.2	2.33	-0.58	0	0	100
19.5	-2.0	85.3	2.49	-0.22	0	0	100
20.5	-2.8	86.4	3.63	-0.71	0	0	100
21.5	-2.8	83.7	4.07	-0.5	0	0	100
22.5	-3.5	82.1	2.44	-0.56	0	0	100
23.5	-3.9	83.7	1.93	-0.52	0	0	100
24.5	-3.5	85.7	2.89	-0.25	0	0	100
25.5	-2.8	84.0	1.18	-0.23	0	0	100
26.5	-2.5	83.5	0.48	0.16	0	0	100
27.5	-2.1	84.2	0.51	-0.32	0	0	100
28.5	-2.3	86.0	1.67	-0.3	0	0	100
29.5	-1.0	77.8	3.04	-0.59	0	0	100
30.5	-1.0	75.8	2.77	-0.39	0	0	100
31.5	-1.9	84.4	1.3	-0.11	0	0	98
32.5	-1.4	86.5	0.48	-0.14	0	36	96
33.5	-0.6	80.4	-0.34	0.21	0	63	94
34.5	0.3	74.1	-0.5	0.62	0	123	92
35.5	0.8	69.6	-0.38	0.33	0	106	90
36.5	1.2	67.0	0.37	-0.15	0	132	88
37.5	2.0	62.5	-0.59	0.12	0	121	90
38.5	2.2	63.1	0.4	0.3	0	54	92
39.5	1.9	69.0	-0.62	0.33	0	11	94
40.5	1.8	73.2	0.6	-0.07	0	0	96
41.5	1.6	79.2	-0.43	0.42	0	0	98
42.5	1.6	81.1	0.8	0.04	0	0	100
43.5	1.5	83.2	-0.48	0.14	0	0	100
44.5	1.4	85.7	-0.47	0.18	0	0	100
